Rank,Team,PlayersActive,Avg AgeTeam,Total CapTop-51,Cap SpaceTop-51,Total CapAllocations,Cap SpaceAll,Active53-Man,DeadCap
,,,,,,,,,
1,WAS,72,27.6,"$261,829,753","$66,800,873","$271,804,753","$56,825,873","$251,112,022","$20,692,731"
2,LAC,65,26.7,"$244,580,287","$61,314,198","$252,545,287","$53,349,198","$246,997,104","$5,548,183"
3,TEN,69,26.4,"$285,215,282","$58,502,696","$298,205,282","$45,512,696","$273,020,717","$25,184,565"
4,SF,74,27.7,"$286,627,094","$54,543,430","$300,047,094","$41,123,430","$271,846,021","$28,201,073"
5,NYJ,71,26.3,"$270,662,786","$53,201,014","$284,657,786","$39,206,014","$180,411,167","$104,246,619"
6,ARI,73,27,"$279,569,796","$48,538,036","$297,649,795","$30,458,037","$270,897,941","$26,751,854"
7,NE,70,26.6,"$304,670,896","$48,308,358","$321,800,896","$31,178,358","$298,323,015","$23,477,881"
8,SEA,71,26.7,"$267,162,068","$47,891,194","$278,787,068","$36,266,194","$278,303,344","$483,724"
9,PHI,64,26.7,"$270,402,484","$46,220,974","$278,727,484","$37,895,974","$232,249,910","$46,477,574"
10,IND,69,26.9,"$263,380,142","$40,385,488","$274,000,142","$29,765,488","$264,406,498","$9,593,644"
11,LAR,62,26.8,"$283,460,511","$30,862,612","$292,430,511","$21,892,612","$285,261,359","$7,169,152"
12,BAL,56,26.7,"$283,897,930","$30,828,212","$287,437,930","$27,288,212","$269,239,215","$18,198,715"
13,DET,61,26.3,"$293,544,080","$29,488,019","$297,969,080","$25,063,019","$271,500,289","$26,468,791"
14,LV,63,26.6,"$286,557,739","$28,644,306","$297,132,739","$18,069,306","$246,120,473","$51,012,266"
15,HOU,67,26.9,"$284,613,510","$26,130,849","$296,838,510","$13,905,849","$234,361,802","$62,476,708"
16,PIT,69,27.2,"$296,292,621","$25,467,451","$309,567,621","$12,192,451","$297,345,783","$12,221,838"
17,GB,77,26.2,"$290,238,166","$24,665,765","$313,363,166","$1,540,765","$274,157,193","$39,205,973"
18,CIN,67,26.8,"$294,875,206","$23,083,707","$310,115,206","$7,843,707","$298,866,984","$11,248,222"
19,DEN,71,27.3,"$281,602,333","$22,619,567","$300,157,333","$4,064,567","$298,938,411","$1,218,922"
20,ATL,65,27.5,"$284,174,536","$21,437,981","$290,729,536","$14,882,981","$274,444,182","$16,285,354"
21,CLE,63,26.4,"$319,664,772","$19,489,430","$328,874,772","$10,279,430","$248,222,596","$80,652,176"
22,NYG,75,26.8,"$281,709,039","$19,107,137","$298,094,039","$2,722,137","$286,725,384","$11,368,655"
23,DAL,64,26.7,"$316,485,564","$15,580,007","$330,814,013","$1,251,558","$287,400,506","$41,550,058"
24,MIN,60,27,"$300,259,375","$14,670,922","$308,224,375","$6,705,922","$292,485,402","$15,738,973"
25,MIA,73,26.1,"$295,107,793","$13,770,650","$311,877,793","-$2,999,350","$227,074,408","$84,803,385"
26,NO,68,26.5,"$305,294,120","$12,478,072","$321,539,120","-$3,766,928","$205,771,708","$115,767,412"
27,BUF,65,26.7,"$291,871,537","$9,709,375","$303,736,537","-$2,155,625","$257,572,490","$46,164,047"
28,KC,63,26.4,"$292,446,244","$9,664,505","$300,411,244","$1,699,505","$290,637,268","$9,773,976"
29,CAR,71,26.6,"$303,525,999","$9,038,672","$318,525,999","-$5,961,328","$302,083,155","$16,442,844"
30,JAX,65,26.7,"$301,972,452","$8,741,338","$314,722,452","-$4,008,662","$263,245,334","$51,477,118"
31,TB,63,26.8,"$311,262,739","$6,253,635","$318,342,739","-$826,365","$318,088,817","$253,922"
32,CHI,65,27.2,"$308,012,223","$1,902,485","$321,242,223","-$11,327,515","$301,886,728","$19,355,495"
