Position,Player,School,Class,Birthdate,Years,Final Age,Combine,Height,Weight,Hand,Arm,Forty,Vert,Broad,Cone,Shuttle
RB,Jeremiyah Love,Notre Dame,2023,5/31/2005,3,20.6,1,72,212,9.1,32,4.36,,,,
TE,Kenyon Sadiq,Oregon,2023,3/4/2005,3,20.8,1,75,241,10,31.5,4.39,43.5,133,,
WR,Carnell Tate,Ohio State,2023,1/19/2005,3,21,1,74.3,192,10.3,31.8,4.53,,,,
WR,KC Concepcion,Texas A&M,2023,9/24/2004,3,21.3,1,71.6,196,9.3,30.3,,,,,
WR,Zavion Thomas,LSU,2022,9/14/2004,4,21.3,1,70,190,9,30.5,4.28,,,,
WR,Jordyn Tyson,Arizona State,2022,8/12/2004,4,21.4,1,74.1,203,9.1,30.3,,,,,
WR,Ja'Kobi Lane,USC,2023,8/5/2004,3,21.4,1,76,200,10.5,32.6,4.47,,,,
RB,Desmond Reid,Pittsburgh,2022,7/29/2004,4,21.4,1,66,174,8.3,28.1,,,,,
WR,Antonio Williams,Clemson,2022,7/14/2004,4,21.5,1,71.5,187,9.3,30.8,4.41,,,7,
RB,Adam Randall,Clemson,2022,7/14/2004,4,21.5,1,75,232,9.8,32.4,4.5,37,124,,4.53
RB,CJ Donaldson,Ohio State,2022,7/9/2004,4,21.5,1,74,230,9.5,31.8,,,,,
TE,Justin Joly,NC State,2022,7/9/2004,4,21.5,1,75.6,241,10.5,32.3,,,,,
TE,RJ Maryland,SMU,2022,7/9/2004,4,21.5,1,76,236,9,32.3,4.51,,122,,
WR,Ted Hurst,Georgia State,2022,7/2/2004,4,21.5,1,76,206,9.8,32.6,4.42,,,,
WR,Chris Bell,Louisville,2022,6/7/2004,4,21.6,1,73.9,222,10,31.8,,,,,
WR,Makai Lemon,USC,2023,6/4/2004,3,21.6,1,71.1,192,8.8,30.5,,,,,
WR,Reggie Virgil,Texas Tech,2022,5/14/2004,4,21.6,1,75,187,9.3,31.3,4.57,,,,
RB,Jamarion Miller,Alabama,2022,4/29/2004,4,21.7,1,70,209,8.8,30.4,4.42,30.5,115,,
RB,TJ Harden,SMU,2022,4/23/2004,4,21.7,0,,,,,,,,,
WR,Zachariah Branch,Georgia,2023,3/29/2004,3,21.8,1,68.6,177,9,29.4,4.35,38,125,,
TE,Jack Endries,Texas,2022,3/26/2004,4,21.8,1,76.6,245,9.6,31.1,4.62,36,119,,
QB,Drew Allar,Penn State,2022,3/8/2004,4,21.8,1,77,228,9.9,32.8,,,,,
TE,Eli Raridon,Notre Dame,2022,2/12/2004,4,21.9,1,78,245,10.8,32.8,4.62,36,123,,
TE,Jaren Kanak,Oklahoma,2022,2/10/2004,4,21.9,1,74,234,9.4,30.5,4.52,36,119,,
WR,Noah Thomas,Georgia,2020,1/13/2004,6,22,0,,,,,,,,,
RB,Nick Singleton,Penn State,2022,1/6/2004,4,22,1,72,219,9.4,31,,,,,
WR,Omar Cooper Jr.,Indiana,2022,12/14/2003,4,22.1,1,72,199,9.6,30.3,4.42,37,,,
WR,Barion Brown,LSU,2022,12/12/2003,4,22.1,1,71,177,9,31.5,4.4,,,,
WR,Denzel Boston,Washington,2022,12/6/2003,4,22.1,1,75.6,212,9.8,32,,35,,,4.28
WR,Germie Bernard,Alabama,2022,12/2/2003,4,22.1,1,73.3,206,9.9,30.4,4.48,32.5,125,6.71,4.31
WR,Jordan Hudson,SMU,2022,11/22/2003,4,22.1,1,73,191,9.3,31.1,,,,,
WR,Dillon Bell,Georgia,2022,11/6/2003,4,22.2,1,72.1,209,9.5,30.3,4.5,39,126,,
WR,Chris Brazzell,Tennessee,2022,10/23/2003,4,22.2,1,76,198,9,32.4,4.37,,,,
QB,Cade Klubnik,Clemson,2022,10/13/2003,4,22.2,1,74,207,9.3,31.1,,,,,
RB,Emmett Johnson,Nebraska,2022,10/10/2003,4,22.2,1,70,202,9.8,30.3,4.56,,120,7.32,4.29
RB,Demond Claiborne,Wake Forest,2022,10/9/2003,4,22.2,1,70,188,9,30.1,4.37,,122,,
RB,Jadarian Price,Notre Dame,2022,10/9/2003,4,22.2,1,71,203,9.6,30.9,4.49,35,124,,
QB,Fernando Mendoza,Indiana,2022,10/1/2003,4,22.3,1,76.8,225,9.5,31.9,,,,,
WR,Eric McAlister,TCU,2021,9/29/2003,5,22.3,1,76,194,9.8,32.6,,,,,
TE,DaeQuan Wright,Mississippi,2022,9/21/2003,4,22.3,1,76,246,9.3,32.3,,,,,
TE,Lance Mason,Wisconsin,2022,9/19/2003,4,22.3,0,,,,,,,,,
TE,Josh Cuevas,Alabama,2021,9/15/2003,5,22.3,1,75,245,9.6,30.6,4.65,34,118,7.37,4.38
WR,Kevin Coleman,Missouri,2022,9/10/2003,4,22.3,1,70,179,9.5,30,4.49,38.5,126,,
WR,Caleb Douglas,Texas Tech,2022,9/9/2003,4,22.3,1,75.5,206,10.1,32.5,4.39,31.5,126,,
TE,Sam Roush,Stanford,2022,9/6/2003,4,22.3,1,78,267,10,30.6,4.7,38.5,126,7.08,4.37
RB,Dean Connors,Houston,2021,8/29/2003,5,22.4,0,,,,,,,,,
TE,Carsen Ryan,BYU,2022,8/21/2003,4,22.4,0,,,,,,,,,
RB,Jonah Coleman,Washington,2022,8/20/2003,4,22.4,1,68,220,9.1,28.9,,,,,
RB,Eli Heidenreich,Navy,2022,7/28/2003,4,22.4,1,72,198,9.5,29.3,4.44,35.5,120,,
WR,Brenen Thompson,Mississippi State,2022,7/25/2003,4,22.5,1,69,164,9,29.4,4.26,,,,
QB,Kyron Drones,Virginia Tech,2021,7/24/2003,5,22.5,0,,,,,,,,,
TE,Max Klare,Ohio State,2022,7/8/2003,4,22.5,1,76,246,9.1,32.1,,,,,
TE,Oscar Delp,Georgia,2022,7/4/2003,4,22.5,1,77,245,9.5,31.6,,,,,
RB,Mike Washington,Arkansas,2021,7/3/2003,5,22.5,1,73,223,9.5,33.6,4.33,39,128,,
WR,Dane Key,Nebraska,2022,7/1/2003,4,22.5,0,,,,,,,,,
WR,Vinny Anthony,Wisconsin,2022,6/27/2003,4,22.5,1,72,183,9.1,31.4,4.54,34.5,,,4.07
WR,Elijah Sarratt,Indiana,2022,5/28/2003,4,22.6,1,74.5,210,10,31.3,,,,,
WR,Harrison Wallace,Mississippi,2021,4/23/2003,5,22.7,1,72,192,8.4,32.1,4.54,,,,
TE,Eli Stowers,Vanderbilt,2021,4/15/2003,5,22.7,1,76,239,9.8,32.6,4.51,45.5,135,,
WR,Josh Cameron,Baylor,2021,3/18/2003,5,22.8,1,73.5,220,10.3,33.1,,,,,
TE,Will Kacmarek,Ohio State,2021,2/12/2003,5,22.9,1,77.6,261,9.8,32.3,4.74,36,119,,
QB,Sawyer Robertson,Baylor,2021,2/1/2003,5,22.9,1,76,216,9.4,32.1,4.64,,,7.45,4.46
WR,Kendrick Law,Kentucky,2022,1/27/2003,4,22.9,1,71,203,9.6,31.1,4.45,,,,
WR,Emmanuel Henderson,Kansas,2022,1/21/2003,4,23,1,73,185,8.4,31,4.44,35,120,,
WR,Donaven McCulley,Michigan,2021,1/15/2003,5,23,1,76.5,203,10.3,32.6,,,,,
WR,Deion Burks,Oklahoma,2021,1/8/2003,5,23,1,69.8,180,9.5,29.4,,42.5,131,,
RB,Kaytron Allen,Penn State,2022,1/8/2003,4,23,1,71,216,9.5,29.5,,,,,
QB,Ty Simpson,Alabama,2022,12/21/2002,4,23,1,73.1,211,9.4,30.9,,,,,
WR,De'Zhaun Stribling,Mississippi,2021,12/18/2002,5,23.1,1,74.1,207,10,31.6,4.36,,,,
RB,Jaydn Ott,Oklahoma,2022,12/16/2002,4,23.1,0,,,,,,,,,
WR,Aaron Anderson,Louisiana State,2022,12/2/2002,4,23.1,1,68,191,9.3,29.8,,30,,,
QB,Carson Beck,Miami,2020,11/19/2002,6,23.1,1,77,233,10,30.6,,,,,
RB,Le'Veon Moss,Texas A&M,2022,11/15/2002,4,23.1,1,71,203,9.5,31,,,,,
QB,Jalon Daniels,Kansas,2020,10/29/2002,6,23.2,1,73,219,9.6,30.4,4.65,,,,
QB,Cole Payton,North Dakota State,2021,10/26/2002,5,23.2,1,75,232,10.3,31.6,4.56,,,7.12,4.36
WR,CJ Williams,Stanford,2022,10/23/2002,4,23.2,0,,,,,,,,,
QB,Luke Altmyer,Illinois,2021,10/22/2002,5,23.2,1,74,210,9,29.9,4.72,32,114,,
QB,Taylen Green,Arkansas,2021,10/18/2002,5,23.2,1,78,227,9.9,34.8,4.36,43.5,134,,
WR,Malik Benson,Oregon,2021,10/17/2002,5,23.2,1,72,189,8.6,31.9,4.37,32.5,122,,
WR,Jalen Walthall,Incarnate Word,2021,10/14/2002,5,23.2,1,73,191,9,31.3,4.57,,,,
WR,Chris Hilton,LSU,2021,10/11/2002,5,23.2,1,72,188,9.3,32,4.41,34.5,122,7.25,4.41
TE,Jerand Bradley,Kansas State,2021,10/10/2002,5,23.2,0,,,,,,,,,
TE,Max Bredeson,Michigan,2021,10/4/2002,5,23.3,1,74,252,10,30.1,,,,,
TE,Miles Kitslemen,Tennessee,2021,9/25/2002,5,23.3,1,77,251,9.9,31.9,4.9,34.5,116,,
WR,Eric Rivers,Georgia Tech,2021,9/17/2002,5,23.3,1,70,176,9,30.5,4.35,,,,
TE,Marlin Klein,Michigan,2022,9/17/2002,4,23.3,1,78,248,9.3,32.4,4.61,36,117,7.42,
WR,J Michael Sturdivant,Florida,2021,9/6/2002,5,23.3,1,75,207,9.5,32.9,4.4,,,,
TE,Lake McRee,USC,2021,9/4/2002,5,23.3,1,76,243,9.3,31.5,,,,,
QB,Trinidad Chambliss,Mississippi,2021,8/24/2002,5,23.4,0,,,,,,,,,
RB,Roman Hemby,Indiana,2021,8/16/2002,5,23.4,1,72,207,9.5,31,,,,,
TE,Seydou Traore,Mississippi State,2021,8/12/2002,5,23.4,0,,,,,,,,,
