Position,Player,School,Years,Final Age,career_yards,career_targets,career_receptions,career_tds,career_routes,career_yprr,career_catch_rate,career_drop_rate,career_drops_per_100_targets,career_contested_catch_rate,yprr_2025,yd_share_2025,td_share_2025,target_share_2025,yptt_2025,age_2025,peak_yd_share_season,peak_yd_share,peak_yd_share_age,breakout_age_20pct_yd_share,yprr_2025_pct,yd_share_2025_pct,target_share_2025_pct,career_yprr_pct,peak_yd_share_pct,breakout_score,WR_score,conference,conf_tier,adj_career_yprr,adj_yprr_2025,adj_yd_share_2025,adj_target_share_2025,adj_yptt_2025,adj_peak_yd_share,adj_yprr_2025_pct,adj_yd_share_2025_pct,adj_target_share_2025_pct,adj_career_yprr_pct,adj_peak_yd_share_pct
RB,Jeremiyah Love,Notre Dame,3,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,0.96,,,,,,,,,,,
RB,Desmond Reid,Pittsburgh,4,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,0.95,,,,,,,,,,,
RB,Adam Randall,Clemson,4,21.5,533.0,90.0,48.0,2.0,542.0,0.9833948339483395,0.5333333333333333,0.06666666666666667,6.666666666666667,0.32,,,,,,,2023.0,0.09626492106276473,19.132101300479125,,,,,0.5,0.5,,,ACC,0.95,0.9342250922509224,,,,,0.09145167500962649,,,,0.5,0.5
RB,CJ Donaldson,Ohio State,4,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIGTEN,0.99,,,,,,,,,,,
RB,Jamarion Miller,Alabama,4,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC,1.0,,,,,,,,,,,
RB,TJ Harden,SMU,4,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,0.95,,,,,,,,,,,
RB,Nick Singleton,Penn State,4,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIGTEN,0.99,,,,,,,,,,,
RB,Emmett Johnson,Nebraska,4,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIGTEN,0.99,,,,,,,,,,,
RB,Demond Claiborne,Wake Forest,4,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,0.95,,,,,,,,,,,
RB,Jadarian Price,Notre Dame,4,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,0.96,,,,,,,,,,,
