nfl_iq_rank,row_index,rd,position,raw_position,player,estimated_pick,source,source_url,scraped_at
1,1,Top 5,QB,QB,Fernando Mendoza,3.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
2,1,Top 5,EDGE,ED,David Bailey,3.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
3,2,Top 10,RB,RB,Jeremiyah Love,9.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
4,2,Top 10,WR,WR,Carnell Tate,9.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
5,2,Top 10,OT,T,Francis Mauigoa,9.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
6,2,Top 10,EDGE,ED,Arvell Reese,9.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
7,2,Top 10,LB,LB,Sonny Styles,9.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
8,2,Top 10,CB,CB,Mansoor Delane,9.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
9,2,Top 10,S,S,Caleb Downs,9.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
10,3,Top 15,WR,WR,Jordyn Tyson,15.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
11,3,Top 15,OT,T,Spencer Fano,15.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
12,3,Top 15,IOL,IOL,Olaivavega Ioane,15.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
13,3,Top 15,EDGE,ED,Rueben Bain Jr.,15.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
14,4,1st,WR,WR,Makai Lemon,27.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
15,4,1st,TE,TE,Kenyon Sadiq,27.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
16,4,1st,OT,T,Monroe Freeling,27.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
17,4,1st,EDGE,ED,Keldric Faulk,27.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
18,4,1st,CB,CB,Chris Johnson,27.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
19,4,1st,S,S,Dillon Thieneman,27.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
20,5,1st,WR,WR,Omar Cooper Jr.,27.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
21,5,1st,OT,T,Kadyn Proctor,27.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
22,7,1st-2nd,QB,QB,Ty Simpson,43.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
23,7,1st-2nd,WR,WR,Denzel Boston,43.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
24,7,1st-2nd,OT,T,Blake Miller,43.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
25,7,1st-2nd,DT,DT,Kayden McDonald,43.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
26,7,1st-2nd,EDGE,ED,Akheem Mesidor,43.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
27,7,1st-2nd,LB,LB,Jacob Rodriguez,43.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
28,7,1st-2nd,CB,CB,Jermod McCoy,43.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
29,7,1st-2nd,S,S,E. McNeil-Warren,43.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
30,8,1st-2nd,WR,WR,KC Concepcion,44.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
31,8,1st-2nd,OT,T,Caleb Lomu,44.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
32,8,1st-2nd,EDGE,ED,T.J. Parker,44.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
33,8,1st-2nd,CB,CB,Colton Hood,44.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
34,9,1st-2nd,OT,T,Max Iheanachor,44.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
35,9,1st-2nd,EDGE,ED,Malachi Lawrence,44.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
36,9,1st-2nd,CB,CB,Avieon Terrell,44.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
37,10,2nd,RB,RB,Jadarian Price,57.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
38,10,2nd,WR,WR,Germie Bernard,57.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
39,10,2nd,TE,TE,Eli Stowers,57.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
40,10,2nd,IOL,IOL,Keylan Rutledge,57.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
41,10,2nd,DT,DT,Peter Woods,57.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
42,10,2nd,EDGE,ED,Cashius Howell,57.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
43,10,2nd,LB,LB,CJ Allen,57.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
44,10,2nd,CB,CB,Brandon Cisse,57.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
45,11,2nd,WR,WR,Antonio Williams,58.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
46,11,2nd,IOL,IOL,Chase Bisontis,58.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
47,11,2nd,DT,DT,Lee Hunter,58.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
48,11,2nd,EDGE,ED,R Mason Thomas,58.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
49,11,2nd,LB,LB,Anthony Hill Jr.,58.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
50,11,2nd,CB,CB,D'Angelo Ponds,58.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
51,12,2nd,IOL,IOL,Emmanuel Pregnon,59.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
52,12,2nd,DT,DT,Christen Miller,59.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
53,12,2nd,EDGE,ED,Zion Young,59.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
54,12,2nd,CB,CB,Keionte Scott,59.0,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
55,13,2nd-3rd,WR,WR,Malachi Fields,77.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
56,13,2nd-3rd,OT,T,Caleb Tiernan,77.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
57,13,2nd-3rd,IOL,IOL,Gennings Dunker,77.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
58,13,2nd-3rd,DT,DT,Caleb Banks,77.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
59,13,2nd-3rd,EDGE,ED,Gabe Jacas,77.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
60,13,2nd-3rd,LB,LB,Jake Golday,77.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
61,13,2nd-3rd,CB,CB,Daylen Everette,77.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
62,13,2nd-3rd,S,S,Treydan Stukes,77.75,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
63,14,2nd-3rd,WR,WR,D. Stribling,78.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
64,14,2nd-3rd,EDGE,ED,Derrick Moore,78.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
65,14,2nd-3rd,S,S,Bud Clark,78.5,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
66,15,2nd-3rd,WR,WR,Chris Bell,79.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
67,15,2nd-3rd,EDGE,ED,Keyron Crawford,79.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
68,15,2nd-3rd,S,S,A.J. Haulcy,79.25,NFL IQ,https://www.nfl.com/iq,2026-04-22T12:36:30+00:00
