Rank,Player Name,Position,College,OT Side
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Jeremiyah Love,RB,Notre Dame
5,Sonny Styles,LB,Ohio State
6,Caleb Downs,S,Ohio State
7,Francis Mauigoa,OT,Miami (FL),RT
8,Carnell Tate,WR,Ohio State
9,Rueben Bain,EDGE,Miami (FL)
10,Mansoor Delane,CB,LSU
11,Jordyn Tyson,WR,Arizona State
12,Spencer Fano,OT,Utah,RT
13,Makai Lemon,WR,USC
14,Monroe Freeling,OT,Georgia,LT
15,Olaivavega Ioane,IOL,Penn State
16,Kenyon Sadiq,TE,Oregon
17,Dillon Thieneman,S,Oregon
18,Kadyn Proctor,OT,Alabama,LT
19,Keldric Faulk,EDGE,Auburn
20,Akheem Mesidor,EDGE,Miami (FL)
21,Omar Cooper Jr.,WR,Indiana
22,Kevin Concepcion,WR,Texas A&M
23,Blake Miller,OT,Clemson,RT
24,Denzel Boston,WR,Washington
25,Emmanuel McNeil-Warren,S,Toledo
26,Caleb Lomu,OT,Utah,LT
27,Kayden McDonald,DL,Ohio State
28,Max Iheanachor,OT,Arizona State,RT
29,Peter Woods,DL,Clemson
30,T.J. Parker,EDGE,Clemson
31,Jermod McCoy,CB,Tennessee
32,Ty Simpson,QB,Alabama
33,Colton Hood,CB,Tennessee
34,Cashius Howell,EDGE,Texas A&M
35,Chris Johnson,CB,San Diego State
36,Avieon Terrell,CB,Clemson
37,Malachi Lawrence,EDGE,UCF
38,C.J. Allen,LB,Georgia
39,Zion Young,EDGE,Missouri
40,Chase Bisontis,IOL,Texas A&M
41,Jacob Rodriguez,LB,Texas Tech
42,Emmanuel Pregnon,IOL,Oregon
43,Jadarian Price,RB,Notre Dame
44,Caleb Banks,DL,Florida
45,Brandon Cisse,CB,South Carolina
46,Christen Miller,DL,Georgia
47,R Mason Thomas,EDGE,Oklahoma
48,Anthony Hill Jr.,LB,Texas
49,Lee Hunter,DL,Texas Tech
50,Gabe Jacas,EDGE,Illinois
51,Eli Stowers,TE,Vanderbilt
52,D'angelo Ponds,CB,Indiana
53,Chris Bell,WR,Louisville
54,Jake Golday,LB,Cincinnati
55,Chris Brazzell,WR,Tennessee
56,A.J. Haulcy,S,LSU
57,Keylan Rutledge,IOL,Georgia Tech
58,Treydan Stukes,CB,Arizona
59,Germie Bernard,WR,Alabama
60,Gennings Dunker,OT,Iowa,RT
61,Keionte Scott,CB,Miami (FL)
62,Zachariah Branch,WR,Georgia
63,Derrick Moore,EDGE,Michigan
64,Josiah Trotter,LB,Missouri
65,Caleb Tiernan,OT,Northwestern,LT
66,Connor Lew,IOL,Auburn
67,Domonique Orange,DL,Iowa State
68,Mike Washington Jr.,RB,Arkansas
69,Keith Abney II,CB,Arizona State
70,Max Klare,TE,Ohio State
71,Dani Dennis-Sutton,EDGE,Penn State
72,Gracen Halton,DL,Oklahoma
73,Kyle Louis,LB,Pittsburgh
74,Antonio Williams,WR,Clemson
75,Malachi Fields,WR,Notre Dame
76,Romello Height,EDGE,Texas Tech
77,Elijah Sarratt,WR,Indiana
78,Davison Igbinosun,CB,Ohio State
79,Ted Hurst,WR,Georgia State
80,Darrell Jackson Jr.,DL,Florida State
81,Sam Hecht,IOL,Kansas State
82,Skyler Bell,WR,UConn
83,Joshua Josephs,EDGE,Tennessee
84,Garrett Nussmeier,QB,LSU
85,Kamari Ramsey,S,USC
86,Bud Clark,S,TCU
87,Oscar Delp,TE,Georgia
88,Jaishawn Barham,LB,Michigan
89,Zakee Wheatley,S,Penn State
90,Keyron Crawford,EDGE,Auburn
91,Julian Neal,CB,Arkansas
92,Bryce Lance,WR,North Dakota State
93,Jonah Coleman,RB,Washington
94,Dametrious Crownover,OT,Texas A&M,RT
95,Deion Burks,WR,Oklahoma
