team,position,weight
ARI,QB,0.3
ARI,OT,0.6
ARI,DL,0.3
ARI,LB,0.3
ARI,EDGE,0.3
ARI,CB,0.1
BAL,WR,0.6
BAL,IOL,0.6
BAL,G,0.6
BAL,LB,0.1
BAL,TE,0.3
BAL,DL,0.1
BAL,EDGE,0.1
BUF,WR,0.6
BUF,IOL,0.6
BUF,DL,0.3
BUF,LB,0.1
BUF,EDGE,0.6
BUF,S,0.3
CAR,WR,0.3
CAR,TE,0.6
CAR,CB,0.1
CAR,DL,0.6
CAR,EDGE,0.3
CAR,OT,0.1
CHI,DL,1
CHI,S,0.6
CHI,CB,0.1
CIN,IOL,0.3
CIN,DL,0.3
CIN,LB,0.6
CIN,S,0.6
CLE,QB,0.3
CLE,WR,0.6
CLE,IOL,0.3
CLE,OT,0.6
DAL,DL,0.3
DAL,EDGE,0.3
DAL,LB,0.6
DAL,CB,1
DAL,S,0.3
DET,OT,0.6
DET,DL,0.6
DET,LB,0.1
DET,EDGE,0.1
HOU,RB,0.3
HOU,IOL,0.6
HOU,OT,0.6
HOU,DL,0.6
KC,WR,0.3
KC,EDGE,0.6
KC,CB,0.6
KC,S,0.3
KC,OT,0.3
LAC,WR,0.3
LAC,IOL,0.6
LAC,DL,0.6
LAC,S,0.3
LAC,EDGE,0.6
LAR,WR,0.6
LAR,OT,0.3
LAR,LB,0.3
LV,QB,1
LV,WR,0.6
LV,OT,0.6
LV,DL,0.6
LV,S,0.3
MIA,WR,0.6
MIA,IOL,0.6
MIA,CB,0.6
MIA,S,0.3
MIA,TE,0.3
MIA,EDGE,0.3
MIN,RB,0.3
MIN,DL,0.6
MIN,S,1
MIN,CB,0.6
NE,OT,0.3
NE,EDGE,0.6
NE,LB,0.1
NE,WR,0.3
NE,TE,0.3
NE,DL,0.3
NO,WR,0.6
NO,DL,0.3
NO,LB,0.1
NO,CB,0.6
NO,EDGE,0.6
NO,RB,0.1
NYG,WR,0.6
NYG,OT,0.3
NYG,IOL,0.3
NYG,LB,0.6
NYG,S,1.0
NYG,RB,0.3
NYJ,QB,1.0
NYJ,WR,0.6
NYJ,EDGE,0.6
NYJ,CB,0.3
NYJ,LB,0.6
NYJ,IOL,0.3
PHI,WR,0.6
PHI,OT,0.6
PHI,EDGE,0.6
PHI,S,0.3
PHI,TE,0.3
PIT,QB,1
PIT,WR,0.3
PIT,RB,0.3
PIT,G,0.3
PIT,OT,0.6
PIT,CB,0.6
SEA,RB,0.3
SEA,EDGE,0.6
SEA,CB,0.6
SEA,IOL,0.3
SF,IOL,0.6
SF,OT,0.6
SF,EDGE,0.3
SF,S,0.3
SF,WR,0.6
SF,CB,0.1
TB,TE,0.6
TB,IOL,0.3
TB,EDGE,1
TB,LB,0.1
TB,CB,0.6
TEN,RB,0.6
TEN,IOL,0.3
TEN,EDGE,0.6
TEN,LB,0.3
TEN,WR,0.6
WAS,RB,0.3
WAS,WR,0.6
WAS,DL,0.3
WAS,EDGE,0.6
WAS,LB,0.3
WAS,CB,0.1
WAS,S,0.3
