player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,EDGE,2.8706
David Bailey,EDGE,3.7344
Sonny Styles,LB,6.7148
Carnell Tate,WR,7.036
Rueben Bain,EDGE,7.5398
Francis Mauigoa,OT,8.6774
Jeremiyah Love,RB,8.768153630726145
Caleb Downs,S,10.0250100040016
Mansoor Delane,CB,10.216843368673734
Makai Lemon,WR,11.343406043626176
Jordyn Tyson,WR,12.37977977977978
Monroe Freeling,OT,12.828165633126625
Jermod McCoy,CB,13.618331327717609
Spencer Fano,OT,16.244484556758923
Drew Allar,QB,17.75
Olaivavega Ioane,IOL,17.789815378372897
Dillon Thieneman,S,18.10737826918988
Akheem Mesidor,EDGE,18.621163166397416
Garrett Nussmeier,QB,18.642857142857142
Kenyon Sadiq,TE,18.65513342379014
Carson Beck,QB,18.94736842105263
Keldric Faulk,EDGE,19.21137882162381
Ty Simpson,QB,20.095454545454544
Avieon Terrell,CB,21.32633879781421
Peter Woods,DT,21.609429065743946
C.J. Allen,LB,21.797476759628154
Kadyn Proctor,OT,21.852133502323618
Caleb Lomu,OT,22.40369505202803
Emmanuel McNeil-Warren,S,23.505998400426552
Omar Cooper Jr.,WR,23.654743038261262
Denzel Boston,WR,25.707621718072904
T.J. Parker,EDGE,26.1055900621118
Kevin Concepcion,WR,26.461733258300505
Caleb Banks,DT,26.55520282186949
Kayden McDonald,DT,26.729429774205894
Blake Miller,OT,27.130781499202552
Lee Hunter,DT,28.057761732851986
Max Iheanachor,OT,28.109112709832136
Christen Miller,DT,29.01010101010101
Emmanuel Pregnon,IOL,29.238875878220142
Chase Bisontis,IOL,29.244318181818183
Cashius Howell,EDGE,29.551547855722806
Jacob Rodriguez,LB,30.08
Zion Young,EDGE,30.234522345223453
Colton Hood,CB,30.560477849676456
Anthony Hill Jr.,LB,30.833333333333332
Chris Johnson,CB,31.047619047619047
Brandon Cisse,CB,31.060804490177738
R Mason Thomas,EDGE,31.450819672131146
Jadarian Price,RB,31.818181818181817
Malachi Lawrence,EDGE,32.0
