player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,EDGE,2.4172
David Bailey,EDGE,3.494
Sonny Styles,LB,6.516
Carnell Tate,WR,6.8572
Jeremiyah Love,RB,7.0026
Rueben Bain,EDGE,7.3072
Francis Mauigoa,OT,8.3042
Mansoor Delane,CB,9.8742
Caleb Downs,S,10.122024404880976
Makai Lemon,WR,11.4342
Monroe Freeling,OT,12.6348
Jordyn Tyson,WR,12.665533106621325
Jermod McCoy,CB,13.614245698279312
Spencer Fano,OT,15.69421652991795
Drew Allar,QB,17.666666666666668
Olaivavega Ioane,IOL,18.13572291582763
Akheem Mesidor,EDGE,18.564457831325303
Dillon Thieneman,S,18.776748971193417
Kenyon Sadiq,TE,18.824808184143222
Keldric Faulk,EDGE,19.243780096308186
Garrett Nussmeier,QB,19.75
Kadyn Proctor,OT,21.571896763621467
Avieon Terrell,CB,22.040389088602243
Peter Woods,DT,22.064099851914534
Caleb Lomu,OT,22.09514963880289
Ty Simpson,QB,22.313084112149532
C.J. Allen,LB,23.972972972972972
Emmanuel McNeil-Warren,S,24.04632911392405
Omar Cooper Jr.,WR,24.166411880323214
Denzel Boston,WR,26.18860510805501
T.J. Parker,EDGE,26.411865495823516
Kevin Concepcion,WR,26.9505376344086
Caleb Banks,DT,27.27777777777778
Kayden McDonald,DT,27.4352068696331
Blake Miller,OT,27.51574442066646
Max Iheanachor,OT,28.6736
Lee Hunter,DT,28.71875
Christen Miller,DT,29.125
Chase Bisontis,IOL,29.311475409836067
Jacob Rodriguez,LB,29.53846153846154
Emmanuel Pregnon,IOL,29.544354838709676
Cashius Howell,EDGE,29.91818684355998
Zion Young,EDGE,30.61455525606469
Anthony Hill Jr.,LB,30.833333333333332
Colton Hood,CB,30.83705583756345
Brandon Cisse,CB,31.257477243172954
Jadarian Price,RB,31.307692307692307
Chris Johnson,CB,31.386473429951693
R Mason Thomas,EDGE,31.49056603773585
Malachi Lawrence,EDGE,32.0
