pick,player,position,count,probability,moneyline
1,Fernando Mendoza,QB,5000,1.0,-inf
2,Arvell Reese,EDGE,3420,0.684,-216
2,David Bailey,EDGE,1206,0.2412,+315
2,Sonny Styles,LB,160,0.032,+3025
2,Rueben Bain,EDGE,125,0.025,+3900
2,Carnell Tate,WR,51,0.0102,+9704
2,Jeremiyah Love,RB,17,0.0034,+29312
2,Mansoor Delane,CB,17,0.0034,+29312
2,Francis Mauigoa,OT,3,0.0006,+166567
2,Caleb Downs,S,1,0.0002,+499900
3,David Bailey,EDGE,2050,0.41,+144
3,Arvell Reese,EDGE,1226,0.2452,+308
3,Francis Mauigoa,OT,765,0.153,+554
3,Sonny Styles,LB,473,0.0946,+957
3,Rueben Bain,EDGE,226,0.0452,+2112
3,Monroe Freeling,OT,118,0.0236,+4137
3,Jeremiyah Love,RB,69,0.0138,+7146
3,Spencer Fano,OT,31,0.0062,+16029
3,Carnell Tate,WR,21,0.0042,+23710
3,Mansoor Delane,CB,19,0.0038,+26216
3,Caleb Downs,S,2,0.0004,+249900
4,Jeremiyah Love,RB,1884,0.3768,+165
4,David Bailey,EDGE,1063,0.2126,+370
4,Rueben Bain,EDGE,609,0.1218,+721
4,Sonny Styles,LB,546,0.1092,+816
4,Carnell Tate,WR,497,0.0994,+906
4,Arvell Reese,EDGE,290,0.058,+1624
4,Francis Mauigoa,OT,48,0.0096,+10317
4,Makai Lemon,WR,39,0.0078,+12721
4,Mansoor Delane,CB,10,0.002,+49900
4,Caleb Downs,S,6,0.0012,+83233
4,Monroe Freeling,OT,5,0.001,+99900
4,Spencer Fano,OT,3,0.0006,+166567
5,Sonny Styles,LB,1538,0.3076,+225
5,Caleb Downs,S,756,0.1512,+561
5,Jeremiyah Love,RB,756,0.1512,+561
5,Francis Mauigoa,OT,729,0.1458,+586
5,Carnell Tate,WR,712,0.1424,+602
5,Makai Lemon,WR,151,0.0302,+3211
5,Spencer Fano,OT,76,0.0152,+6479
5,Monroe Freeling,OT,74,0.0148,+6657
5,Rueben Bain,EDGE,73,0.0146,+6749
5,David Bailey,EDGE,57,0.0114,+8672
5,Jordyn Tyson,WR,44,0.0088,+11264
5,Mansoor Delane,CB,19,0.0038,+26216
5,Arvell Reese,EDGE,15,0.003,+33233
6,Carnell Tate,WR,1732,0.3464,+189
6,Monroe Freeling,OT,1161,0.2322,+331
6,Francis Mauigoa,OT,858,0.1716,+483
6,Makai Lemon,WR,295,0.059,+1595
6,Jordyn Tyson,WR,263,0.0526,+1801
6,Spencer Fano,OT,137,0.0274,+3550
6,Rueben Bain,EDGE,123,0.0246,+3965
6,Jeremiyah Love,RB,122,0.0244,+3998
6,David Bailey,EDGE,112,0.0224,+4364
6,Sonny Styles,LB,104,0.0208,+4708
6,Mansoor Delane,CB,37,0.0074,+13414
6,Caleb Downs,S,25,0.005,+19900
6,Arvell Reese,EDGE,14,0.0028,+35614
6,Olaivavega Ioane,IOL,12,0.0024,+41567
6,Kenyon Sadiq,TE,3,0.0006,+166567
6,Jermod McCoy,CB,2,0.0004,+249900
7,Rueben Bain,EDGE,1732,0.3464,+189
7,Jeremiyah Love,RB,750,0.15,+567
7,Carnell Tate,WR,606,0.1212,+725
7,Sonny Styles,LB,572,0.1144,+774
7,David Bailey,EDGE,410,0.082,+1120
7,Caleb Downs,S,359,0.0718,+1293
7,Makai Lemon,WR,181,0.0362,+2662
7,Jordyn Tyson,WR,173,0.0346,+2790
7,Mansoor Delane,CB,66,0.0132,+7476
7,Francis Mauigoa,OT,61,0.0122,+8097
7,Arvell Reese,EDGE,31,0.0062,+16029
7,Monroe Freeling,OT,19,0.0038,+26216
7,Spencer Fano,OT,18,0.0036,+27678
7,Jermod McCoy,CB,13,0.0026,+38362
7,Dillon Thieneman,S,7,0.0014,+71329
7,Olaivavega Ioane,IOL,2,0.0004,+249900
8,Mansoor Delane,CB,1645,0.329,+204
8,Rueben Bain,EDGE,1027,0.2054,+387
8,Makai Lemon,WR,580,0.116,+762
8,Carnell Tate,WR,559,0.1118,+794
8,Jordyn Tyson,WR,251,0.0502,+1892
8,Jermod McCoy,CB,224,0.0448,+2132
8,Jeremiyah Love,RB,177,0.0354,+2725
8,Sonny Styles,LB,157,0.0314,+3085
8,Francis Mauigoa,OT,107,0.0214,+4573
8,David Bailey,EDGE,91,0.0182,+5395
8,Akheem Mesidor,EDGE,72,0.0144,+6844
8,Caleb Downs,S,47,0.0094,+10538
8,Spencer Fano,OT,28,0.0056,+17757
8,Monroe Freeling,OT,25,0.005,+19900
8,Arvell Reese,EDGE,4,0.0008,+124900
8,Kenyon Sadiq,TE,4,0.0008,+124900
8,Olaivavega Ioane,IOL,2,0.0004,+249900
9,Mansoor Delane,CB,1094,0.2188,+357
9,Francis Mauigoa,OT,878,0.1756,+469
9,Caleb Downs,S,512,0.1024,+877
9,Rueben Bain,EDGE,512,0.1024,+877
9,Monroe Freeling,OT,483,0.0966,+935
9,Spencer Fano,OT,312,0.0624,+1503
9,Makai Lemon,WR,242,0.0484,+1966
9,Jermod McCoy,CB,234,0.0468,+2037
9,Jordyn Tyson,WR,213,0.0426,+2247
9,Carnell Tate,WR,201,0.0402,+2388
9,Jeremiyah Love,RB,101,0.0202,+4850
9,Sonny Styles,LB,78,0.0156,+6310
9,Keldric Faulk,EDGE,55,0.011,+8991
9,Akheem Mesidor,EDGE,45,0.009,+11011
9,Dillon Thieneman,S,21,0.0042,+23710
9,David Bailey,EDGE,10,0.002,+49900
9,Olaivavega Ioane,IOL,5,0.001,+99900
9,Kenyon Sadiq,TE,4,0.0008,+124900
10,Caleb Downs,S,2119,0.4238,+136
10,Sonny Styles,LB,1093,0.2186,+357
10,Dillon Thieneman,S,381,0.0762,+1212
10,Jeremiyah Love,RB,238,0.0476,+2001
10,Francis Mauigoa,OT,224,0.0448,+2132
10,Olaivavega Ioane,IOL,188,0.0376,+2560
10,Spencer Fano,OT,161,0.0322,+3006
10,Monroe Freeling,OT,126,0.0252,+3868
10,Mansoor Delane,CB,121,0.0242,+4032
10,Rueben Bain,EDGE,73,0.0146,+6749
10,Makai Lemon,WR,70,0.014,+7043
10,Jermod McCoy,CB,58,0.0116,+8521
10,Jordyn Tyson,WR,58,0.0116,+8521
10,Carnell Tate,WR,54,0.0108,+9159
10,Kenyon Sadiq,TE,12,0.0024,+41567
10,Keldric Faulk,EDGE,10,0.002,+49900
10,Akheem Mesidor,EDGE,9,0.0018,+55456
10,Kadyn Proctor,OT,5,0.001,+99900
11,Makai Lemon,WR,1169,0.2338,+328
11,Mansoor Delane,CB,770,0.154,+549
11,Jordyn Tyson,WR,752,0.1504,+565
11,Jermod McCoy,CB,673,0.1346,+643
11,Olaivavega Ioane,IOL,245,0.049,+1941
11,Carnell Tate,WR,239,0.0478,+1992
11,Caleb Downs,S,205,0.041,+2339
11,Kenyon Sadiq,TE,182,0.0364,+2647
11,Rueben Bain,EDGE,168,0.0336,+2876
11,Akheem Mesidor,EDGE,123,0.0246,+3965
11,Jeremiyah Love,RB,108,0.0216,+4530
11,Dillon Thieneman,S,86,0.0172,+5714
11,Spencer Fano,OT,76,0.0152,+6479
11,Francis Mauigoa,OT,68,0.0136,+7253
11,Monroe Freeling,OT,59,0.0118,+8375
11,Sonny Styles,LB,29,0.0058,+17141
11,Keldric Faulk,EDGE,28,0.0056,+17757
11,Avieon Terrell,CB,14,0.0028,+35614
11,Kadyn Proctor,OT,4,0.0008,+124900
11,David Bailey,EDGE,1,0.0002,+499900
11,Peter Woods,DT,1,0.0002,+499900
12,Jermod McCoy,CB,1839,0.3678,+172
12,Mansoor Delane,CB,859,0.1718,+482
12,Caleb Downs,S,291,0.0582,+1618
12,Avieon Terrell,CB,240,0.048,+1983
12,Keldric Faulk,EDGE,196,0.0392,+2451
12,Sonny Styles,LB,194,0.0388,+2477
12,Akheem Mesidor,EDGE,193,0.0386,+2491
12,Francis Mauigoa,OT,170,0.034,+2841
12,Jeremiyah Love,RB,167,0.0334,+2894
12,Dillon Thieneman,S,160,0.032,+3025
12,Rueben Bain,EDGE,150,0.03,+3233
12,Spencer Fano,OT,117,0.0234,+4174
12,Monroe Freeling,OT,112,0.0224,+4364
12,Jordyn Tyson,WR,100,0.02,+4900
12,Makai Lemon,WR,87,0.0174,+5647
12,Olaivavega Ioane,IOL,37,0.0074,+13414
12,Kenyon Sadiq,TE,35,0.007,+14186
12,Carnell Tate,WR,28,0.0056,+17757
12,Kadyn Proctor,OT,7,0.0014,+71329
12,Peter Woods,DT,7,0.0014,+71329
12,Caleb Lomu,OT,6,0.0012,+83233
12,Emmanuel McNeil-Warren,S,5,0.001,+99900
13,Jordyn Tyson,WR,1229,0.2458,+307
13,Spencer Fano,OT,882,0.1764,+467
13,Makai Lemon,WR,879,0.1758,+469
13,Monroe Freeling,OT,761,0.1522,+557
13,Francis Mauigoa,OT,557,0.1114,+798
13,Carnell Tate,WR,175,0.035,+2757
13,Kadyn Proctor,OT,130,0.026,+3746
13,Jeremiyah Love,RB,94,0.0188,+5219
13,Caleb Lomu,OT,47,0.0094,+10538
13,Jermod McCoy,CB,31,0.0062,+16029
13,Caleb Downs,S,29,0.0058,+17141
13,Kenyon Sadiq,TE,28,0.0056,+17757
