pick,player,position,count,probability
1,Fernando Mendoza,QB,5000,1.0
2,Arvell Reese,EDGE,3420,0.684
2,David Bailey,EDGE,1206,0.2412
2,Sonny Styles,LB,160,0.032
2,Rueben Bain,EDGE,125,0.025
2,Carnell Tate,WR,51,0.0102
2,Jeremiyah Love,RB,17,0.0034
2,Mansoor Delane,CB,17,0.0034
2,Francis Mauigoa,OT,3,0.0006
2,Caleb Downs,S,1,0.0002
3,David Bailey,EDGE,2050,0.41
3,Arvell Reese,EDGE,1226,0.2452
3,Francis Mauigoa,OT,765,0.153
3,Sonny Styles,LB,473,0.0946
3,Rueben Bain,EDGE,226,0.0452
3,Monroe Freeling,OT,118,0.0236
3,Jeremiyah Love,RB,69,0.0138
3,Spencer Fano,OT,31,0.0062
3,Carnell Tate,WR,21,0.0042
3,Mansoor Delane,CB,19,0.0038
3,Caleb Downs,S,2,0.0004
4,Jeremiyah Love,RB,1884,0.3768
4,David Bailey,EDGE,1063,0.2126
4,Rueben Bain,EDGE,609,0.1218
4,Sonny Styles,LB,546,0.1092
4,Carnell Tate,WR,497,0.0994
4,Arvell Reese,EDGE,290,0.058
4,Francis Mauigoa,OT,48,0.0096
4,Makai Lemon,WR,39,0.0078
4,Mansoor Delane,CB,10,0.002
4,Caleb Downs,S,6,0.0012
4,Monroe Freeling,OT,5,0.001
4,Spencer Fano,OT,3,0.0006
5,Sonny Styles,LB,1538,0.3076
5,Caleb Downs,S,756,0.1512
5,Jeremiyah Love,RB,756,0.1512
5,Francis Mauigoa,OT,729,0.1458
5,Carnell Tate,WR,712,0.1424
5,Makai Lemon,WR,151,0.0302
5,Spencer Fano,OT,76,0.0152
5,Monroe Freeling,OT,74,0.0148
5,Rueben Bain,EDGE,73,0.0146
5,David Bailey,EDGE,57,0.0114
5,Jordyn Tyson,WR,44,0.0088
5,Mansoor Delane,CB,19,0.0038
5,Arvell Reese,EDGE,15,0.003
6,Carnell Tate,WR,1732,0.3464
6,Monroe Freeling,OT,1161,0.2322
6,Francis Mauigoa,OT,858,0.1716
6,Makai Lemon,WR,295,0.059
6,Jordyn Tyson,WR,263,0.0526
6,Spencer Fano,OT,137,0.0274
6,Rueben Bain,EDGE,123,0.0246
6,Jeremiyah Love,RB,122,0.0244
6,David Bailey,EDGE,112,0.0224
6,Sonny Styles,LB,104,0.0208
6,Mansoor Delane,CB,37,0.0074
6,Caleb Downs,S,25,0.005
6,Arvell Reese,EDGE,14,0.0028
6,Olaivavega Ioane,IOL,12,0.0024
6,Kenyon Sadiq,TE,3,0.0006
6,Jermod McCoy,CB,2,0.0004
7,Rueben Bain,EDGE,1732,0.3464
7,Jeremiyah Love,RB,750,0.15
7,Carnell Tate,WR,606,0.1212
7,Sonny Styles,LB,572,0.1144
7,David Bailey,EDGE,410,0.082
7,Caleb Downs,S,359,0.0718
7,Makai Lemon,WR,181,0.0362
7,Jordyn Tyson,WR,173,0.0346
7,Mansoor Delane,CB,66,0.0132
7,Francis Mauigoa,OT,61,0.0122
7,Arvell Reese,EDGE,31,0.0062
7,Monroe Freeling,OT,19,0.0038
7,Spencer Fano,OT,18,0.0036
7,Jermod McCoy,CB,13,0.0026
7,Dillon Thieneman,S,7,0.0014
7,Olaivavega Ioane,IOL,2,0.0004
8,Mansoor Delane,CB,1645,0.329
8,Rueben Bain,EDGE,1027,0.2054
8,Makai Lemon,WR,580,0.116
