team,player,position,count,probability,moneyline
ARI,David Bailey,EDGE,2050,0.41,+144
ARI,Arvell Reese,EDGE,1226,0.2452,+308
ARI,Francis Mauigoa,OT,765,0.153,+554
ARI,Sonny Styles,LB,473,0.0946,+957
ARI,Rueben Bain,EDGE,226,0.0452,+2112
ARI,Monroe Freeling,OT,118,0.0236,+4137
ARI,Jeremiyah Love,RB,69,0.0138,+7146
ARI,Spencer Fano,OT,31,0.0062,+16029
ARI,Carnell Tate,WR,21,0.0042,+23710
ARI,Mansoor Delane,CB,19,0.0038,+26216
ARI,Caleb Downs,S,2,0.0004,+249900
BAL,Olaivavega Ioane,IOL,1196,0.2392,+318
BAL,Jordyn Tyson,WR,983,0.1966,+409
BAL,Kenyon Sadiq,TE,902,0.1804,+454
BAL,Makai Lemon,WR,746,0.1492,+570
BAL,Akheem Mesidor,EDGE,161,0.0322,+3006
BAL,Spencer Fano,OT,150,0.03,+3233
BAL,Jeremiyah Love,RB,143,0.0286,+3397
BAL,Monroe Freeling,OT,127,0.0254,+3837
BAL,Francis Mauigoa,OT,99,0.0198,+4951
BAL,Carnell Tate,WR,81,0.0162,+6073
BAL,Keldric Faulk,EDGE,72,0.0144,+6844
BAL,Jermod McCoy,CB,67,0.0134,+7363
BAL,Dillon Thieneman,S,44,0.0088,+11264
BAL,Caleb Downs,S,43,0.0086,+11528
BAL,Rueben Bain,EDGE,40,0.008,+12400
BAL,Omar Cooper Jr.,WR,33,0.0066,+15052
BAL,Kadyn Proctor,OT,32,0.0064,+15525
BAL,Caleb Lomu,OT,26,0.0052,+19131
BAL,Mansoor Delane,CB,24,0.0048,+20733
BAL,Peter Woods,DT,14,0.0028,+35614
BAL,Sonny Styles,LB,7,0.0014,+71329
BAL,Emmanuel McNeil-Warren,S,5,0.001,+99900
BAL,Avieon Terrell,CB,3,0.0006,+166567
BAL,C.J. Allen,LB,1,0.0002,+499900
BAL,Ty Simpson,QB,1,0.0002,+499900
BUF,T.J. Parker,EDGE,993,0.1986,+404
BUF,Kevin Concepcion,WR,701,0.1402,+613
BUF,Omar Cooper Jr.,WR,696,0.1392,+618
BUF,Denzel Boston,WR,604,0.1208,+728
BUF,Cashius Howell,EDGE,301,0.0602,+1561
BUF,Emmanuel McNeil-Warren,S,260,0.052,+1823
BUF,Olaivavega Ioane,IOL,231,0.0462,+2065
BUF,Keldric Faulk,EDGE,230,0.046,+2074
BUF,Akheem Mesidor,EDGE,217,0.0434,+2204
BUF,Kayden McDonald,DT,120,0.024,+4067
BUF,C.J. Allen,LB,103,0.0206,+4754
BUF,Peter Woods,DT,98,0.0196,+5002
BUF,Dillon Thieneman,S,91,0.0182,+5395
BUF,Caleb Banks,DT,90,0.018,+5456
BUF,Zion Young,EDGE,83,0.0166,+5924
BUF,Blake Miller,OT,31,0.0062,+16029
BUF,Avieon Terrell,CB,27,0.0054,+18419
BUF,Kenyon Sadiq,TE,26,0.0052,+19131
BUF,Caleb Lomu,OT,22,0.0044,+22627
BUF,Kadyn Proctor,OT,21,0.0042,+23710
BUF,Emmanuel Pregnon,IOL,15,0.003,+33233
BUF,Jordyn Tyson,WR,11,0.0022,+45355
BUF,Spencer Fano,OT,6,0.0012,+83233
BUF,Colton Hood,CB,5,0.001,+99900
BUF,Lee Hunter,DT,5,0.001,+99900
BUF,Jacob Rodriguez,LB,3,0.0006,+166567
BUF,Makai Lemon,WR,3,0.0006,+166567
BUF,Ty Simpson,QB,2,0.0004,+249900
BUF,Caleb Downs,S,1,0.0002,+499900
BUF,Chris Johnson,CB,1,0.0002,+499900
BUF,Jermod McCoy,CB,1,0.0002,+499900
BUF,Max Iheanachor,OT,1,0.0002,+499900
BUF,Monroe Freeling,OT,1,0.0002,+499900
CAR,Kenyon Sadiq,TE,1212,0.2424,+313
CAR,Peter Woods,DT,891,0.1782,+461
CAR,Keldric Faulk,EDGE,701,0.1402,+613
CAR,Akheem Mesidor,EDGE,684,0.1368,+631
CAR,Kadyn Proctor,OT,234,0.0468,+2037
CAR,Omar Cooper Jr.,WR,221,0.0442,+2162
CAR,Spencer Fano,OT,160,0.032,+3025
CAR,Monroe Freeling,OT,122,0.0244,+3998
CAR,Caleb Lomu,OT,115,0.023,+4248
CAR,Jordyn Tyson,WR,99,0.0198,+4951
CAR,Avieon Terrell,CB,77,0.0154,+6394
CAR,T.J. Parker,EDGE,70,0.014,+7043
CAR,Makai Lemon,WR,60,0.012,+8233
CAR,Denzel Boston,WR,54,0.0108,+9159
CAR,Kevin Concepcion,WR,53,0.0106,+9334
CAR,Olaivavega Ioane,IOL,49,0.0098,+10104
CAR,Jermod McCoy,CB,47,0.0094,+10538
CAR,Dillon Thieneman,S,39,0.0078,+12721
CAR,Francis Mauigoa,OT,26,0.0052,+19131
CAR,Caleb Banks,DT,18,0.0036,+27678
CAR,C.J. Allen,LB,15,0.003,+33233
CAR,Caleb Downs,S,14,0.0028,+35614
CAR,Emmanuel McNeil-Warren,S,10,0.002,+49900
CAR,Jeremiyah Love,RB,9,0.0018,+55456
CAR,Rueben Bain,EDGE,7,0.0014,+71329
CAR,Blake Miller,OT,5,0.001,+99900
CAR,Carnell Tate,WR,5,0.001,+99900
CAR,Mansoor Delane,CB,2,0.0004,+249900
CAR,Sonny Styles,LB,1,0.0002,+499900
CHI,Emmanuel McNeil-Warren,S,1188,0.2376,+321
CHI,Peter Woods,DT,1104,0.2208,+353
CHI,Caleb Banks,DT,894,0.1788,+459
CHI,Kayden McDonald,DT,795,0.159,+529
CHI,Dillon Thieneman,S,401,0.0802,+1147
CHI,Avieon Terrell,CB,103,0.0206,+4754
CHI,C.J. Allen,LB,54,0.0108,+9159
CHI,Omar Cooper Jr.,WR,49,0.0098,+10104
CHI,T.J. Parker,EDGE,46,0.0092,+10770
CHI,Lee Hunter,DT,44,0.0088,+11264
CHI,Kenyon Sadiq,TE,40,0.008,+12400
CHI,Kevin Concepcion,WR,40,0.008,+12400
CHI,Denzel Boston,WR,37,0.0074,+13414
CHI,Caleb Lomu,OT,33,0.0066,+15052
CHI,Kadyn Proctor,OT,28,0.0056,+17757
CHI,Olaivavega Ioane,IOL,24,0.0048,+20733
CHI,Keldric Faulk,EDGE,22,0.0044,+22627
CHI,Akheem Mesidor,EDGE,20,0.004,+24900
CHI,Blake Miller,OT,16,0.0032,+31150
CHI,Caleb Downs,S,15,0.003,+33233
CHI,Colton Hood,CB,12,0.0024,+41567
CHI,Jermod McCoy,CB,12,0.0024,+41567
CHI,Spencer Fano,OT,10,0.002,+49900
CHI,Cashius Howell,EDGE,3,0.0006,+166567
CHI,Monroe Freeling,OT,3,0.0006,+166567
CHI,Mansoor Delane,CB,2,0.0004,+249900
CHI,Brandon Cisse,CB,1,0.0002,+499900
CHI,Chris Johnson,CB,1,0.0002,+499900
CHI,Jordyn Tyson,WR,1,0.0002,+499900
CHI,Max Iheanachor,OT,1,0.0002,+499900
CHI,Ty Simpson,QB,1,0.0002,+499900
CIN,Caleb Downs,S,2119,0.4238,+136
CIN,Sonny Styles,LB,1093,0.2186,+357
CIN,Dillon Thieneman,S,381,0.0762,+1212
CIN,Jeremiyah Love,RB,238,0.0476,+2001
CIN,Francis Mauigoa,OT,224,0.0448,+2132
CIN,Olaivavega Ioane,IOL,188,0.0376,+2560
CIN,Spencer Fano,OT,161,0.0322,+3006
CIN,Monroe Freeling,OT,126,0.0252,+3868
CIN,Mansoor Delane,CB,121,0.0242,+4032
CIN,Rueben Bain,EDGE,73,0.0146,+6749
CIN,Makai Lemon,WR,70,0.014,+7043
CIN,Jermod McCoy,CB,58,0.0116,+8521
CIN,Jordyn Tyson,WR,58,0.0116,+8521
CIN,Carnell Tate,WR,54,0.0108,+9159
CIN,Kenyon Sadiq,TE,12,0.0024,+41567
CIN,Keldric Faulk,EDGE,10,0.002,+49900
CIN,Akheem Mesidor,EDGE,9,0.0018,+55456
CIN,Kadyn Proctor,OT,5,0.001,+99900
CLE,Carnell Tate,WR,1732,0.3464,+189
CLE,Monroe Freeling,OT,1239,0.2478,+304
CLE,Omar Cooper Jr.,WR,962,0.1924,+420
CLE,Francis Mauigoa,OT,859,0.1718,+482
CLE,Caleb Lomu,OT,813,0.1626,+515
