team,player,position,count,probability
ARI,David Bailey,EDGE,2050,0.41
ARI,Arvell Reese,EDGE,1226,0.2452
ARI,Francis Mauigoa,OT,765,0.153
ARI,Sonny Styles,LB,473,0.0946
ARI,Rueben Bain,EDGE,226,0.0452
ARI,Monroe Freeling,OT,118,0.0236
ARI,Jeremiyah Love,RB,69,0.0138
ARI,Spencer Fano,OT,31,0.0062
ARI,Carnell Tate,WR,21,0.0042
ARI,Mansoor Delane,CB,19,0.0038
ARI,Caleb Downs,S,2,0.0004
BAL,Olaivavega Ioane,IOL,1196,0.2392
BAL,Jordyn Tyson,WR,983,0.1966
BAL,Kenyon Sadiq,TE,902,0.1804
BAL,Makai Lemon,WR,746,0.1492
BAL,Akheem Mesidor,EDGE,161,0.0322
BAL,Spencer Fano,OT,150,0.03
BAL,Jeremiyah Love,RB,143,0.0286
BAL,Monroe Freeling,OT,127,0.0254
BAL,Francis Mauigoa,OT,99,0.0198
BAL,Carnell Tate,WR,81,0.0162
BAL,Keldric Faulk,EDGE,72,0.0144
BAL,Jermod McCoy,CB,67,0.0134
BAL,Dillon Thieneman,S,44,0.0088
BAL,Caleb Downs,S,43,0.0086
BAL,Rueben Bain,EDGE,40,0.008
BAL,Omar Cooper Jr.,WR,33,0.0066
BAL,Kadyn Proctor,OT,32,0.0064
BAL,Caleb Lomu,OT,26,0.0052
BAL,Mansoor Delane,CB,24,0.0048
BAL,Peter Woods,DT,14,0.0028
BAL,Sonny Styles,LB,7,0.0014
BAL,Emmanuel McNeil-Warren,S,5,0.001
BAL,Avieon Terrell,CB,3,0.0006
BAL,C.J. Allen,LB,1,0.0002
BAL,Ty Simpson,QB,1,0.0002
BUF,T.J. Parker,EDGE,993,0.1986
BUF,Kevin Concepcion,WR,701,0.1402
BUF,Omar Cooper Jr.,WR,696,0.1392
BUF,Denzel Boston,WR,604,0.1208
BUF,Cashius Howell,EDGE,301,0.0602
BUF,Emmanuel McNeil-Warren,S,260,0.052
BUF,Olaivavega Ioane,IOL,231,0.0462
BUF,Keldric Faulk,EDGE,230,0.046
BUF,Akheem Mesidor,EDGE,217,0.0434
BUF,Kayden McDonald,DT,120,0.024
BUF,C.J. Allen,LB,103,0.0206
BUF,Peter Woods,DT,98,0.0196
BUF,Dillon Thieneman,S,91,0.0182
BUF,Caleb Banks,DT,90,0.018
BUF,Zion Young,EDGE,83,0.0166
BUF,Blake Miller,OT,31,0.0062
BUF,Avieon Terrell,CB,27,0.0054
BUF,Kenyon Sadiq,TE,26,0.0052
BUF,Caleb Lomu,OT,22,0.0044
BUF,Kadyn Proctor,OT,21,0.0042
BUF,Emmanuel Pregnon,IOL,15,0.003
BUF,Jordyn Tyson,WR,11,0.0022
BUF,Spencer Fano,OT,6,0.0012
BUF,Colton Hood,CB,5,0.001
BUF,Lee Hunter,DT,5,0.001
BUF,Jacob Rodriguez,LB,3,0.0006
BUF,Makai Lemon,WR,3,0.0006
BUF,Ty Simpson,QB,2,0.0004
BUF,Caleb Downs,S,1,0.0002
BUF,Chris Johnson,CB,1,0.0002
BUF,Jermod McCoy,CB,1,0.0002
BUF,Max Iheanachor,OT,1,0.0002
BUF,Monroe Freeling,OT,1,0.0002
CAR,Kenyon Sadiq,TE,1212,0.2424
CAR,Peter Woods,DT,891,0.1782
CAR,Keldric Faulk,EDGE,701,0.1402
CAR,Akheem Mesidor,EDGE,684,0.1368
CAR,Kadyn Proctor,OT,234,0.0468
CAR,Omar Cooper Jr.,WR,221,0.0442
CAR,Spencer Fano,OT,160,0.032
CAR,Monroe Freeling,OT,122,0.0244
CAR,Caleb Lomu,OT,115,0.023
CAR,Jordyn Tyson,WR,99,0.0198
CAR,Avieon Terrell,CB,77,0.0154
CAR,T.J. Parker,EDGE,70,0.014
CAR,Makai Lemon,WR,60,0.012
CAR,Denzel Boston,WR,54,0.0108
CAR,Kevin Concepcion,WR,53,0.0106
CAR,Olaivavega Ioane,IOL,49,0.0098
CAR,Jermod McCoy,CB,47,0.0094
CAR,Dillon Thieneman,S,39,0.0078
CAR,Francis Mauigoa,OT,26,0.0052
CAR,Caleb Banks,DT,18,0.0036
CAR,C.J. Allen,LB,15,0.003
CAR,Caleb Downs,S,14,0.0028
CAR,Emmanuel McNeil-Warren,S,10,0.002
CAR,Jeremiyah Love,RB,9,0.0018
CAR,Rueben Bain,EDGE,7,0.0014
CAR,Blake Miller,OT,5,0.001
CAR,Carnell Tate,WR,5,0.001
CAR,Mansoor Delane,CB,2,0.0004
CAR,Sonny Styles,LB,1,0.0002
CHI,Emmanuel McNeil-Warren,S,1188,0.2376
CHI,Peter Woods,DT,1104,0.2208
CHI,Caleb Banks,DT,894,0.1788
CHI,Kayden McDonald,DT,795,0.159
CHI,Dillon Thieneman,S,401,0.0802
CHI,Avieon Terrell,CB,103,0.0206
CHI,C.J. Allen,LB,54,0.0108
CHI,Omar Cooper Jr.,WR,49,0.0098
CHI,T.J. Parker,EDGE,46,0.0092
CHI,Lee Hunter,DT,44,0.0088
CHI,Kenyon Sadiq,TE,40,0.008
CHI,Kevin Concepcion,WR,40,0.008
CHI,Denzel Boston,WR,37,0.0074
CHI,Caleb Lomu,OT,33,0.0066
CHI,Kadyn Proctor,OT,28,0.0056
CHI,Olaivavega Ioane,IOL,24,0.0048
CHI,Keldric Faulk,EDGE,22,0.0044
CHI,Akheem Mesidor,EDGE,20,0.004
CHI,Blake Miller,OT,16,0.0032
CHI,Caleb Downs,S,15,0.003
CHI,Colton Hood,CB,12,0.0024
CHI,Jermod McCoy,CB,12,0.0024
CHI,Spencer Fano,OT,10,0.002
CHI,Cashius Howell,EDGE,3,0.0006
CHI,Monroe Freeling,OT,3,0.0006
CHI,Mansoor Delane,CB,2,0.0004
CHI,Brandon Cisse,CB,1,0.0002
CHI,Chris Johnson,CB,1,0.0002
CHI,Jordyn Tyson,WR,1,0.0002
CHI,Max Iheanachor,OT,1,0.0002
CHI,Ty Simpson,QB,1,0.0002
CIN,Caleb Downs,S,2119,0.4238
CIN,Sonny Styles,LB,1093,0.2186
CIN,Dillon Thieneman,S,381,0.0762
CIN,Jeremiyah Love,RB,238,0.0476
CIN,Francis Mauigoa,OT,224,0.0448
CIN,Olaivavega Ioane,IOL,188,0.0376
CIN,Spencer Fano,OT,161,0.0322
CIN,Monroe Freeling,OT,126,0.0252
CIN,Mansoor Delane,CB,121,0.0242
CIN,Rueben Bain,EDGE,73,0.0146
CIN,Makai Lemon,WR,70,0.014
CIN,Jermod McCoy,CB,58,0.0116
