player,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_pick
Arvell Reese,2.5,0.684,-216,0.31599999999999995,+216,2.4172
David Bailey,3.5,0.6512,-187,0.3488,+187,3.494
Sonny Styles,5.5,0.5434,-119,0.4566,+119,6.516
Carnell Tate,6.5,0.6026,-152,0.3974,+152,6.8572
Jeremiyah Love,5.5,0.5452,-120,0.4548,+120,7.0026
Rueben Bain,7.5,0.5776,-137,0.4224,+137,7.3072
Francis Mauigoa,7.5,0.4928,+103,0.5072,-103,8.3042
Mansoor Delane,9.5,0.5814,-139,0.41859999999999997,+139,9.8742
Caleb Downs,9.5,0.3416,+193,0.6584,-193,10.122024404880976
Makai Lemon,11.5,0.5454,-120,0.4546,+120,11.4342
Monroe Freeling,12.5,0.4364,+129,0.5636,-129,12.6348
Jordyn Tyson,13.5,0.6166,-161,0.38339999999999996,+161,12.665533106621325
Jermod McCoy,12.5,0.6086,-155,0.39139999999999997,+155,13.614245698279312
Spencer Fano,16.5,0.4606,+117,0.5394,-117,15.69421652991795
Drew Allar,16.5,0.0004,+249900,0.9996,-249900,17.666666666666668
Olaivavega Ioane,16.5,0.568,-131,0.43200000000000005,+131,18.13572291582763
Akheem Mesidor,18.5,0.4458,+124,0.5542,-124,18.564457831325303
Dillon Thieneman,18.5,0.6374,-176,0.36260000000000003,+176,18.776748971193417
Kenyon Sadiq,18.5,0.4584,+118,0.5416000000000001,-118,18.824808184143222
Keldric Faulk,19.5,0.5322,-114,0.4678,+114,19.243780096308186
Garrett Nussmeier,16.5,0.0002,+499900,0.9998,-499900,19.75
Kadyn Proctor,21.5,0.532,-114,0.46799999999999997,+114,21.571896763621467
Avieon Terrell,20.5,0.4796,+109,0.5204,-109,22.040389088602243
Peter Woods,22.5,0.5892,-143,0.41080000000000005,+143,22.064099851914534
Caleb Lomu,22.5,0.4896,+104,0.5104,-104,22.09514963880289
Ty Simpson,31.5,0.0406,+2363,0.9594,-2363,22.313084112149532
C.J. Allen,31.5,0.2724,+267,0.7276,-267,23.972972972972972
Emmanuel McNeil-Warren,25.5,0.5606,-128,0.4394,+128,24.04632911392405
Omar Cooper Jr.,24.5,0.5376,-116,0.46240000000000003,+116,24.166411880323214
Denzel Boston,27.5,0.5788,-137,0.4212,+137,26.18860510805501
T.J. Parker,26.5,0.4956,+102,0.5044,-102,26.411865495823516
Kevin Concepcion,28.5,0.4578,+118,0.5422,-118,26.9505376344086
Caleb Banks,30.5,0.4554,+120,0.5446,-120,27.27777777777778
Kayden McDonald,31.5,0.503,-101,0.497,+101,27.4352068696331
Blake Miller,28.5,0.486,+106,0.514,-106,27.51574442066646
Max Iheanachor,31.5,0.1216,+722,0.8784,-722,28.6736
Lee Hunter,31.5,0.0278,+3497,0.9722,-3497,28.71875
Christen Miller,30.5,0.0042,+23710,0.9958,-23710,29.125
Chase Bisontis,30.5,0.0102,+9704,0.9898,-9704,29.311475409836067
Jacob Rodriguez,31.5,0.0016,+62400,0.9984,-62400,29.53846153846154
Emmanuel Pregnon,31.5,0.0416,+2304,0.9584,-2304,29.544354838709676
Cashius Howell,31.5,0.5174,-107,0.48260000000000003,+107,29.91818684355998
Zion Young,31.5,0.2486,+302,0.7514000000000001,-302,30.61455525606469
Anthony Hill Jr.,31.5,0.001,+99900,0.999,-99900,30.833333333333332
Colton Hood,31.5,0.1712,+484,0.8288,-484,30.83705583756345
Brandon Cisse,31.5,0.0492,+1933,0.9508,-1933,31.257477243172954
Jadarian Price,31.5,0.0008,+124900,0.9992,-124900,31.307692307692307
Chris Johnson,31.5,0.0104,+9515,0.9896,-9515,31.386473429951693
R Mason Thomas,31.5,0.0054,+18419,0.9946,-18419,31.49056603773585
