team,position,count,probability,moneyline
ARI,EDGE,3502,0.7004,-234
ARI,OT,914,0.1828,+447
ARI,LB,473,0.0946,+957
ARI,RB,69,0.0138,+7146
ARI,WR,21,0.0042,+23710
ARI,CB,19,0.0038,+26216
ARI,S,2,0.0004,+249900
BAL,WR,1843,0.3686,+171
BAL,IOL,1196,0.2392,+318
BAL,TE,902,0.1804,+454
BAL,OT,434,0.0868,+1052
BAL,EDGE,273,0.0546,+1732
BAL,RB,143,0.0286,+3397
BAL,CB,94,0.0188,+5219
BAL,S,92,0.0184,+5335
BAL,DT,14,0.0028,+35614
BAL,LB,8,0.0016,+62400
BAL,QB,1,0.0002,+499900
BUF,WR,2015,0.403,+148
BUF,EDGE,1824,0.3648,+174
BUF,S,352,0.0704,+1320
BUF,DT,313,0.0626,+1497
BUF,IOL,246,0.0492,+1933
BUF,LB,106,0.0212,+4617
BUF,OT,82,0.0164,+5998
BUF,CB,34,0.0068,+14606
BUF,TE,26,0.0052,+19131
BUF,QB,2,0.0004,+249900
CAR,EDGE,1462,0.2924,+242
CAR,TE,1212,0.2424,+313
CAR,DT,909,0.1818,+450
CAR,OT,662,0.1324,+655
CAR,WR,492,0.0984,+916
CAR,CB,126,0.0252,+3868
CAR,S,63,0.0126,+7837
CAR,IOL,49,0.0098,+10104
CAR,LB,16,0.0032,+31150
CAR,RB,9,0.0018,+55456
CHI,DT,2837,0.5674,-131
CHI,S,1604,0.3208,+212
CHI,CB,131,0.0262,+3717
CHI,WR,127,0.0254,+3837
CHI,EDGE,91,0.0182,+5395
CHI,OT,91,0.0182,+5395
CHI,LB,54,0.0108,+9159
CHI,TE,40,0.008,+12400
CHI,IOL,24,0.0048,+20733
CHI,QB,1,0.0002,+499900
CIN,S,2500,0.5,-100
CIN,LB,1093,0.2186,+357
CIN,OT,516,0.1032,+869
CIN,RB,238,0.0476,+2001
CIN,IOL,188,0.0376,+2560
CIN,WR,182,0.0364,+2647
CIN,CB,179,0.0358,+2693
CIN,EDGE,92,0.0184,+5335
CIN,TE,12,0.0024,+41567
CLE,WR,4434,0.8868,-783
CLE,OT,3971,0.7942,-386
CLE,EDGE,416,0.0832,+1102
CLE,IOL,328,0.0656,+1424
CLE,S,172,0.0344,+2807
CLE,LB,165,0.033,+2930
CLE,CB,142,0.0284,+3421
CLE,DT,125,0.025,+3900
CLE,RB,122,0.0244,+3998
