position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,7.5,0.716,-252,0.28400000000000003,+252,7.1116
OT,5.5,0.327,+206,0.673,-206,5.724
WR,5.5,0.4554,+120,0.5446,-120,5.474
CB,3.5,0.4932,+103,0.5067999999999999,-103,3.5346
S,2.5,0.2346,+326,0.7654,-326,2.7618
DT,2.5,0.7336,-275,0.26639999999999997,+275,2.074260414570336
LB,1.5,0.7086,-243,0.2914,+243,1.2924
IOL,1.5,0.9334,-1402,0.06659999999999999,+1402,1.0613682092555332
QB,1.5,0.9558,-2162,0.04420000000000002,+2162,1.0442
RB,1.5,0.9974,-38362,0.0026000000000000467,+38362,1.0026
TE,1.5,0.9384,-1523,0.06159999999999999,+1523,1.0
