team,player,position,count,probability,moneyline
ARI,Francis Mauigoa,OT,1675,0.335,+199
ARI,David Bailey,EDGE,1390,0.278,+260
ARI,Arvell Reese,LB,1339,0.2678,+273
ARI,Sonny Styles,LB,170,0.034,+2841
ARI,Rueben Bain,EDGE,169,0.0338,+2859
ARI,Spencer Fano,OT,108,0.0216,+4530
ARI,Jeremiyah Love,RB,73,0.0146,+6749
ARI,Monroe Freeling,OT,29,0.0058,+17141
ARI,Carnell Tate,WR,28,0.0056,+17757
ARI,Mansoor Delane,CB,17,0.0034,+29312
ARI,Caleb Downs,S,2,0.0004,+249900
BAL,Olaivavega Ioane,IOL,1539,0.3078,+225
BAL,Jordyn Tyson,WR,965,0.193,+418
BAL,Makai Lemon,WR,579,0.1158,+764
BAL,Omar Cooper Jr.,WR,552,0.1104,+806
BAL,Kenyon Sadiq,TE,544,0.1088,+819
BAL,Monroe Freeling,OT,154,0.0308,+3147
BAL,Jeremiyah Love,RB,91,0.0182,+5395
BAL,Akheem Mesidor,EDGE,74,0.0148,+6657
BAL,Keldric Faulk,EDGE,67,0.0134,+7363
BAL,Kadyn Proctor,OT,59,0.0118,+8375
BAL,Dillon Thieneman,S,56,0.0112,+8829
BAL,Spencer Fano,OT,54,0.0108,+9159
BAL,Carnell Tate,WR,47,0.0094,+10538
BAL,Sonny Styles,LB,47,0.0094,+10538
BAL,Francis Mauigoa,OT,40,0.008,+12400
BAL,Jermod McCoy,CB,37,0.0074,+13414
BAL,Kevin Concepcion,WR,34,0.0068,+14606
BAL,Rueben Bain,EDGE,20,0.004,+24900
BAL,Caleb Downs,S,12,0.0024,+41567
BAL,Mansoor Delane,CB,9,0.0018,+55456
BAL,Caleb Lomu,OT,7,0.0014,+71329
BAL,Blake Miller,OT,4,0.0008,+124900
BAL,Emmanuel McNeil-Warren,S,4,0.0008,+124900
BAL,Avieon Terrell,CB,2,0.0004,+249900
BAL,David Bailey,EDGE,2,0.0004,+249900
BAL,Arvell Reese,LB,1,0.0002,+499900
BUF,T.J. Parker,EDGE,941,0.1882,+431
BUF,Denzel Boston,WR,907,0.1814,+451
BUF,Kevin Concepcion,WR,761,0.1522,+557
BUF,Cashius Howell,EDGE,568,0.1136,+780
BUF,Kayden McDonald,DT,299,0.0598,+1572
BUF,Peter Woods,DT,278,0.0556,+1699
BUF,Olaivavega Ioane,IOL,162,0.0324,+2986
BUF,Zion Young,EDGE,135,0.027,+3604
BUF,Emmanuel McNeil-Warren,S,93,0.0186,+5276
BUF,Omar Cooper Jr.,WR,85,0.017,+5782
