pick,player,position,count,probability,moneyline
1,Fernando Mendoza,QB,5000,1.0,-inf
2,Arvell Reese,LB,2614,0.5228,-110
2,David Bailey,EDGE,1917,0.3834,+161
2,Carnell Tate,WR,180,0.036,+2678
2,Sonny Styles,LB,157,0.0314,+3085
2,Rueben Bain,EDGE,59,0.0118,+8375
2,Jeremiyah Love,RB,34,0.0068,+14606
2,Mansoor Delane,CB,20,0.004,+24900
2,Francis Mauigoa,OT,18,0.0036,+27678
2,Caleb Downs,S,1,0.0002,+499900
3,Francis Mauigoa,OT,1597,0.3194,+213
3,David Bailey,EDGE,1477,0.2954,+239
3,Arvell Reese,LB,1381,0.2762,+262
3,Sonny Styles,LB,159,0.0318,+3045
3,Rueben Bain,EDGE,147,0.0294,+3301
3,Spencer Fano,OT,104,0.0208,+4708
3,Jeremiyah Love,RB,68,0.0136,+7253
3,Carnell Tate,WR,31,0.0062,+16029
3,Monroe Freeling,OT,24,0.0048,+20733
3,Mansoor Delane,CB,10,0.002,+49900
3,Caleb Downs,S,2,0.0004,+249900
4,Jeremiyah Love,RB,1968,0.3936,+154
4,David Bailey,EDGE,1027,0.2054,+387
4,Carnell Tate,WR,576,0.1152,+768
4,Arvell Reese,LB,501,0.1002,+898
4,Rueben Bain,EDGE,446,0.0892,+1021
4,Sonny Styles,LB,344,0.0688,+1353
4,Francis Mauigoa,OT,77,0.0154,+6394
4,Makai Lemon,WR,34,0.0068,+14606
4,Caleb Downs,S,9,0.0018,+55456
4,Mansoor Delane,CB,9,0.0018,+55456
4,Spencer Fano,OT,7,0.0014,+71329
4,Monroe Freeling,OT,2,0.0004,+249900
5,Carnell Tate,WR,1193,0.2386,+319
5,Sonny Styles,LB,960,0.192,+421
5,Francis Mauigoa,OT,818,0.1636,+511
5,Jeremiyah Love,RB,745,0.149,+571
5,Caleb Downs,S,607,0.1214,+724
5,Arvell Reese,LB,292,0.0584,+1612
5,Makai Lemon,WR,122,0.0244,+3998
5,Spencer Fano,OT,73,0.0146,+6749
5,Monroe Freeling,OT,69,0.0138,+7146
5,David Bailey,EDGE,67,0.0134,+7363
5,Rueben Bain,EDGE,35,0.007,+14186
5,Mansoor Delane,CB,19,0.0038,+26216
6,Carnell Tate,WR,1762,0.3524,+184
6,Francis Mauigoa,OT,1138,0.2276,+339
6,Monroe Freeling,OT,585,0.117,+755
6,Makai Lemon,WR,362,0.0724,+1281
6,Spencer Fano,OT,316,0.0632,+1482
6,Jeremiyah Love,RB,221,0.0442,+2162
6,Sonny Styles,LB,158,0.0316,+3065
6,Rueben Bain,EDGE,135,0.027,+3604
6,Jordyn Tyson,WR,100,0.02,+4900
6,Mansoor Delane,CB,63,0.0126,+7837
6,David Bailey,EDGE,57,0.0114,+8672
6,Caleb Downs,S,42,0.0084,+11805
6,Arvell Reese,LB,26,0.0052,+19131
6,Olaivavega Ioane,IOL,24,0.0048,+20733
6,Jermod McCoy,CB,8,0.0016,+62400
6,Kenyon Sadiq,TE,3,0.0006,+166567
7,Rueben Bain,EDGE,1804,0.3608,+177
7,Sonny Styles,LB,774,0.1548,+546
7,Carnell Tate,WR,571,0.1142,+776
7,Caleb Downs,S,491,0.0982,+918
7,Jeremiyah Love,RB,382,0.0764,+1209
7,Makai Lemon,WR,243,0.0486,+1958
7,David Bailey,EDGE,232,0.0464,+2055
7,Jordyn Tyson,WR,177,0.0354,+2725
7,Francis Mauigoa,OT,98,0.0196,+5002
7,Mansoor Delane,CB,85,0.017,+5782
7,Arvell Reese,LB,64,0.0128,+7712
7,Monroe Freeling,OT,27,0.0054,+18419
7,Spencer Fano,OT,20,0.004,+24900
7,Jermod McCoy,CB,19,0.0038,+26216
7,Dillon Thieneman,S,9,0.0018,+55456
7,Kenyon Sadiq,TE,2,0.0004,+249900
7,Olaivavega Ioane,IOL,2,0.0004,+249900
8,Mansoor Delane,CB,1782,0.3564,+181
8,Rueben Bain,EDGE,1115,0.223,+348
8,Makai Lemon,WR,583,0.1166,+758
8,Carnell Tate,WR,335,0.067,+1393
8,Jordyn Tyson,WR,284,0.0568,+1661
8,Jermod McCoy,CB,254,0.0508,+1869
8,Sonny Styles,LB,215,0.043,+2226
8,David Bailey,EDGE,122,0.0244,+3998
8,Caleb Downs,S,77,0.0154,+6394
8,Jeremiyah Love,RB,72,0.0144,+6844
8,Francis Mauigoa,OT,44,0.0088,+11264
8,Monroe Freeling,OT,43,0.0086,+11528
8,Spencer Fano,OT,41,0.0082,+12095
8,Arvell Reese,LB,24,0.0048,+20733
8,Olaivavega Ioane,IOL,4,0.0008,+124900
8,Kadyn Proctor,OT,3,0.0006,+166567
8,Kenyon Sadiq,TE,2,0.0004,+249900
9,Mansoor Delane,CB,1125,0.225,+344
9,Spencer Fano,OT,684,0.1368,+631
9,Caleb Downs,S,679,0.1358,+636
9,Jermod McCoy,CB,592,0.1184,+745
9,Rueben Bain,EDGE,568,0.1136,+780
9,Monroe Freeling,OT,379,0.0758,+1219
9,Makai Lemon,WR,249,0.0498,+1908
9,Francis Mauigoa,OT,217,0.0434,+2204
9,Jordyn Tyson,WR,117,0.0234,+4174
9,Carnell Tate,WR,114,0.0228,+4286
9,David Bailey,EDGE,64,0.0128,+7712
9,Keldric Faulk,EDGE,58,0.0116,+8521
9,Sonny Styles,LB,40,0.008,+12400
9,Jeremiyah Love,RB,34,0.0068,+14606
9,Kadyn Proctor,OT,31,0.0062,+16029
9,Dillon Thieneman,S,26,0.0052,+19131
9,Arvell Reese,LB,11,0.0022,+45355
9,Kenyon Sadiq,TE,6,0.0012,+83233
9,Olaivavega Ioane,IOL,6,0.0012,+83233
10,Caleb Downs,S,2159,0.4318,+132
