pick,player,position,count,probability
1,Fernando Mendoza,QB,5000,1.0
2,Arvell Reese,LB,2501,0.5002
2,David Bailey,EDGE,1956,0.3912
2,Carnell Tate,WR,206,0.0412
2,Sonny Styles,LB,179,0.0358
2,Rueben Bain,EDGE,79,0.0158
2,Mansoor Delane,CB,27,0.0054
2,Jeremiyah Love,RB,26,0.0052
2,Francis Mauigoa,OT,24,0.0048
2,Caleb Downs,S,1,0.0002
2,Ty Simpson,QB,1,0.0002
3,Francis Mauigoa,OT,1675,0.335
3,David Bailey,EDGE,1390,0.278
3,Arvell Reese,LB,1339,0.2678
3,Sonny Styles,LB,170,0.034
3,Rueben Bain,EDGE,169,0.0338
3,Spencer Fano,OT,108,0.0216
3,Jeremiyah Love,RB,73,0.0146
3,Monroe Freeling,OT,29,0.0058
3,Carnell Tate,WR,28,0.0056
3,Mansoor Delane,CB,17,0.0034
3,Caleb Downs,S,2,0.0004
4,Jeremiyah Love,RB,2023,0.4046
4,David Bailey,EDGE,1035,0.207
4,Carnell Tate,WR,663,0.1326
4,Rueben Bain,EDGE,523,0.1046
4,Sonny Styles,LB,361,0.0722
4,Arvell Reese,LB,237,0.0474
4,Francis Mauigoa,OT,78,0.0156
4,Makai Lemon,WR,45,0.009
4,Caleb Downs,S,12,0.0024
4,Spencer Fano,OT,10,0.002
4,Mansoor Delane,CB,7,0.0014
4,Monroe Freeling,OT,6,0.0012
5,Carnell Tate,WR,1207,0.2414
5,Sonny Styles,LB,951,0.1902
5,Francis Mauigoa,OT,813,0.1626
5,Jeremiyah Love,RB,678,0.1356
5,Caleb Downs,S,677,0.1354
5,Arvell Reese,LB,302,0.0604
5,Makai Lemon,WR,132,0.0264
5,Spencer Fano,OT,84,0.0168
5,Monroe Freeling,OT,75,0.015
5,Rueben Bain,EDGE,38,0.0076
5,Mansoor Delane,CB,23,0.0046
5,David Bailey,EDGE,20,0.004
6,Carnell Tate,WR,1714,0.3428
6,Francis Mauigoa,OT,1072,0.2144
6,Monroe Freeling,OT,687,0.1374
6,Makai Lemon,WR,412,0.0824
6,Spencer Fano,OT,365,0.073
6,Sonny Styles,LB,166,0.0332
6,Rueben Bain,EDGE,165,0.033
6,Jordyn Tyson,WR,120,0.024
6,Mansoor Delane,CB,71,0.0142
6,Jeremiyah Love,RB,59,0.0118
6,Caleb Downs,S,51,0.0102
6,Arvell Reese,LB,50,0.01
6,David Bailey,EDGE,29,0.0058
6,Olaivavega Ioane,IOL,26,0.0052
6,Jermod McCoy,CB,10,0.002
6,Ty Simpson,QB,2,0.0004
6,Kenyon Sadiq,TE,1,0.0002
7,Rueben Bain,EDGE,1848,0.3696
7,Sonny Styles,LB,779,0.1558
7,Carnell Tate,WR,526,0.1052
7,Caleb Downs,S,508,0.1016
7,Makai Lemon,WR,282,0.0564
7,David Bailey,EDGE,237,0.0474
7,Jordyn Tyson,WR,220,0.044
7,Jeremiyah Love,RB,195,0.039
