team,player,probability,config_version
ARI,Francis Mauigoa,0.335,v1
ARI,David Bailey,0.278,v1
ARI,Arvell Reese,0.2678,v1
ARI,Sonny Styles,0.034,v1
ARI,Rueben Bain,0.0338,v1
ARI,Spencer Fano,0.0216,v1
ARI,Jeremiyah Love,0.0146,v1
ARI,Monroe Freeling,0.0058,v1
ARI,Carnell Tate,0.0056,v1
ARI,Mansoor Delane,0.0034,v1
ARI,Caleb Downs,0.0004,v1
BAL,Olaivavega Ioane,0.3372,v1
BAL,Jordyn Tyson,0.1694,v1
BAL,Omar Cooper Jr.,0.126,v1
BAL,Kenyon Sadiq,0.1126,v1
BAL,Makai Lemon,0.1064,v1
BAL,Jeremiyah Love,0.0216,v1
BAL,Keldric Faulk,0.0158,v1
BAL,Akheem Mesidor,0.015,v1
BAL,Kadyn Proctor,0.0146,v1
BAL,Sonny Styles,0.0112,v1
BAL,Monroe Freeling,0.0096,v1
BAL,Carnell Tate,0.009,v1
BAL,Dillon Thieneman,0.0082,v1
BAL,Kevin Concepcion,0.0082,v1
BAL,Jermod McCoy,0.0078,v1
BAL,Spencer Fano,0.0078,v1
BAL,Francis Mauigoa,0.0072,v1
BAL,Rueben Bain,0.0028,v1
BAL,Mansoor Delane,0.0024,v1
BAL,Caleb Downs,0.0016,v1
BAL,David Bailey,0.0014,v1
BAL,Blake Miller,0.0012,v1
BAL,Caleb Lomu,0.001,v1
BAL,Emmanuel McNeil-Warren,0.001,v1
BAL,Avieon Terrell,0.0006,v1
BAL,Arvell Reese,0.0004,v1
BUF,Denzel Boston,0.1956,v1
BUF,T.J. Parker,0.1916,v1
BUF,Kevin Concepcion,0.1346,v1
BUF,Cashius Howell,0.1184,v1
BUF,Kayden McDonald,0.0696,v1
BUF,Peter Woods,0.0548,v1
BUF,Zion Young,0.032,v1
BUF,Olaivavega Ioane,0.03,v1
BUF,Keldric Faulk,0.0168,v1
BUF,Avieon Terrell,0.0152,v1
BUF,Akheem Mesidor,0.014,v1
BUF,Omar Cooper Jr.,0.0138,v1
BUF,Dillon Thieneman,0.0112,v1
BUF,Emmanuel McNeil-Warren,0.01,v1
BUF,C.J. Allen,0.0092,v1
BUF,Jordyn Tyson,0.008,v1
BUF,Makai Lemon,0.0074,v1
BUF,Caleb Lomu,0.0072,v1
BUF,Malachi Lawrence,0.0066,v1
BUF,Caleb Downs,0.0064,v1
BUF,Jeremiyah Love,0.005,v1
BUF,Emmanuel Pregnon,0.0048,v1
BUF,Spencer Fano,0.0048,v1
BUF,Caleb Banks,0.0046,v1
BUF,Chase Bisontis,0.0044,v1
BUF,Rueben Bain,0.0042,v1
BUF,Sonny Styles,0.0034,v1
BUF,Blake Miller,0.0032,v1
BUF,Kenyon Sadiq,0.0024,v1
BUF,Ty Simpson,0.0022,v1
BUF,Colton Hood,0.0016,v1
BUF,Kadyn Proctor,0.0016,v1
BUF,Monroe Freeling,0.0016,v1
BUF,Max Iheanachor,0.0012,v1
BUF,Carnell Tate,0.0008,v1
BUF,Chris Johnson,0.0006,v1
BUF,Jermod McCoy,0.0004,v1
BUF,Mansoor Delane,0.0004,v1
BUF,Brandon Cisse,0.0002,v1
BUF,Francis Mauigoa,0.0002,v1
CAR,Akheem Mesidor,0.1866,v1
CAR,Omar Cooper Jr.,0.136,v1
CAR,Keldric Faulk,0.1324,v1
CAR,Kenyon Sadiq,0.117,v1
CAR,Kevin Concepcion,0.0688,v1
CAR,Kadyn Proctor,0.0536,v1
CAR,Peter Woods,0.0476,v1
CAR,Blake Miller,0.0438,v1
CAR,Caleb Lomu,0.0218,v1
CAR,T.J. Parker,0.0208,v1
CAR,Denzel Boston,0.019,v1
CAR,Spencer Fano,0.018,v1
CAR,Avieon Terrell,0.0174,v1
CAR,Jeremiyah Love,0.016,v1
CAR,Dillon Thieneman,0.014,v1
CAR,Francis Mauigoa,0.012,v1
CAR,Monroe Freeling,0.0112,v1
CAR,Emmanuel McNeil-Warren,0.0106,v1
CAR,Rueben Bain,0.01,v1
CAR,Kayden McDonald,0.0078,v1
CAR,Jordyn Tyson,0.0068,v1
CAR,Makai Lemon,0.0068,v1
CAR,Cashius Howell,0.0054,v1
CAR,Carnell Tate,0.0042,v1
CAR,Sonny Styles,0.004,v1
CAR,Mansoor Delane,0.0032,v1
CAR,Caleb Downs,0.0022,v1
