team,player,previous_probability,current_probability,diff,abs_diff,previous_run,current_run
DAL,Jermod McCoy,0.4322,0.375,-0.05719999999999997,0.05719999999999997,2026-04-16_153956_v1,2026-04-16_155231_v1
MIN,Dillon Thieneman,0.433,0.3776,-0.055400000000000005,0.055400000000000005,2026-04-16_153956_v1,2026-04-16_155231_v1
WAS,Rueben Bain,0.3556,0.301,-0.05460000000000004,0.05460000000000004,2026-04-16_153956_v1,2026-04-16_155231_v1
DET,Kadyn Proctor,0.409,0.3554,-0.05359999999999998,0.05359999999999998,2026-04-16_153956_v1,2026-04-16_155231_v1
CIN,Caleb Downs,0.4176,0.3726,-0.04500000000000004,0.04500000000000004,2026-04-16_153956_v1,2026-04-16_155231_v1
BAL,Olaivavega Ioane,0.3248,0.2798,-0.044999999999999984,0.044999999999999984,2026-04-16_153956_v1,2026-04-16_155231_v1
CHI,Peter Woods,0.3522,0.3086,-0.04360000000000003,0.04360000000000003,2026-04-16_153956_v1,2026-04-16_155231_v1
CAR,Kenyon Sadiq,0.265,0.222,-0.04300000000000001,0.04300000000000001,2026-04-16_153956_v1,2026-04-16_155231_v1
TB,Keldric Faulk,0.3276,0.2868,-0.0408,0.0408,2026-04-16_153956_v1,2026-04-16_155231_v1
NO,Mansoor Delane,0.3564,0.317,-0.03939999999999999,0.03939999999999999,2026-04-16_153956_v1,2026-04-16_155231_v1
MIA,Makai Lemon,0.2248,0.1886,-0.03620000000000001,0.03620000000000001,2026-04-16_153956_v1,2026-04-16_155231_v1
CLE,Carnell Tate,0.3376,0.3032,-0.034399999999999986,0.034399999999999986,2026-04-16_153956_v1,2026-04-16_155231_v1
TEN,Jeremiyah Love,0.359,0.3248,-0.03420000000000001,0.03420000000000001,2026-04-16_153956_v1,2026-04-16_155231_v1
CLE,Caleb Lomu,0.2174,0.1858,-0.03160000000000002,0.03160000000000002,2026-04-16_153956_v1,2026-04-16_155231_v1
HOU,Kayden McDonald,0.2116,0.1802,-0.03140000000000001,0.03140000000000001,2026-04-16_153956_v1,2026-04-16_155231_v1
MIA,Colton Hood,0.198,0.17,-0.027999999999999997,0.027999999999999997,2026-04-16_153956_v1,2026-04-16_155231_v1
KC,Avieon Terrell,0.173,0.1462,-0.02679999999999999,0.02679999999999999,2026-04-16_153956_v1,2026-04-16_155231_v1
PIT,Blake Miller,0.1716,0.1468,-0.02479999999999999,0.02479999999999999,2026-04-16_153956_v1,2026-04-16_155231_v1
NYJ,Arvell Reese,0.4756,0.4518,-0.023800000000000043,0.023800000000000043,2026-04-16_153956_v1,2026-04-16_155231_v1
PHI,Caleb Lomu,0.1792,0.1558,-0.023400000000000004,0.023400000000000004,2026-04-16_153956_v1,2026-04-16_155231_v1
DAL,Sonny Styles,0.1522,0.1296,-0.02260000000000001,0.02260000000000001,2026-04-16_153956_v1,2026-04-16_155231_v1
PHI,Blake Miller,0.17,0.1476,-0.022400000000000003,0.022400000000000003,2026-04-16_153956_v1,2026-04-16_155231_v1
BUF,T.J. Parker,0.1894,0.1672,-0.022200000000000025,0.022200000000000025,2026-04-16_153956_v1,2026-04-16_155231_v1
NE,Cashius Howell,0.187,0.165,-0.021999999999999992,0.021999999999999992,2026-04-16_153956_v1,2026-04-16_155231_v1
NYJ,David Bailey,0.4018,0.38,-0.021799999999999986,0.021799999999999986,2026-04-16_153956_v1,2026-04-16_155231_v1
TB,Kenyon Sadiq,0.246,0.2242,-0.021799999999999986,0.021799999999999986,2026-04-16_153956_v1,2026-04-16_155231_v1
BUF,Kevin Concepcion,0.1456,0.1242,-0.021400000000000002,0.021400000000000002,2026-04-16_153956_v1,2026-04-16_155231_v1
