team,position,count,probability,moneyline
ARI,OT,1826,0.3652,+174
ARI,LB,1527,0.3054,+227
ARI,EDGE,1423,0.2846,+251
ARI,RB,121,0.0242,+4032
ARI,WR,49,0.0098,+10104
ARI,CB,37,0.0074,+13414
ARI,S,17,0.0034,+29312
BAL,WR,2080,0.416,+140
BAL,IOL,1286,0.2572,+289
BAL,TE,561,0.1122,+791
BAL,OT,429,0.0858,+1066
BAL,EDGE,285,0.057,+1654
BAL,S,107,0.0214,+4573
BAL,RB,98,0.0196,+5002
BAL,CB,87,0.0174,+5647
BAL,LB,65,0.013,+7592
BAL,QB,2,0.0004,+249900
BUF,EDGE,1809,0.3618,+176
BUF,WR,1600,0.32,+212
BUF,DT,668,0.1336,+649
BUF,OT,221,0.0442,+2162
BUF,S,211,0.0422,+2270
BUF,IOL,207,0.0414,+2315
BUF,CB,116,0.0232,+4210
BUF,LB,97,0.0194,+5055
BUF,RB,31,0.0062,+16029
BUF,TE,25,0.005,+19900
BUF,QB,15,0.003,+33233
CAR,EDGE,1386,0.2772,+261
CAR,WR,1099,0.2198,+355
CAR,TE,1018,0.2036,+391
CAR,OT,770,0.154,+549
CAR,DT,281,0.0562,+1679
CAR,S,155,0.031,+3126
CAR,CB,141,0.0282,+3446
CAR,RB,82,0.0164,+5998
CAR,IOL,40,0.008,+12400
CAR,LB,26,0.0052,+19131
CAR,QB,2,0.0004,+249900
CHI,DT,2707,0.5414,-118
CHI,S,1111,0.2222,+350
CHI,CB,373,0.0746,+1240
CHI,OT,283,0.0566,+1667
CHI,WR,200,0.04,+2400
CHI,EDGE,196,0.0392,+2451
CHI,LB,45,0.009,+11011
CHI,RB,26,0.0052,+19131
CHI,IOL,22,0.0044,+22627
CHI,TE,22,0.0044,+22627
CHI,QB,15,0.003,+33233
CIN,S,2254,0.4508,+122
CIN,LB,885,0.177,+465
CIN,OT,584,0.1168,+756
CIN,CB,336,0.0672,+1388
CIN,IOL,317,0.0634,+1477
CIN,WR,275,0.055,+1718
CIN,EDGE,178,0.0356,+2709
CIN,RB,113,0.0226,+4325
CIN,TE,56,0.0112,+8829
CIN,QB,2,0.0004,+249900
CLE,OT,3888,0.7776,-350
CLE,WR,3859,0.7718,-338
CLE,EDGE,554,0.1108,+803
CLE,CB,306,0.0612,+1534
CLE,RB,301,0.0602,+1561
CLE,IOL,258,0.0516,+1838
CLE,LB,250,0.05,+1900
CLE,S,238,0.0476,+2001
CLE,DT,179,0.0358,+2693
CLE,QB,122,0.0244,+3998
CLE,TE,45,0.009,+11011
DAL,CB,3370,0.674,-207
DAL,EDGE,1879,0.3758,+166
DAL,S,1545,0.309,+224
DAL,OT,1091,0.2182,+358
DAL,LB,691,0.1382,+624
DAL,WR,531,0.1062,+842
DAL,DT,490,0.098,+920
DAL,RB,173,0.0346,+2790
DAL,TE,114,0.0228,+4286
DAL,IOL,113,0.0226,+4325
DAL,QB,3,0.0006,+166567
DET,OT,3839,0.7678,-331
DET,EDGE,299,0.0598,+1572
DET,DT,205,0.041,+2339
DET,S,171,0.0342,+2824
DET,WR,154,0.0308,+3147
DET,RB,85,0.017,+5782
DET,TE,83,0.0166,+5924
DET,IOL,78,0.0156,+6310
DET,LB,50,0.01,+9900
DET,CB,36,0.0072,+13789
HOU,OT,1949,0.3898,+157
HOU,DT,1724,0.3448,+190
HOU,IOL,312,0.0624,+1503
HOU,EDGE,305,0.061,+1539
HOU,CB,231,0.0462,+2065
HOU,WR,166,0.0332,+2912
HOU,RB,128,0.0256,+3806
HOU,LB,74,0.0148,+6657
HOU,S,43,0.0086,+11528
HOU,TE,36,0.0072,+13789
HOU,QB,32,0.0064,+15525
KC,CB,2983,0.5966,-148
KC,EDGE,2825,0.565,-130
KC,OT,1746,0.3492,+186
KC,WR,1175,0.235,+326
KC,S,760,0.152,+558
KC,LB,200,0.04,+2400
KC,DT,120,0.024,+4067
KC,IOL,69,0.0138,+7146
KC,RB,53,0.0106,+9334
KC,TE,38,0.0076,+13058
KC,QB,31,0.0062,+16029
LAC,EDGE,1878,0.3756,+166
LAC,WR,1295,0.259,+286
LAC,DT,638,0.1276,+684
LAC,S,567,0.1134,+782
LAC,OT,285,0.057,+1654
LAC,IOL,184,0.0368,+2617
LAC,CB,73,0.0146,+6749
LAC,RB,38,0.0076,+13058
LAC,LB,21,0.0042,+23710
LAC,TE,13,0.0026,+38362
LAC,QB,8,0.0016,+62400
LAR,OT,2264,0.4528,+121
LAR,WR,2155,0.431,+132
LAR,LB,144,0.0288,+3372
LAR,EDGE,85,0.017,+5782
LAR,CB,76,0.0152,+6479
LAR,S,74,0.0148,+6657
LAR,IOL,68,0.0136,+7253
LAR,RB,68,0.0136,+7253
LAR,TE,65,0.013,+7592
LAR,QB,1,0.0002,+499900
LV,QB,5000,1.0,-inf
MIA,CB,2808,0.5616,-128
MIA,WR,2444,0.4888,+105
MIA,EDGE,1775,0.355,+182
MIA,IOL,1130,0.226,+342
MIA,S,595,0.119,+740
MIA,OT,423,0.0846,+1082
MIA,TE,341,0.0682,+1366
MIA,DT,202,0.0404,+2375
