position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.618,-162,0.382,+162,6.2518
OT,5.5,0.254,+294,0.746,-294,5.9432
WR,5.5,0.358,+179,0.642,-179,5.598
CB,3.5,0.4836,+107,0.5164,-107,3.5184
S,2.5,0.304,+229,0.696,-229,2.679735947189438
LB,2.5,0.8192,-453,0.18079999999999996,+453,2.1646
DT,1.5,0.3136,+219,0.6864,-219,1.7828933906281972
IOL,1.5,0.736,-279,0.264,+279,1.2294179894179895
QB,1.5,0.8692,-665,0.13080000000000003,+665,1.131
RB,1.5,0.9808,-5108,0.019199999999999995,+5108,1.0164460489370237
TE,1.5,0.7958,-390,0.20420000000000005,+390,1.0
