player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,LB,3.4614
David Bailey,EDGE,3.7012
Carnell Tate,WR,6.247649529905981
Francis Mauigoa,OT,7.362
Rueben Bain,EDGE,8.236894757903162
Sonny Styles,LB,9.070355893849003
Jeremiyah Love,RB,9.807924376508447
Mansoor Delane,CB,10.08639742816958
Caleb Downs,S,10.505075111652456
Makai Lemon,WR,11.532498990714574
Jermod McCoy,CB,12.467291624210311
Jordyn Tyson,WR,13.222517368205967
Spencer Fano,OT,14.788453522300959
Monroe Freeling,OT,15.038541666666667
Olaivavega Ioane,IOL,16.46755516714005
Kenyon Sadiq,TE,17.33954659949622
Dillon Thieneman,S,17.4207662661528
Keldric Faulk,EDGE,17.752970606629145
Akheem Mesidor,EDGE,18.979570345408593
Kadyn Proctor,OT,18.999561018437227
Drew Allar,QB,19.444444444444443
Omar Cooper Jr.,WR,19.64374319912949
Garrett Nussmeier,QB,20.0
Cole Payton,QB,21.0
Emmanuel McNeil-Warren,S,21.21813784764208
Blake Miller,OT,22.321073558648113
Caleb Lomu,OT,22.643280182232346
Kevin Concepcion,WR,23.169634906500445
Ty Simpson,QB,23.771428571428572
Peter Woods,DT,24.11494520867335
Avieon Terrell,CB,24.66156369600875
Denzel Boston,WR,26.268164435946463
T.J. Parker,EDGE,26.313340683572218
Kayden McDonald,DT,26.368595041322315
Cashius Howell,EDGE,28.52273792780122
Caleb Banks,DT,28.647686832740213
Max Iheanachor,OT,28.66036797613128
Emmanuel Pregnon,IOL,29.08939708939709
C.J. Allen,LB,29.37987012987013
Jacob Rodriguez,LB,29.85185185185185
Chase Bisontis,IOL,29.945987654320987
Zion Young,EDGE,30.09375
Colton Hood,CB,30.193460490463217
Jadarian Price,RB,30.272727272727273
Malachi Lawrence,EDGE,30.596452328159646
Christen Miller,DT,30.826923076923077
Chris Johnson,CB,30.98185117967332
Brandon Cisse,CB,31.007653061224488
Anthony Hill Jr.,LB,31.11764705882353
R Mason Thomas,EDGE,31.2
Lee Hunter,DT,32.0
