player,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_pick
Arvell Reese,2.5,0.45,+122,0.55,-122,3.4614
David Bailey,2.5,0.3798,+163,0.6202,-163,3.7012
Carnell Tate,5.5,0.418,+139,0.5820000000000001,-139,6.247649529905981
Francis Mauigoa,5.5,0.5062,-103,0.4938,+103,7.362
Rueben Bain,7.5,0.528,-112,0.472,+112,8.236894757903162
Sonny Styles,7.5,0.5088,-104,0.49119999999999997,+104,9.070355893849003
Jeremiyah Love,5.5,0.4862,+106,0.5138,-106,9.807924376508447
Mansoor Delane,9.5,0.5876,-142,0.4124,+142,10.08639742816958
Caleb Downs,9.5,0.4,+150,0.6,-150,10.505075111652456
Makai Lemon,11.5,0.5784,-137,0.4216,+137,11.532498990714574
Jermod McCoy,11.5,0.386,+159,0.614,-159,12.467291624210311
Jordyn Tyson,13.5,0.6062,-154,0.39380000000000004,+154,13.222517368205967
Spencer Fano,13.5,0.5642,-129,0.43579999999999997,+129,14.788453522300959
Monroe Freeling,13.5,0.5312,-113,0.4688,+113,15.038541666666667
Olaivavega Ioane,14.5,0.4984,+101,0.5016,-101,16.46755516714005
Kenyon Sadiq,18.5,0.4716,+112,0.5284,-112,17.33954659949622
Dillon Thieneman,18.5,0.6518,-187,0.34819999999999995,+187,17.4207662661528
Keldric Faulk,16.5,0.5202,-108,0.4798,+108,17.752970606629145
Akheem Mesidor,19.5,0.5534,-124,0.4466,+124,18.979570345408593
Kadyn Proctor,17.5,0.4992,+100,0.5008,-100,18.999561018437227
Drew Allar,24.5,0.0016,+62400,0.9984,-62400,19.444444444444443
Omar Cooper Jr.,20.5,0.4762,+110,0.5238,-110,19.64374319912949
Garrett Nussmeier,21.5,0.0016,+62400,0.9984,-62400,20.0
Emmanuel McNeil-Warren,22.5,0.5242,-110,0.4758,+110,21.21813784764208
Blake Miller,23.5,0.5334,-114,0.4666,+114,22.321073558648113
Caleb Lomu,23.5,0.5084,-103,0.49160000000000004,+103,22.643280182232346
Kevin Concepcion,23.5,0.4378,+128,0.5622,-128,23.169634906500445
Ty Simpson,31.5,0.0886,+1029,0.9114,-1029,23.771428571428572
Peter Woods,25.5,0.611,-157,0.389,+157,24.11494520867335
Avieon Terrell,28.5,0.4686,+113,0.5314,-113,24.66156369600875
Denzel Boston,26.5,0.4476,+123,0.5524,-123,26.268164435946463
T.J. Parker,26.5,0.4546,+120,0.5454,-120,26.313340683572218
Kayden McDonald,27.5,0.415,+141,0.585,-141,26.368595041322315
Cashius Howell,29.5,0.4644,+115,0.5356000000000001,-115,28.52273792780122
Caleb Banks,31.5,0.163,+513,0.837,-513,28.647686832740213
Max Iheanachor,31.5,0.3912,+156,0.6088,-156,28.66036797613128
Emmanuel Pregnon,31.5,0.0802,+1147,0.9198,-1147,29.08939708939709
C.J. Allen,31.5,0.0996,+904,0.9004,-904,29.37987012987013
Jacob Rodriguez,31.5,0.0046,+21639,0.9954,-21639,29.85185185185185
Chase Bisontis,31.5,0.0786,+1172,0.9214,-1172,29.945987654320987
Zion Young,31.5,0.3712,+169,0.6288,-169,30.09375
Colton Hood,31.5,0.3252,+208,0.6748000000000001,-208,30.193460490463217
Jadarian Price,31.5,0.006,+16567,0.994,-16567,30.272727272727273
Malachi Lawrence,31.5,0.0448,+2132,0.9552,-2132,30.596452328159646
Christen Miller,31.5,0.01,+9900,0.99,-9900,30.826923076923077
Chris Johnson,31.5,0.0824,+1114,0.9176,-1114,30.98185117967332
Brandon Cisse,31.5,0.0268,+3631,0.9732,-3631,31.007653061224488
Anthony Hill Jr.,31.5,0.003,+33233,0.997,-33233,31.11764705882353
R Mason Thomas,31.5,0.0186,+5276,0.9814,-5276,31.2
