team,position,count,probability
ARI,OT,1894,0.3788
ARI,EDGE,1500,0.3
ARI,LB,1474,0.2948
ARI,RB,82,0.0164
ARI,WR,28,0.0056
ARI,CB,19,0.0038
ARI,S,3,0.0006
BAL,WR,2098,0.4196
BAL,IOL,1682,0.3364
BAL,TE,572,0.1144
BAL,EDGE,198,0.0396
BAL,OT,191,0.0382
BAL,RB,103,0.0206
BAL,S,68,0.0136
BAL,CB,46,0.0092
BAL,LB,41,0.0082
BAL,QB,1,0.0002
BUF,EDGE,1987,0.3974
BUF,WR,1787,0.3574
BUF,DT,608,0.1216
BUF,IOL,183,0.0366
BUF,S,103,0.0206
BUF,OT,102,0.0204
BUF,CB,99,0.0198
BUF,LB,85,0.017
BUF,RB,26,0.0052
BUF,TE,12,0.0024
BUF,QB,8,0.0016
CAR,EDGE,1777,0.3554
CAR,WR,1243,0.2486
CAR,OT,816,0.1632
CAR,TE,553,0.1106
CAR,DT,245,0.049
CAR,S,134,0.0268
CAR,CB,110,0.022
CAR,RB,95,0.019
CAR,LB,19,0.0038
CAR,IOL,7,0.0014
CAR,QB,1,0.0002
CHI,DT,3494,0.6988
CHI,S,607,0.1214
CHI,CB,309,0.0618
CHI,OT,213,0.0426
CHI,WR,149,0.0298
CHI,EDGE,136,0.0272
CHI,RB,41,0.0082
CHI,LB,20,0.004
CHI,TE,13,0.0026
CHI,IOL,9,0.0018
CHI,QB,9,0.0018
CIN,S,2624,0.5248
CIN,LB,1033,0.2066
CIN,OT,472,0.0944
CIN,IOL,252,0.0504
CIN,CB,235,0.047
CIN,WR,191,0.0382
CIN,RB,101,0.0202
CIN,EDGE,62,0.0124
CIN,TE,29,0.0058
CIN,QB,1,0.0002
CLE,OT,4313,0.8626
CLE,WR,4143,0.8286
CLE,EDGE,350,0.07
CLE,LB,239,0.0478
CLE,CB,214,0.0428
CLE,IOL,189,0.0378
CLE,S,170,0.034
CLE,DT,153,0.0306
CLE,RB,116,0.0232
CLE,QB,98,0.0196
CLE,TE,15,0.003
DAL,CB,3580,0.716
DAL,EDGE,1926,0.3852
DAL,S,1301,0.2602
DAL,OT,1008,0.2016
DAL,LB,919,0.1838
DAL,DT,507,0.1014
DAL,WR,414,0.0828
DAL,RB,194,0.0388
DAL,IOL,84,0.0168
DAL,TE,67,0.0134
DET,OT,4279,0.8558
DET,EDGE,199,0.0398
DET,DT,124,0.0248
DET,S,122,0.0244
DET,RB,67,0.0134
DET,WR,65,0.013
DET,TE,64,0.0128
DET,IOL,40,0.008
DET,LB,32,0.0064
DET,CB,8,0.0016
HOU,OT,2055,0.411
HOU,DT,1895,0.379
HOU,IOL,256,0.0512
HOU,EDGE,241,0.0482
HOU,RB,181,0.0362
HOU,CB,166,0.0332
HOU,WR,81,0.0162
HOU,LB,43,0.0086
HOU,S,33,0.0066
HOU,TE,29,0.0058
HOU,QB,20,0.004
KC,EDGE,3211,0.6422
KC,CB,2935,0.587
KC,OT,1787,0.3574
KC,WR,966,0.1932
