pick,player,model_prob,market_prob,edge,abs_edge,model_version,run_timestamp,source,market_timestamp
1,Fernando Mendoza,1.0,0.0,1.0,1.0,v1,2026-04-17T08:11:29,,
2,David Bailey,0.3672,0.0,0.3672,0.3672,v1,2026-04-17T08:11:29,,
18,Dillon Thieneman,0.314,0.0,0.314,0.314,v1,2026-04-17T08:11:29,,
12,Jermod McCoy,0.3118,0.0,0.3118,0.3118,v1,2026-04-17T08:11:29,,
2,Arvell Reese,0.4276,0.7343734660187259,-0.3067734660187259,0.3067734660187259,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
17,Kadyn Proctor,0.2986,0.0,0.2986,0.2986,v1,2026-04-17T08:11:29,,
25,Peter Woods,0.2614,0.0,0.2614,0.2614,v1,2026-04-17T08:11:29,,
7,Rueben Bain,0.2536,0.0,0.2536,0.2536,v1,2026-04-17T08:11:29,,
15,Keldric Faulk,0.2484,0.0,0.2484,0.2484,v1,2026-04-17T08:11:29,,
18,Emmanuel McNeil-Warren,0.2456,0.0,0.2456,0.2456,v1,2026-04-17T08:11:29,,
14,Olaivavega Ioane,0.2402,0.0,0.2402,0.2402,v1,2026-04-17T08:11:29,,
25,Kayden McDonald,0.209,0.0,0.209,0.209,v1,2026-04-17T08:11:29,,
13,Jordyn Tyson,0.2082,0.0,0.2082,0.2082,v1,2026-04-17T08:11:29,,
15,Kenyon Sadiq,0.1982,0.0,0.1982,0.1982,v1,2026-04-17T08:11:29,,
19,Kenyon Sadiq,0.1894,0.0,0.1894,0.1894,v1,2026-04-17T08:11:29,,
8,Rueben Bain,0.1888,0.0,0.1888,0.1888,v1,2026-04-17T08:11:29,,
24,Caleb Lomu,0.178,0.0,0.178,0.178,v1,2026-04-17T08:11:29,,
3,Francis Mauigoa,0.2934,0.1263856274360412,0.1670143725639588,0.1670143725639588,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
1,Arvell Reese,0.0,0.1665386785634265,-0.1665386785634265,0.1665386785634265,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
8,Mansoor Delane,0.2784,0.113217111596065,0.16518288840393497,0.16518288840393497,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
11,Makai Lemon,0.1638,0.0,0.1638,0.1638,v1,2026-04-17T08:11:29,,
32,Colton Hood,0.1614,0.0,0.1614,0.1614,v1,2026-04-17T08:11:29,,
28,Kayden McDonald,0.161,0.0,0.161,0.161,v1,2026-04-17T08:11:29,,
10,Caleb Downs,0.3178,0.1589006626170234,0.15889933738297662,0.15889933738297662,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
13,Spencer Fano,0.1582,0.0,0.1582,0.1582,v1,2026-04-17T08:11:29,,
30,Colton Hood,0.1556,0.0,0.1556,0.1556,v1,2026-04-17T08:11:29,,
12,Mansoor Delane,0.155,0.0,0.155,0.155,v1,2026-04-17T08:11:29,,
14,Jordyn Tyson,0.1534,0.0,0.1534,0.1534,v1,2026-04-17T08:11:29,,
32,Zion Young,0.1532,0.0,0.1532,0.1532,v1,2026-04-17T08:11:29,,
15,Akheem Mesidor,0.153,0.0,0.153,0.153,v1,2026-04-17T08:11:29,,
24,Kevin Concepcion,0.1506,0.0,0.1506,0.1506,v1,2026-04-17T08:11:29,,
28,Max Iheanachor,0.1492,0.0,0.1492,0.1492,v1,2026-04-17T08:11:29,,
13,Monroe Freeling,0.1484,0.0,0.1484,0.1484,v1,2026-04-17T08:11:29,,
26,T.J. Parker,0.1484,0.0,0.1484,0.1484,v1,2026-04-17T08:11:29,,
1,David Bailey,0.0,0.1482377248751379,-0.1482377248751379,0.1482377248751379,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
1,Ty Simpson,0.0,0.1482377248751379,-0.1482377248751379,0.1482377248751379,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
31,Cashius Howell,0.1474,0.0,0.1474,0.1474,v1,2026-04-17T08:11:29,,
25,Emmanuel McNeil-Warren,0.1472,0.0,0.1472,0.1472,v1,2026-04-17T08:11:29,,
13,Makai Lemon,0.1466,0.0,0.1466,0.1466,v1,2026-04-17T08:11:29,,
5,Carnell Tate,0.2028,0.0569254192482456,0.1458745807517544,0.1458745807517544,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
23,Blake Miller,0.1458,0.0,0.1458,0.1458,v1,2026-04-17T08:11:29,,
23,Caleb Lomu,0.1438,0.0,0.1438,0.1438,v1,2026-04-17T08:11:29,,
9,Rueben Bain Jr.,0.0,0.1431959336557933,-0.1431959336557933,0.1431959336557933,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
21,Caleb Lomu,0.1412,0.0,0.1412,0.1412,v1,2026-04-17T08:11:29,,
26,Denzel Boston,0.14,0.0,0.14,0.14,v1,2026-04-17T08:11:29,,
11,Jermod McCoy,0.1348,0.0,0.1348,0.1348,v1,2026-04-17T08:11:29,,
11,Jordyn Tyson,0.1328,0.0,0.1328,0.1328,v1,2026-04-17T08:11:29,,
21,Kadyn Proctor,0.1322,0.0,0.1322,0.1322,v1,2026-04-17T08:11:29,,
29,Avieon Terrell,0.1322,0.0,0.1322,0.1322,v1,2026-04-17T08:11:29,,
8,Rueben Bain Jr.,0.0,0.1320866301954092,-0.1320866301954092,0.1320866301954092,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
21,Blake Miller,0.132,0.0,0.132,0.132,v1,2026-04-17T08:11:29,,
11,Mansoor Delane,0.13,0.0,0.13,0.13,v1,2026-04-17T08:11:29,,
29,Cashius Howell,0.1298,0.0,0.1298,0.1298,v1,2026-04-17T08:11:29,,
29,T.J. Parker,0.1288,0.0,0.1288,0.1288,v1,2026-04-17T08:11:29,,
28,Peter Woods,0.128,0.0,0.128,0.128,v1,2026-04-17T08:11:29,,
19,Akheem Mesidor,0.1266,0.0,0.1266,0.1266,v1,2026-04-17T08:11:29,,
20,Avieon Terrell,0.123,0.0,0.123,0.123,v1,2026-04-17T08:11:29,,
27,Denzel Boston,0.1228,0.0,0.1228,0.1228,v1,2026-04-17T08:11:29,,
17,Blake Miller,0.1216,0.0,0.1216,0.1216,v1,2026-04-17T08:11:29,,
16,Omar Cooper Jr.,0.121,0.0,0.121,0.121,v1,2026-04-17T08:11:29,,
32,Chris Johnson,0.1206,0.0,0.1206,0.1206,v1,2026-04-17T08:11:29,,
