pick,team,player,previous_probability,current_probability,diff,abs_diff,previous_run,current_run
12,DAL,Jermod McCoy,0.3596,0.0,-0.3596,0.3596,2026-04-23_074002_v1,2026-04-23_135814_v1
29,KC,Jermod McCoy,0.0122,0.194,0.18180000000000002,0.18180000000000002,2026-04-23_074002_v1,2026-04-23_135814_v1
30,MIA,Jermod McCoy,0.0124,0.173,0.1606,0.1606,2026-04-23_074002_v1,2026-04-23_135814_v1
15,TB,Jermod McCoy,0.1204,0.0,-0.1204,0.1204,2026-04-23_074002_v1,2026-04-23_135814_v1
12,DAL,Dillon Thieneman,0.0474,0.159,0.1116,0.1116,2026-04-23_074002_v1,2026-04-23_135814_v1
15,TB,Akheem Mesidor,0.1156,0.226,0.11040000000000001,0.11040000000000001,2026-04-23_074002_v1,2026-04-23_135814_v1
32,SEA,Jermod McCoy,0.0144,0.1202,0.1058,0.1058,2026-04-23_074002_v1,2026-04-23_135814_v1
18,MIN,Jermod McCoy,0.1052,0.0066,-0.09860000000000001,0.09860000000000001,2026-04-23_074002_v1,2026-04-23_135814_v1
16,NYJ,Omar Cooper Jr.,0.1496,0.2482,0.0986,0.0986,2026-04-23_074002_v1,2026-04-23_135814_v1
21,PIT,Kadyn Proctor,0.1594,0.0616,-0.09779999999999998,0.09779999999999998,2026-04-23_074002_v1,2026-04-23_135814_v1
16,NYJ,Jermod McCoy,0.0946,0.0,-0.0946,0.0946,2026-04-23_074002_v1,2026-04-23_135814_v1
21,PIT,Blake Miller,0.1538,0.2362,0.0824,0.0824,2026-04-23_074002_v1,2026-04-23_135814_v1
20,DAL,Dillon Thieneman,0.1166,0.0402,-0.0764,0.0764,2026-04-23_074002_v1,2026-04-23_135814_v1
22,LAC,T.J. Parker,0.0344,0.1052,0.0708,0.0708,2026-04-23_074002_v1,2026-04-23_135814_v1
21,PIT,Caleb Lomu,0.078,0.1392,0.06119999999999999,0.06119999999999999,2026-04-23_074002_v1,2026-04-23_135814_v1
22,LAC,Kayden McDonald,0.0966,0.157,0.060399999999999995,0.060399999999999995,2026-04-23_074002_v1,2026-04-23_135814_v1
16,NYJ,Denzel Boston,0.0358,0.0956,0.059800000000000006,0.059800000000000006,2026-04-23_074002_v1,2026-04-23_135814_v1
19,CAR,Kayden McDonald,0.0372,0.095,0.057800000000000004,0.057800000000000004,2026-04-23_074002_v1,2026-04-23_135814_v1
