player,player_norm,player_id,season,week,team,opponent,game_id,market_key,line,over_price,under_price,projection,projection_minus_line,edge,recommended_side,recommended_prob,recommended_ev_percent,recommendation,actual,edge_yards,model_side,bet_won,bet_pushed,bet_odds,profit_1u,edge_bucket,ev_bucket
Ray Davis,ray davis,26191,2024,17,BUF,New York Jets,eb5a71180b3558fdc20a896e98c00385,player_rush_yds,24.5,-110.0,-110,18.15,-6.350000000000001,-6.350000000000001,under,0.57425,9.629545454545465,under,9.0,6.350000000000001,under,True,False,-110.0,0.9090909090909091,5-7.5,5-10
Deebo Samuel,deebo samuel,18244,2024,16,FA,,b0e2f4e7023b4f29ca1e1e64f93726f2,player_rush_yds,13.5,-110.0,-110,11.41,-2.09,-2.09,under,0.5695,8.722727272727282,under,25.0,2.09,under,False,False,-110.0,-1.0,0-2.5,5-10
Chase Brown,chase brown,25324,2024,4,CIN,Carolina Panthers,82483a4f1a2ae000d00778810d85d13c,player_rush_yds,31.5,-110.0,-110,26.2,-5.300000000000001,-5.300000000000001,under,0.564,7.672727272727265,under,80.0,5.300000000000001,under,False,False,-110.0,-1.0,5-7.5,5-10
Marvin Mims Jr.,marvin mims,23080,2024,13,DEN,Cleveland Browns,e73de417d2fd01292ed12cea2a906903,player_rush_yds,7.5,-110.0,-110,5.57,-1.93,-1.93,under,0.56265,7.415000000000004,under,4.0,1.9299999999999997,under,True,False,-110.0,0.9090909090909091,0-2.5,5-10
Deebo Samuel,deebo samuel,18244,2024,5,FA,,a0877d6a0f0a97e5790884008b9974c9,player_rush_yds,15.5,-110.0,-110,13.73,-1.7699999999999996,-1.7699999999999996,under,0.56185,7.262272727272723,under,9.0,1.7699999999999996,under,True,False,-110.0,0.9090909090909091,0-2.5,5-10
Cam Akers,cam akers,19268,2024,4,FA,,3855431777952837560f29bff9d6b4e3,player_rush_yds,58.5,-110.0,-110,52.53,-5.969999999999999,-5.969999999999999,under,0.5615,7.195454545454549,under,53.0,5.969999999999999,under,True,False,-110.0,0.9090909090909091,5-7.5,5-10
Zach Charbonnet,zach charbonnet,23152,2024,16,SEA,Minnesota Vikings,87ed34522672eabe6cb5b85c34c4e8ce,player_rush_yds,27.5,-110.0,-110,23.56,-3.940000000000001,-3.940000000000001,under,0.548,4.618181818181832,under,-1.0,3.9400000000000013,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
Braelon Allen,braelon allen,24346,2024,13,NYJ,Seattle Seahawks,63057e9eb2da9cc89ac93911769b9a3e,player_rush_yds,28.5,-110.0,-110,24.46,-4.039999999999999,-4.039999999999999,under,0.5472,4.465454545454556,under,11.0,4.039999999999999,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
Audric Estime,audric estime,23054,2024,8,NO,,bba53e1026b6121c0255771479517a2f,player_rush_yds,18.5,-110.0,-110,15.2,-3.3000000000000007,-3.3000000000000007,under,0.54715,4.455909090909099,under,4.0,3.3000000000000007,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
Kenneth Gainwell,kenneth gainwell,23310,2024,14,TB,,757ca79be58cadb6fece7718e6e260a2,player_rush_yds,19.5,-110.0,-110,16.72,-2.780000000000001,-2.780000000000001,under,0.546,4.236363636363649,under,26.0,2.780000000000001,under,False,False,-110.0,-1.0,2.5-5,2-5
Tyler Allgeier,tyler allgeier,24172,2024,16,ARI,,9c6ae1f00e07b696e2dd19a0efb7be8f,player_rush_yds,37.5,-114.0,-106,34.46,-3.039999999999999,-3.039999999999999,under,0.5321,3.40811320754717,under,22.0,3.039999999999999,under,True,False,-106.0,0.9433962264150944,2.5-5,2-5
Najee Harris,najee harris,19302,2024,12,LAC,,3544bdfabe61cc6d4389984a5ca83955,player_rush_yds,73.5,-110.0,-110,69.34,-4.159999999999997,-4.159999999999997,under,0.53835,2.775909090909096,under,41.0,4.159999999999997,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
Chuba Hubbard,chuba hubbard,19792,2024,15,CAR,Dallas Cowboys,5e028b3e2019613c56d3431d4e04e46d,player_rush_yds,87.5,-110.0,-110,83.07,-4.430000000000007,-4.430000000000007,under,0.5381,2.7281818181818296,under,32.0,4.430000000000007,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
Isiah Pacheco,isiah pacheco,24333,2024,13,DET,,d703217fef577dba3f2d0c38881dd7d3,player_rush_yds,45.5,-110.0,-110,41.39,-4.109999999999999,-4.109999999999999,under,0.53685,2.4895454545454667,under,44.0,4.109999999999999,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
Tyjae Spears,tyjae spears,25323,2024,6,TEN,Indianapolis Colts,bdc58f80a5a9b4515ee631fddc63a2c8,player_rush_yds,34.5,-110.0,-110,31.22,-3.280000000000001,-3.280000000000001,under,0.53605,2.33681818181819,under,27.0,3.280000000000001,under,True,False,-110.0,0.9090909090909091,2.5-5,2-5
