item_type,path,size_bytes,apparent_purpose,imported_by,mentioned_in_docs,category,rationale,regenerable,git_tracked,git_ignored
script,scripts/00_config/market_config.py,13697,Market configuration,scripts/03_modeling/backtest_market_model.py; scripts/03_modeling/build_market_projection_engine.py; scripts/03_modeling/build_receiving_yds_projection_engine.py; scripts/03_modeling/build_rush_yds_projection_engine.py,docs/player_props_model_notes_updated.md,KEEP_ACTIVE,Active market configuration.,,,
script,scripts/01_build/archive_odds_snapshot.py,7425,Historical/source data collection,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/backfill_closing_props.py,11040,Historical/source data collection,,,KEEP_ACTIVE,Current historical prop acquisition utility.,,,
script,scripts/01_build/backfill_fanduel_pass_yds_history.py,36836,Historical/source data collection,,docs/player_props_model_notes_updated.md,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/backfill_fanduel_rec_yds_history.py,37607,Historical/source data collection,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/backfill_fanduel_receptions_history.py,37598,Historical/source data collection,,docs/player_props_model_notes_updated.md,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/build_game_context_from_nflverse.py,6761,Dataset preparation,,,KEEP_ACTIVE,Historical game-context preparation utility.,,,
script,scripts/01_build/build_pass_yds_dataset.py,4542,Dataset preparation,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/build_pass_yds_dataset_fp.py,2574,Dataset preparation,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/fp_api_test.py,1280,Build-layer utility,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/ingest_fantasypros_projections.py,4861,Source data ingestion,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/ingest_fantasypros_qb_web.py,7294,Source data ingestion,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/ingest_fantasypros_receiving_web.py,8308,Source data ingestion,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/ingest_fantasypros_weekly_projections_api.py,10844,Source data ingestion,,docs/player_props_model_notes_updated.md,KEEP_ACTIVE,Configured FantasyPros projection ingest.,,,
script,scripts/01_build/ingest_ffa_projections.py,3208,Source data ingestion,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/01_build/ingest_pff.py,6862,Source data ingestion,,,KEEP_ACTIVE,Actual-stat ingestion utility.,,,
script,scripts/01_build/merge_game_context.py,12941,Dataset preparation,,,KEEP_ACTIVE,Historical props context preparation utility.,,,
script,scripts/01_build/merge_props_with_actuals.py,10124,Dataset preparation,,,KEEP_ACTIVE,Historical props actuals preparation utility.,,,
script,scripts/02_features/build_pass_yds_rolling_features.py,4641,Feature construction,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/02_features/build_projection_ensemble.py,7176,Feature construction,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/03_modeling/backtest_market_model.py,10130,Model backtest/simulation,,docs/player_props_model_notes_updated.md,KEEP_ACTIVE,Active generalized backtest workflow.,,,
script,scripts/03_modeling/backtest_receiving_yds_model.py,5261,Model backtest/simulation,,docs/player_props_model_notes_updated.md,KEEP_REFERENCE,Receiving-yards backtest parity reference.,,,
