source_name,source_type,path,row_count,seasons,weeks_2023,relevant_columns,has_fp_receiving_yds,week1_rb_wr_te_rows_2023,derrick_henry_team_2023_w1,saquon_barkley_team_2023_w1,stefon_diggs_team_2023_w1,keenan_allen_team_2023_w1,roster_checks_passed,viability,notes
fantasypros_receiving_web_raw_html,raw_html_collection,data\raw\fantasypros\receiving_web,24044,"2021,2022,2023,2024,2025","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","season, week, position, player, team, fp_receiving_yds",True,278,BAL,PHI,NOT_FOUND,LAC,1,invalid_hindsight_roster_assignments,Derrick Henry=BAL expected TEN; Saquon Barkley=PHI expected NYG; missing checks: Stefon Diggs
fantasypros_receiving_weekly_projections.csv,csv,data\processed\fantasypros_receiving_weekly_projections.csv,24004,"2021,2022,2023,2024,2025","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","season, week, position, player, team, fp_receiving_yds",True,277,BAL,PHI,NOT_FOUND,LAC,1,invalid_hindsight_roster_assignments,Derrick Henry=BAL expected TEN; Saquon Barkley=PHI expected NYG; missing checks: Stefon Diggs
fantasypros_qb_weekly_projections.csv,csv,data\processed\fantasypros_qb_weekly_projections.csv,4591,"2021,2022,2023,2024,2025","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","season, week, position, player, team",False,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,0,not_usable_missing_fp_receiving_yds,"missing checks: Derrick Henry, Saquon Barkley, Stefon Diggs, Keenan Allen"
ffa_weekly_projections.csv,csv,data\processed\ffa_weekly_projections.csv,44758,"2021,2022,2023,2024,2025","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","season, week, position, player, team",False,180,TEN,NYG,BUF,LAC,4,not_usable_missing_fp_receiving_yds,
receiving_config_filter_general_projection.csv,csv,data\analysis\backtests\receiving_config_filter_general_projection.csv,1674,2024,,"season, week, position, player, team",False,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,0,not_usable_missing_fp_receiving_yds,"missing checks: Derrick Henry, Saquon Barkley, Stefon Diggs, Keenan Allen"
receiving_config_filter_reference_projection.csv,csv,data\analysis\backtests\receiving_config_filter_reference_projection.csv,1674,2024,,"season, week, position, player, team",False,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,0,not_usable_missing_fp_receiving_yds,"missing checks: Derrick Henry, Saquon Barkley, Stefon Diggs, Keenan Allen"
receiving_production_experiment_general_projection.csv,csv,data\analysis\backtests\receiving_production_experiment_general_projection.csv,1674,2024,,"season, week, position, player, team",False,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,0,not_usable_missing_fp_receiving_yds,"missing checks: Derrick Henry, Saquon Barkley, Stefon Diggs, Keenan Allen"
receiving_production_experiment_reference_projection.csv,csv,data\analysis\backtests\receiving_production_experiment_reference_projection.csv,1674,2024,,"season, week, position, player, team",False,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,0,not_usable_missing_fp_receiving_yds,"missing checks: Derrick Henry, Saquon Barkley, Stefon Diggs, Keenan Allen"
fantasypros_api_weekly_raw_json,raw_json_collection,data\raw\fantasypros\api_weekly_projections,23613,"2021,2022,2024,2025",,"season, week, position, player, team, fp_receiving_yds",True,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,0,not_usable_no_2023_rows,"missing checks: Derrick Henry, Saquon Barkley, Stefon Diggs, Keenan Allen"
fantasypros_weekly_projections_api.csv,csv,data\processed\fantasypros_weekly_projections_api.csv,13590,2024,,"season, week, position, player, team, fp_receiving_yds",True,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,0,not_usable_no_2023_rows,"missing checks: Derrick Henry, Saquon Barkley, Stefon Diggs, Keenan Allen"
parity_receptions_projections.csv,csv,data\analysis\backtests\parity_receptions_projections.csv,13590,2024,,"season, week, position, player, team, fp_receiving_yds",True,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,0,not_usable_no_2023_rows,"missing checks: Derrick Henry, Saquon Barkley, Stefon Diggs, Keenan Allen"
