slice_name,bucket_value,bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_actual,avg_projection_minus_actual,avg_actual_minus_line,avg_edge_yards,avg_ev_percent,avg_recommended_prob,avg_implied_prob,calibration_gap,overconfidence_flag,underconfidence_flag
side x total_bucket,side=over | total_bucket=mid_total_42_47,284,138,0,0.4859154929577465,-20.50216450216449,-0.07219072007804397,39.76056338028169,44.57975352112677,43.140845070422536,1.4389084507042256,3.380281690140845,4.819190140845071,6.167428715362224,0.5560422535211268,0.5237365745782098,0.0701267605633803,True,False
side x edge_bucket,side=over | edge_bucket=5-7.5,220,105,0,0.4772727272727273,-19.54545454545454,-0.08884297520661154,42.74090909090909,48.78286363636364,48.154545454545456,0.6283181818181819,5.413636363636364,6.041954545454545,6.87986399408629,0.5600181818181819,0.5239669819109072,0.08274545454545457,True,False
side x spread_bucket,side=over | spread_bucket=favorite_3_to_7,192,92,0,0.4791666666666667,-16.363636363636356,-0.0852272727272727,41.03125,46.230625,44.348958333333336,1.881666666666667,3.3177083333333335,5.199375,6.237869769119776,0.5563541666666666,0.5236885404568331,0.07718749999999991,True,False
side x line_bucket x favorite_status,side=over | line_bucket=60+ | favorite_status=favorite,54,20,0,0.37037037037037035,-15.818181818181813,-0.2929292929292928,68.66666666666667,74.55722222222222,62.48148148148148,12.07574074074074,-6.185185185185185,5.890555555555556,6.575741016724631,0.5587777777777778,0.5242861909528578,0.18840740740740747,True,False
side x favorite_status,side=over | favorite_status=favorite,306,152,0,0.49673202614379086,-15.818181818181806,-0.05169340463458107,40.97712418300654,46.06908496732026,44.826797385620914,1.2422875816993468,3.849673202614379,5.091960784313726,6.384385615568689,0.5573856209150327,0.5239309355883727,0.06065359477124188,True,False
side x position x line_bucket x favorite_status,side=over | position=WR | line_bucket=60+ | favorite_status=favorite,52,19,0,0.36538461538461536,-15.727272727272723,-0.3024475524475524,68.9423076923077,74.86134615384616,62.11538461538461,12.745961538461538,-6.826923076923077,5.919038461538461,6.511521265619634,0.5584615384615386,0.5243045243045243,0.1930769230769232,True,False
side x ev_bucket,side=over | ev_bucket=5-10,420,212,0,0.5047619047619047,-15.27272727272725,-0.03636363636363631,39.09047619047619,44.490047619047616,43.7047619047619,0.7852857142857143,4.614285714285714,5.399571428571429,7.584035061039872,0.5635714285714285,0.5238412916202815,0.058809523809523756,True,False
side x position x favorite_status,side=over | position=WR | favorite_status=favorite,196,95,0,0.4846938775510204,-14.636363636363626,-0.07467532467532462,47.55102040816327,53.366071428571416,50.642857142857146,2.7232142857142865,3.0918367346938775,5.815051020408164,6.338817213964691,0.5571428571428573,0.5239270053424118,0.07244897959183688,True,False
side x spread_bucket,side=over | spread_bucket=dog_0_to_3,132,62,0,0.4696969696969697,-13.593073593073589,-0.1029778302505575,38.553030303030305,43.132121212121206,40.39393939393939,2.738181818181818,1.8409090909090908,4.579090909090908,5.937347500983871,0.5548181818181819,0.523721535916658,0.08512121212121215,True,False
side x favorite_status x total_bucket,side=over | favorite_status=favorite | total_bucket=mid_total_42_47,139,66,0,0.4748201438848921,-12.999999999999993,-0.09352517985611505,41.68705035971223,46.75460431654677,44.618705035971225,2.1358992805755395,2.931654676258993,5.067553956834533,6.506194320677166,0.5579136690647483,0.523827590155016,0.08309352517985619,True,False
side x position x line_size_bucket,side=over | position=WR | line_size_bucket=40-60,154,74,0,0.4805194805194805,-12.72727272727272,-0.0826446280991735,49.006493506493506,55.024545454545446,53.6948051948052,1.3297402597402599,4.688311688311688,6.018051948051949,6.2577808156755586,0.5566493506493507,0.5238673209300713,0.07612987012987021,True,False
side x line_bucket x total_bucket,side=over | line_bucket=40-50 | total_bucket=mid_total_42_47,58,24,0,0.41379310344827586,-12.18181818181818,-0.2100313479623824,45.05172413793103,50.42310344827586,51.41379310344828,-0.9906896551724147,6.362068965517241,5.371379310344829,5.934796238244522,0.554896551724138,0.5238095238095238,0.14110344827586213,True,False
side x position x total_bucket,side=over | position=WR | total_bucket=mid_total_42_47,187,92,0,0.4919786096256685,-11.363636363636354,-0.060768108896451095,45.018716577540104,50.44347593582888,49.00534759358289,1.4381283422459896,3.986631016042781,5.42475935828877,6.141500567169023,0.5558502673796791,0.5236853056078307,0.06387165775401066,True,False
side x ev_bucket,side=over | ev_bucket=2-5,196,97,0,0.49489795918367346,-10.758056758056748,-0.054888044683963,39.63265306122449,43.55530612244898,43.566326530612244,-0.011020408163265143,3.933673469387755,3.9479591836734693,3.4521105123146048,0.5417448979591838,0.5236676485120985,0.04684693877551033,False,False
side x position x line_bucket,side=over | position=WR | line_bucket=50-60,64,28,0,0.4375,-10.545454545454543,-0.16477272727272724,54.71875,61.2753125,55.390625,5.8846875,0.671875,6.5565625,6.02198963317385,0.5555,0.5239485981308412,0.118,True,False
side x favorite_status,side=over | favorite_status=underdog,310,157,0,0.5064516129032258,-10.212602212602196,-0.03294387810516838,37.57096774193548,42.340387096774194,42.50967741935484,-0.1692903225806453,4.938709677419355,4.78541935483871,6.155762540923837,0.5558774193548387,0.5236430170930565,0.049425806451612875,False,False
side x line_bucket x favorite_status,side=over | line_bucket=40-50 | favorite_status=underdog,65,29,0,0.4461538461538462,-9.636363636363633,-0.1482517482517482,44.761538461538464,49.73907692307692,46.292307692307695,3.4467692307692306,1.5307692307692307,4.977538461538461,6.26293706293707,0.5566153846153847,0.5238095238095238,0.11046153846153856,True,False
side x position x line_size_bucket,side=over | position=RB | line_size_bucket=<25,63,28,0,0.4444444444444444,-9.54545454545454,-0.15151515151515144,18.658730158730158,21.603492063492055,20.41269841269841,1.1907936507936505,1.753968253968254,2.9447619047619047,6.3413591699306044,0.5564126984126985,0.523247239275114,0.11196825396825405,True,False
side x favorite_status x total_bucket,side=over | favorite_status=underdog | total_bucket=high_total_47_plus,80,37,0,0.4625,-9.36363636363636,-0.1170454545454545,41.4,46.3655,44.3,2.0654999999999992,2.9,5.0275,6.455681818181825,0.557625,0.5238095238095238,0.09512500000000002,True,False
side x position x spread_bucket,side=over | position=WR | spread_bucket=favorite_3_to_7,122,59,0,0.48360655737704916,-9.363636363636356,-0.07675111773472423,47.48360655737705,53.367131147540974,50.74590163934426,2.6212295081967216,3.262295081967213,5.883524590163936,6.098821943084245,0.5556557377049179,0.5237143237942918,0.07204918032786878,True,False
side x edge_bucket x position,side=over | edge_bucket=5-7.5 | position=WR,172,86,0,0.5,-7.818181818181811,-0.045454545454545414,45.5406976744186,51.663372093023256,52.44767441860465,-0.7843023255813959,6.906976744186046,6.1226744186046504,6.636723415303592,0.5586279069767442,0.5238612723942001,0.05862790697674425,True,False
side x position x total_bucket,side=over | position=WR | total_bucket=high_total_47_plus,107,52,0,0.48598130841121495,-7.727272727272724,-0.07221750212404415,48.89252336448598,54.3622429906542,50.626168224299064,3.73607476635514,1.733644859813084,5.516074766355141,6.374919882544091,0.5572897196261682,0.5238927084503118,0.0713084112149533,True,False
side x position x spread_bucket,side=over | position=WR | spread_bucket=dog_0_to_3,84,40,0,0.47619047619047616,-7.636363636363634,-0.09090909090909088,42.976190476190474,48.04678571428571,45.964285714285715,2.0824999999999996,2.988095238095238,5.070595238095239,5.877272727272733,0.5545952380952383,0.523809523809524,0.07840476190476209,True,False
side x favorite_status x total_bucket,side=over | favorite_status=underdog | total_bucket=mid_total_42_47,145,72,0,0.496551724137931,-7.502164502164496,-0.05173906553216894,37.91379310344828,42.49489655172414,41.724137931034484,0.7707586206896547,3.810344827586207,4.581103448275862,5.842680997163762,0.5542482758620689,0.5236493251632024,0.0576965517241379,True,False
side x position x line_bucket,side=over | position=WR | line_bucket=30-40,59,27,0,0.4576271186440678,-7.454545454545452,-0.12634822804314327,35.29661016949152,41.149152542372875,38.49152542372882,2.6576271186440676,3.194915254237288,5.8525423728813575,6.5661016949152575,0.5582033898305085,0.5238095238095238,0.10057627118644075,True,False
side x edge_bucket x line_bucket,side=over | edge_bucket=5-7.5 | line_bucket=20-30,55,25,0,0.45454545454545453,-7.272727272727272,-0.13223140495867766,24.845454545454544,30.741090909090907,27.87272727272727,2.868363636363637,3.0272727272727273,5.895636363636363,7.220479609808972,0.5621454545454545,0.5242775242775245,0.10759999999999997,True,False
side x line_bucket x favorite_status,side=over | line_bucket=30-40 | favorite_status=underdog,53,24,0,0.4528301886792453,-7.18181818181818,-0.1355060034305317,34.386792452830186,39.81320754716981,36.81132075471698,3.0018867924528303,2.4245283018867925,5.426415094339623,6.289536878216127,0.5567547169811322,0.523809523809524,0.10392452830188692,True,False
side x position x favorite_status,side=over | position=TE | favorite_status=favorite,64,30,0,0.46875,-6.727272727272725,-0.10511363636363633,34.8125,39.0790625,40.15625,-1.0771874999999997,5.34375,4.2665625,6.514474664679588,0.558375,0.5242117117117118,0.08962499999999995,True,False
side x favorite_status x total_bucket,side=over | favorite_status=favorite | total_bucket=low_total_<42,81,39,0,0.48148148148148145,-6.545454545454542,-0.08080808080808077,37.48765432098765,42.79925925925926,42.01234567901235,0.7869135802469136,4.5246913580246915,5.311604938271605,6.455881216536961,0.5579753086419753,0.5241273019050797,0.07649382716049385,True,False
side x position x line_bucket,side=over | position=WR | line_bucket=60+,86,42,0,0.4883720930232558,-5.818181818181815,-0.0676532769556025,68.93023255813954,74.51697674418604,69.13953488372093,5.377441860465117,0.20930232558139536,5.644418604651164,6.242484317055428,0.5568372093023255,0.5241088264344079,0.0684651162790697,True,False
side x position x line_size_bucket,side=over | position=WR | line_size_bucket=60+,86,42,0,0.4883720930232558,-5.818181818181815,-0.0676532769556025,68.93023255813954,74.51697674418604,69.13953488372093,5.377441860465117,0.20930232558139536,5.644418604651164,6.242484317055428,0.5568372093023255,0.5241088264344079,0.0684651162790697,True,False
side x total_bucket,side=over | total_bucket=high_total_47_plus,166,84,0,0.5060240963855421,-5.63636363636363,-0.033953997809419455,42.28915662650602,47.23343373493976,46.12048192771084,1.1129518072289157,3.8313253012048194,4.974156626506025,6.281862377740632,0.5567710843373495,0.5238631428249716,0.05074698795180732,True,False
side x edge_bucket,side=over | edge_bucket=0-2.5,74,36,0,0.4864864864864865,-5.212602212602209,-0.0704405704405704,32.7027027027027,34.33743243243243,34.71621621621622,-0.37878378378378375,2.0135135135135136,1.7017567567567569,4.627410527410537,0.5474864864864866,0.523276794618258,0.061000000000000054,True,False
side x edge_bucket x position,side=over | edge_bucket=2.5-5 | position=RB,51,24,0,0.47058823529411764,-5.18181818181818,-0.10160427807486627,20.833333333333332,24.288235294117648,25.50980392156863,-1.2215686274509803,4.676470588235294,3.454901960784314,6.676648841354729,0.5582745098039216,0.5233426704014941,0.08768627450980393,True,False
side x position x total_bucket,side=over | position=TE | total_bucket=mid_total_42_47,58,28,0,0.4827586206896552,-4.5021645021645,-0.07762352589938792,34.94827586206897,39.309482758620696,38.827586206896555,0.4818965517241381,3.8793103448275863,4.361206896551724,6.2896845381865205,0.5570344827586207,0.5240530690488638,0.07427586206896547,True,False
side x edge_bucket,side=over | edge_bucket=2.5-5,248,128,0,0.5161290322580645,-3.6363636363636287,-0.014662756598240439,35.21370967741935,39.020846774193544,40.270161290322584,-1.249314516129032,5.056451612903226,3.807137096774194,5.866715542522003,0.5544354838709677,0.5237135176651305,0.03830645161290325,False,False
side x spread_bucket,side=over | spread_bucket=favorite_0_to_3,70,35,0,0.5,-3.181818181818179,-0.045454545454545414,40.628571428571426,45.364428571428576,42.75714285714286,2.6072857142857138,2.1285714285714286,4.735857142857142,6.4135985268685936,0.557942857142857,0.5243043921281573,0.05794285714285696,True,False
side x position x line_size_bucket,side=over | position=TE | line_size_bucket=25-40,50,25,0,0.5,-2.255892255892254,-0.04511784511784508,30.94,35.5102,36.2,-0.6898000000000003,5.26,4.5702,6.201952861952866,0.5562000000000001,0.5237179487179487,0.05620000000000014,True,False
side x position x line_bucket,side=over | position=WR | line_bucket=40-50,90,46,0,0.5111111111111111,-2.181818181818178,-0.0242424242424242,44.94444444444444,50.57955555555555,52.48888888888889,-1.9093333333333338,7.544444444444444,5.635111111111112,6.425454545454553,0.5574666666666667,0.5238095238095238,0.046355555555555594,False,False
side x position x favorite_status,side=over | position=TE | favorite_status=underdog,66,34,0,0.5151515151515151,-1.030784030784028,-0.015617939860364059,32.833333333333336,37.2319696969697,37.015151515151516,0.21681818181818163,4.181818181818182,4.3986363636363635,6.356339732097313,0.556848484848485,0.5235641729544169,0.0416969696969699,False,False
side x position x line_size_bucket,side=over | position=WR | line_size_bucket=25-40,102,53,0,0.5196078431372549,-0.8181818181818139,-0.008021390374331508,32.11764705882353,37.45372549019608,37.245098039215684,0.20862745098039212,5.127450980392157,5.336078431372548,6.373660979543339,0.5570784313725491,0.5236956571246386,0.037470588235294144,False,False
side x line_bucket x favorite_status,side=over | line_bucket=40-50 | favorite_status=favorite,56,29,0,0.5178571428571429,-0.636363636363634,-0.011363636363636322,44.642857142857146,49.87910714285714,54.32142857142857,-4.442321428571428,9.678571428571429,5.23625,5.995454545454554,0.5552142857142858,0.5238095238095238,0.03735714285714287,False,False
side x edge_bucket x position,side=over | edge_bucket=2.5-5 | position=WR,138,72,0,0.5217391304347826,-0.5454545454545396,-0.003952569169960432,41.36231884057971,45.3086231884058,46.108695652173914,-0.8000724637681168,4.746376811594203,3.946304347826086,5.509090909090918,0.5526666666666666,0.5238095238095238,0.030927536231884045,False,False
side x total_bucket,side=over | total_bucket=low_total_<42,166,87,0,0.5240963855421686,0.10774410774411436,0.0006490608900247853,35.3855421686747,40.48951807228916,42.09036144578313,-1.600843373493976,6.704819277108434,5.103975903614458,6.4311414227866965,0.5574819277108435,0.5237935704803176,0.03338554216867484,False,False
side x line_bucket x total_bucket,side=over | line_bucket=20-30 | total_bucket=mid_total_42_47,71,38,0,0.5352112676056338,1.5454545454545485,0.0217669654289373,25.077464788732396,29.193380281690143,28.943661971830984,0.24971830985915458,3.8661971830985915,4.115915492957746,5.83310733751741,0.5544225352112677,0.5238448931337975,0.019211267605633964,False,False
side x spread_bucket,side=over | spread_bucket=dog_3_to_7,130,69,0,0.5307692307692308,1.7441077441077493,0.013416213416213456,38.10769230769231,43.02569230769231,44.91538461538462,-1.8896923076923073,6.8076923076923075,4.956153846153846,6.425399785399791,0.5571384615384616,0.5235018108845502,0.02636923076923081,False,False
side x line_bucket x favorite_status,side=over | line_bucket=20-30 | favorite_status=underdog,86,46,0,0.5348837209302325,1.8350168350168383,0.02133740505833533,25.290697674418606,29.586511627906976,33.348837209302324,-3.7623255813953493,8.05813953488372,4.295813953488372,6.222538787655075,0.5562093023255814,0.523621231292814,0.021325581395348903,False,False
side x edge_bucket x position,side=over | edge_bucket=7.5-10 | position=WR,61,33,0,0.5409836065573771,2.0000000000000027,0.03278688524590168,49.74590163934426,58.13016393442622,51.18032786885246,6.9498360655737725,1.4344262295081966,8.38426229508197,7.316570860833161,0.5619344262295082,0.5236191237790598,0.020950819672131082,False,False
side x edge_bucket x position,side=over | edge_bucket=2.5-5 | position=TE,59,32,0,0.5423728813559322,2.0909090909090935,0.03543913713405243,33.26271186440678,37.04881355932203,39.3728813559322,-2.3240677966101697,6.110169491525424,3.786101694915254,6.003081664098618,0.5552542372881357,0.5238095238095238,0.01288135593220352,False,False
side x edge_bucket x line_bucket,side=over | edge_bucket=2.5-5 | line_bucket=<20,51,28,0,0.5490196078431373,2.454545454545457,0.04812834224598935,17.5,21.02176470588235,26.058823529411764,-5.03705882352941,8.558823529411764,3.521764705882353,6.317290552584678,0.556392156862745,0.5233426704014941,0.00737254901960771,False,False
side x favorite_status x total_bucket,side=over | favorite_status=favorite | total_bucket=high_total_47_plus,86,47,0,0.5465116279069767,3.727272727272731,0.04334038054968292,43.116279069767444,48.040813953488374,47.81395348837209,0.22686046511627922,4.6976744186046515,4.92453488372093,6.120169875004644,0.5559767441860464,0.5239130209788764,0.009465116279069652,False,False
side x position x favorite_status,side=over | position=WR | favorite_status=underdog,206,110,0,0.5339805825242718,4.00000000000001,0.019417475728155387,42.19417475728155,47.48427184466019,48.383495145631066,-0.8992233009708737,6.189320388349515,5.3141747572815525,6.158361703021904,0.5560097087378642,0.5237531432179787,0.02202912621359232,False,False
side x line_bucket x favorite_status,side=over | line_bucket=20-30 | favorite_status=favorite,79,44,0,0.5569620253164557,5.0000000000000036,0.06329113924050637,24.639240506329113,29.07139240506329,29.39240506329114,-0.3210126582278477,4.753164556962025,4.432151898734177,6.324061233088005,0.5571392405063292,0.5239883291751153,0.00017721518987356966,False,False
side x line_bucket x total_bucket,side=over | line_bucket=20-30 | total_bucket=low_total_<42,56,32,0,0.5714285714285714,5.10774410774411,0.09120971620971625,25.410714285714285,30.170714285714286,36.392857142857146,-6.222142857142857,10.982142857142858,4.76,6.754990379990383,0.5591071428571429,0.5237277603349032,-0.012321428571428483,False,False
side x position x spread_bucket,side=over | position=WR | spread_bucket=dog_3_to_7,90,50,0,0.5555555555555556,5.454545454545461,0.06060606060606068,42.91111111111111,48.29033333333332,50.32222222222222,-2.031888888888889,7.411111111111111,5.434333333333333,6.4337854737854805,0.5573777777777777,0.5236804748999871,0.0018222222222221696,False,False
side x edge_bucket,side=over | edge_bucket=7.5-10,65,37,0,0.5692307692307692,5.636363636363639,0.08671328671328676,48.56153846153846,56.96123076923077,51.66153846153846,5.299692307692309,3.1,8.399692307692307,7.367858807858811,0.5622153846153847,0.5236308407040116,-0.0070153846153845345,False,False
side x favorite_status x total_bucket,side=over | favorite_status=underdog | total_bucket=low_total_<42,85,48,0,0.5647058823529412,6.653198653198657,0.0782729253317489,33.38235294117647,38.28847058823529,42.16470588235294,-3.8762352941176466,8.782352941176471,4.906117647058824,6.407565854624684,0.5570117647058822,0.5234755440637794,-0.007694117647058962,False,False
side x position x total_bucket,side=over | position=WR | total_bucket=low_total_<42,108,61,0,0.5648148148148148,8.45454545454546,0.07828282828282834,40.388888888888886,46.220555555555556,49.18518518518518,-2.964629629629629,8.796296296296296,5.831666666666666,6.300496770988582,0.557074074074074,0.5240478573811908,-0.007740740740740715,False,False
side x position x line_size_bucket,side=over | position=WR | line_size_bucket=<25,60,36,0,0.6,8.72727272727273,0.1454545454545455,21.016666666666666,25.64983333333333,31.316666666666666,-5.666833333333333,10.3,4.633166666666667,6.006089466089473,0.5550666666666667,0.5236159504452188,-0.04493333333333327,False,False
side x position x line_bucket,side=over | position=WR | line_bucket=20-30,82,48,0,0.5853658536585366,9.63636363636364,0.11751662971175171,25.463414634146343,30.340975609756097,34.15853658536585,-3.8175609756097564,8.695121951219512,4.8775609756097555,6.145750184774579,0.5557073170731708,0.5235262457154188,-0.02965853658536577,False,False
side x edge_bucket x line_bucket,side=over | edge_bucket=2.5-5 | line_bucket=20-30,76,47,0,0.618421052631579,13.727272727272734,0.18062200956937807,24.93421052631579,28.695263157894733,36.328947368421055,-7.633684210526319,11.394736842105264,3.761052631578947,6.130382775119623,0.555921052631579,0.523809523809524,-0.0625,False,True
