rule_removed,rule_dimensions,removed_bets,removed_roi,removed_profit_units,remaining_bets,remaining_roi,remaining_profit_units,roi_lift,profit_change_units,pct_bets_retained,baseline_roi,baseline_bets,multiple_testing_note,evidence_class
absolute_projection_edge < 0.35,1,303,-0.2096369636963696,-63.519999999999996,305,-0.10032786885245902,-30.6,0.054474762726488365,63.52,0.5016447368421053,-0.1548026315789474,608,exploratory; rule family comparison index 49,hypothesis worth holdout testing
absolute_projection_edge < 0.18,1,149,-0.28697986577181206,-42.76,459,-0.11189542483660131,-51.36,0.04290720674234608,42.760000000000005,0.7549342105263158,-0.1548026315789474,608,exploratory; rule family comparison index 47,hypothesis worth holdout testing
projection_minus_line_bucket = 0-0.25,1,122,-0.3140983606557377,-38.32,486,-0.11481481481481481,-55.8,0.03998781676413257,38.32000000000001,0.7993421052631579,-0.1548026315789474,608,exploratory; rule family comparison index 16,hypothesis worth holdout testing
projection_minus_line_bucket = 0-0.25 AND verified_edge_bucket = 0-0.5,2,122,-0.3140983606557377,-38.32,486,-0.11481481481481481,-55.8,0.03998781676413257,38.32000000000001,0.7993421052631579,-0.1548026315789474,608,exploratory; rule family comparison index 277,hypothesis worth holdout testing
side = over,1,250,-0.20844,-52.11,358,-0.11734636871508378,-42.00999999999999,0.03745626286386361,52.110000000000014,0.5888157894736842,-0.1548026315789474,608,exploratory; rule family comparison index 2,hypothesis worth holdout testing
projection_minus_line_bucket = 0-0.25 AND ev_bucket = 2-5,2,68,-0.4361764705882353,-29.66,540,-0.11937037037037039,-64.46000000000001,0.035432261208576996,29.659999999999997,0.8881578947368421,-0.1548026315789474,608,exploratory; rule family comparison index 267,hypothesis worth holdout testing
side = over AND ev_bucket = 2-5,2,120,-0.2925833333333333,-35.11,488,-0.12092213114754097,-59.00999999999999,0.03388050043140642,35.110000000000014,0.8026315789473685,-0.1548026315789474,608,exploratory; rule family comparison index 78,hypothesis worth holdout testing
side = over AND probability_bucket = 45-50%,2,53,-0.5067924528301887,-26.86,555,-0.1211891891891892,-67.26,0.03361344238975819,26.86,0.912828947368421,-0.1548026315789474,608,exploratory; rule family comparison index 67,hypothesis worth holdout testing
ev_bucket = 2-5 AND verified_edge_bucket = 0-0.5,2,196,-0.2226020408163265,-43.629999999999995,412,-0.12254854368932039,-50.49,0.032254087889627,43.63,0.6776315789473685,-0.1548026315789474,608,exploratory; rule family comparison index 326,hypothesis worth holdout testing
projection_minus_line_bucket = -0.25-0,1,96,-0.3123958333333333,-29.99,512,-0.12525390625,-64.13,0.029548725328947395,29.99000000000001,0.8421052631578947,-0.1548026315789474,608,exploratory; rule family comparison index 14,hypothesis worth holdout testing
projection_minus_line_bucket = -0.25-0 AND verified_edge_bucket = 0-0.5,2,96,-0.3123958333333333,-29.99,512,-0.12525390625,-64.13,0.029548725328947395,29.99000000000001,0.8421052631578947,-0.1548026315789474,608,exploratory; rule family comparison index 275,hypothesis worth holdout testing
side = over AND projection_minus_line_bucket = 0-0.25,2,55,-0.444,-24.42,553,-0.1260397830018083,-69.69999999999999,0.028762848577139094,24.420000000000016,0.9095394736842105,-0.1548026315789474,608,exploratory; rule family comparison index 52,hypothesis worth holdout testing
ev_bucket = 2-5,1,271,-0.19047970479704796,-51.62,337,-0.1261127596439169,-42.5,0.028689871935030475,51.620000000000005,0.5542763157894737,-0.1548026315789474,608,exploratory; rule family comparison index 28,hypothesis worth holdout testing
projection_edge < 0.17,1,303,-0.18267326732673264,-55.349999999999994,305,-0.12711475409836065,-38.769999999999996,0.027687877480586737,55.35000000000001,0.5016447368421053,-0.1548026315789474,608,exploratory; rule family comparison index 35,hypothesis worth holdout testing
probability_bucket = 45-50% AND verified_edge_bucket = 0-0.5,2,91,-0.3067032967032967,-27.91,517,-0.12806576402321085,-66.21000000000001,0.026736867555736538,27.909999999999997,0.850328947368421,-0.1548026315789474,608,exploratory; rule family comparison index 307,hypothesis worth holdout testing
probability_bucket = 57.5-60%,1,61,-0.38737704918032784,-23.63,547,-0.12886654478976234,-70.49,0.025936086789185048,23.63000000000001,0.899671052631579,-0.1548026315789474,608,exploratory; rule family comparison index 18,hypothesis worth holdout testing
probability_bucket = 45-50%,1,103,-0.28009708737864075,-28.849999999999998,505,-0.12924752475247525,-65.27,0.025555106826472135,28.85000000000001,0.8305921052631579,-0.1548026315789474,608,exploratory; rule family comparison index 23,hypothesis worth holdout testing
projection_minus_line_bucket = 0.5-1 AND ev_bucket = 5-10,2,67,-0.3597014925373134,-24.1,541,-0.12942698706099817,-70.02000000000001,0.025375644517949214,24.099999999999994,0.8898026315789473,-0.1548026315789474,608,exploratory; rule family comparison index 258,hypothesis worth holdout testing
