dimension_1,value_1,dimension_2,value_2,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge,roi_standard_error,roi_ci_95_low,roi_ci_95_high,roi_x_sqrt_n,conservative_score,ranking_note
projection_minus_line_bucket,0.25-0.5,probability_bucket,50-52.5%,37,22,15,0,0.5945945945945946,8.700000000000001,0.23513513513513518,2.9594594594594597,3.2816216216216216,0.32216216216216204,0.5118648648648648,6.309694594594598,2.077297297297297,0.32216216216216204,0.32216216216216204,0.32216216216216204,0.1701075536919696,-0.0982756701011252,0.5685459403713955,1.4302711895566085,-0.0982756701011252,exploratory
probability_bucket,50-52.5%,ev_bucket,5-10,42,24,18,0,0.5714285714285714,8.420000000000002,0.20047619047619053,3.238095238095238,3.5069047619047624,0.2688095238095238,0.5120630952380951,7.491647619047623,2.09952380952381,0.2688095238095238,0.2688095238095238,0.2688095238095238,0.16241568969145295,-0.11785856131905725,0.5188109422714383,1.2992342066808142,-0.11785856131905725,exploratory
projection_minus_line_bucket,-0.5--0.25,verified_edge_bucket,0-0.5,72,45,27,0,0.625,2.9500000000000006,0.04097222222222223,3.6527777777777777,3.2840277777777778,-0.36875,0.6369604166666666,6.208786111111112,1.6726388888888888,-0.36875,-0.36875,0.36875,0.0960328418740006,-0.14725214785081897,0.2291965922952634,0.3476608340833859,-0.14725214785081897,exploratory
side,under,projection_minus_line_bucket,-0.5--0.25,73,45,28,0,0.6164383561643836,1.9500000000000008,0.0267123287671233,3.6780821917808217,3.3075342465753423,-0.3705479452054794,0.6366136986301368,6.186640410958905,1.6731506849315068,-0.3705479452054794,-0.3705479452054794,0.3705479452054794,0.09577570329816042,-0.16100804969727112,0.2144327072315177,0.22823023703245468,-0.16100804969727112,exploratory
projection_minus_line_bucket,0.25-0.5,verified_edge_bucket,0-0.5,122,60,62,0,0.4918032786885246,2.4000000000000004,0.019672131147540985,3.1885245901639343,3.53983606557377,0.35131147540983604,0.5108340163934427,5.456173770491807,2.070655737704918,0.35131147540983604,0.35131147540983604,0.35131147540983604,0.09456178455973888,-0.16566896658954722,0.2050132288846292,0.2172857905020445,-0.16566896658954722,exploratory
projection_minus_line_bucket,0.25-0.5,ev_bucket,5-10,62,32,30,0,0.5161290322580645,5.620000000000001,0.0906451612903226,2.9838709677419355,3.3327419354838703,0.34887096774193543,0.5121701612903226,7.540222580645166,2.1050000000000004,0.34887096774193543,0.34887096774193543,0.34887096774193543,0.13556526602369498,-0.17506276011611957,0.3563530826967648,0.7137407137410707,-0.17506276011611957,exploratory
line_bucket,2.5,projection_minus_line_bucket,0.25-0.5,53,28,25,0,0.5283018867924528,4.73,0.08924528301886793,2.5,2.8609433962264155,0.36094339622641514,0.5160735849056604,5.785702830188684,2.0556603773584907,0.36094339622641514,0.36094339622641514,0.36094339622641514,0.14323872738535345,-0.19150262265642487,0.3699931886941607,0.6497154674772991,-0.19150262265642487,exploratory
side,over,probability_bucket,50-52.5%,30,17,13,0,0.5666666666666667,5.380000000000001,0.17933333333333337,3.5,3.7870000000000004,0.2869999999999999,0.5110899999999999,6.0166333333333375,2.0746666666666664,0.2869999999999999,0.2869999999999999,0.2869999999999999,0.1916689754983377,-0.1963378586434085,0.5550045253100753,0.9822491197925981,-0.1963378586434085,exploratory
side,under,line_bucket,3.5,53,30,23,0,0.5660377358490566,2.0900000000000016,0.039433962264150975,3.5,3.330377358490566,-0.16962264150943393,0.5855603773584905,5.508027358490567,1.8275471698113204,-0.16962264150943393,-0.16962264150943393,0.3333962264150943,0.12823305589875608,-0.21190282729741095,0.2907707518257129,0.2870835786527603,-0.21190282729741095,exploratory
ev_bucket,5-10,verified_edge_bucket,0-0.5,216,102,114,0,0.4722222222222222,-19.330000000000002,-0.08949074074074075,3.2175925925925926,3.235462962962963,0.017870370370370356,0.5590787037037037,7.328358333333335,1.9490277777777778,0.017870370370370356,0.017870370370370356,0.249537037037037,0.06655381986367921,-0.21993622767355198,0.0409547461920705,-1.315239909111079,-0.21993622767355198,exploratory
