opponent,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge
Seattle Seahawks,23,16,7,0,0.6956521739130435,8.08,0.35130434782608694,3.5434782608695654,3.7108695652173918,0.16739130434782606,0.5426717391304348,4.854054347826083,1.9565217391304348,0.16739130434782606,0.16739130434782606,0.32739130434782604
New Orleans Saints,22,15,7,0,0.6818181818181818,5.670000000000001,0.25772727272727275,3.4545454545454546,3.3900000000000006,-0.06454545454545456,0.5677795454545453,5.263038636363638,1.8918181818181816,-0.06454545454545456,-0.06454545454545456,0.269090909090909
Los Angeles Rams,16,11,5,0,0.6875,3.21,0.200625,3.4375,3.554375,0.11687500000000002,0.586828125,5.8638,1.826875,0.11687500000000002,0.11687500000000002,0.411875
Jacksonville Jaguars,17,10,7,0,0.5882352941176471,2.3400000000000003,0.13764705882352943,3.735294117647059,3.912941176470588,0.1776470588235294,0.5332029411764705,5.314279411764708,1.9988235294117644,0.1776470588235294,0.1776470588235294,0.2905882352941176
Dallas Cowboys,17,10,7,0,0.5882352941176471,1.6,0.09411764705882353,3.6176470588235294,3.7435294117647056,0.12588235294117645,0.5872029411764705,5.918255882352942,1.8241176470588236,0.12588235294117645,0.12588235294117645,0.4270588235294117
Cincinnati Bengals,17,9,8,0,0.5294117647058824,-0.21999999999999975,-0.01294117647058822,3.7941176470588234,3.807058823529412,0.012941176470588248,0.5657794117647059,5.510385294117649,1.896470588235294,0.012941176470588248,0.012941176470588248,0.3623529411764706
Kansas City Chiefs,20,11,9,0,0.55,-0.9100000000000004,-0.04550000000000002,3.3,3.3520000000000003,0.05200000000000007,0.6035350000000002,6.206175000000002,1.784,0.05200000000000007,0.05200000000000007,0.46499999999999986
Carolina Panthers,27,13,14,0,0.48148148148148145,-2.130000000000001,-0.07888888888888891,3.2037037037037037,3.504814814814815,0.30111111111111105,0.5465722222222223,5.3055407407407404,1.9529629629629635,0.30111111111111105,0.30111111111111105,0.3559259259259259
New York Jets,22,11,11,0,0.5,-2.1399999999999997,-0.09727272727272726,3.409090909090909,3.5772727272727276,0.16818181818181815,0.5691068181818181,5.4614181818181855,1.8813636363636368,0.16818181818181815,0.16818181818181815,0.3927272727272726
Las Vegas Raiders,20,9,11,0,0.45,-2.46,-0.123,3.35,3.4434999999999993,0.0935,0.5516950000000002,4.5897275,1.9265,0.0935,0.0935,0.30749999999999994
Denver Broncos,19,8,11,0,0.42105263157894735,-2.3499999999999996,-0.12368421052631577,2.9210526315789473,3.107894736842105,0.186842105263158,0.5518500000000001,5.440505263157895,1.941578947368421,0.186842105263158,0.186842105263158,0.3331578947368422
Indianapolis Colts,19,9,10,0,0.47368421052631576,-2.410000000000001,-0.12684210526315795,3.0789473684210527,3.236315789473684,0.1573684210526316,0.5582473684210525,5.461726315789468,1.916315789473684,0.1573684210526316,0.1573684210526316,0.3005263157894737
Houston Texans,23,10,13,0,0.43478260869565216,-3.5500000000000003,-0.15434782608695655,3.239130434782609,3.319130434782609,0.07999999999999999,0.5575543478260869,5.500652173913044,1.9173913043478255,0.07999999999999999,0.07999999999999999,0.32260869565217387
Tampa Bay Buccaneers,22,10,12,0,0.45454545454545453,-3.3999999999999995,-0.1545454545454545,3.6363636363636362,3.814090909090909,0.17772727272727265,0.5510931818181819,5.457879545454549,1.9422727272727274,0.17772727272727265,0.17772727272727265,0.39318181818181813
