team,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge
San Francisco 49ers,22,14,8,0,0.6363636363636364,5.15,0.2340909090909091,3.4545454545454546,3.578636363636363,0.12409090909090911,0.5545999999999999,5.208813636363636,1.9286363636363633,0.12409090909090911,0.12409090909090911,0.3268181818181818
Miami Dolphins,21,13,8,0,0.6190476190476191,3.51,0.16714285714285712,4.071428571428571,4.272857142857143,0.20142857142857146,0.5493404761904761,4.962552380952381,1.937142857142857,0.20142857142857146,0.20142857142857146,0.369047619047619
New England Patriots,27,17,10,0,0.6296296296296297,4.08,0.1511111111111111,2.759259259259259,2.955925925925926,0.19666666666666668,0.5875629629629631,5.828157407407407,1.8244444444444445,0.19666666666666668,0.19666666666666668,0.39518518518518514
Buffalo Bills,24,15,9,0,0.625,3.4400000000000004,0.14333333333333334,3.0416666666666665,3.32875,0.2870833333333333,0.5718229166666667,6.566785416666669,1.8962500000000002,0.2870833333333333,0.2870833333333333,0.4879166666666666
Dallas Cowboys,19,11,8,0,0.5789473684210527,1.3000000000000007,0.06842105263157898,3.3421052631578947,3.3773684210526316,0.03526315789473687,0.5764263157894736,5.777684210526315,1.8657894736842107,0.03526315789473687,0.03526315789473687,0.3026315789473683
Detroit Lions,26,15,11,0,0.5769230769230769,1.3200000000000003,0.05076923076923078,3.4615384615384617,3.6438461538461535,0.18230769230769228,0.583176923076923,6.2096230769230765,1.852307692307692,0.18230769230769228,0.18230769230769228,0.3799999999999999
New Orleans Saints,24,13,11,0,0.5416666666666666,0.8200000000000001,0.03416666666666667,3.0833333333333335,3.2158333333333338,0.13249999999999998,0.5531854166666667,5.774779166666666,1.9529166666666666,0.13249999999999998,0.13249999999999998,0.35916666666666663
New York Giants,16,8,8,0,0.5,-0.5900000000000003,-0.03687500000000002,3.5,3.5462499999999997,0.04624999999999997,0.5443312499999999,5.007996874999997,1.9625,0.04624999999999997,0.04624999999999997,0.33499999999999996
Washington Commanders,19,10,9,0,0.5263157894736842,-0.8400000000000001,-0.04421052631578948,3.289473684210526,3.6399999999999997,0.35052631578947363,0.5806736842105265,6.335297368421055,1.857894736842105,0.35052631578947363,0.35052631578947363,0.5421052631578946
Carolina Panthers,19,9,10,0,0.47368421052631576,-1.6300000000000001,-0.08578947368421053,3.1842105263157894,3.465789473684211,0.281578947368421,0.56975,6.123294736842105,1.8868421052631577,0.281578947368421,0.281578947368421,0.4142105263157895
