projection_minus_line,p_over_normal_full_sigma,p_over_normal_clean_sigma,p_over_normal_robust_sigma,fair_decimal_clean_sigma,fair_decimal_robust_sigma
-40,0.29131142042465796,0.2795961057723596,0.28702962160713474,3.576587725489195,3.483960973786626
-35,0.31530696817892534,0.30466273307342173,0.3114222672747765,3.282318089620126,3.211074175109233
-30,0.34010806921827985,0.33068178772428736,0.33667219138189264,3.0240552613492286,2.970248287794236
-25,0.36562113458668133,0.3575459600236557,0.3626808660770846,2.7968432364159246,2.757244987353314
-20,0.39174309148490916,0.38513532831726494,0.3893392208966511,2.5964899256819796,2.5684543100923474
-15,0.4183626079205769,0.4133189233956578,0.4165289850897459,2.4194391870191003,2.400793308020422
-10,0.44536150366993554,0.44195657267291955,0.4441242465897203,2.262665750057922,2.251622170324321
-5,0.4726163180523074,0.4709009814457754,0.47199319376833515,2.123588693592797,2.118674619047203
0,0.5,0.5,0.5,2.0,2.0
5,0.5273836819476927,0.5290990185542246,0.5280068062316647,1.890005395837859,1.8939149802573694
10,0.5546384963300645,0.5580434273270805,0.5558757534102798,1.7919752317302717,1.7989631565417852
15,0.5816373920794231,0.5866810766043422,0.583471014910254,1.7045035878571555,1.7138811945162589
20,0.6082569085150908,0.6148646716827351,0.6106607791033489,1.626374137358133,1.6375703733066487
25,0.6343788654133187,0.6424540399763443,0.6373191339229154,1.5565315770087162,1.5690726149153265
30,0.6598919307817201,0.6693182122757126,0.6633278086181074,1.4940576569699995,1.5075502444006872
35,0.6846930318210747,0.6953372669265783,0.6885777327252235,1.4381510204681602,1.4522688615593808
40,0.708688579575342,0.7204038942276404,0.7129703783928653,1.3881102087491077,1.4025828145260952
