position,spread_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,dog_0_to_3,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
FB,dog_3_to_7,5.0,0.6,0.4,0.0,-109.0,-111.0,0.15411255411255415,-0.23636363636363633
RB,dog_0_to_3,110.0,0.5818181818181818,0.41818181818181815,0.0,-106.36363636363636,-106.50909090909092,0.11229179516136047,-0.2007922249028968
RB,dog_3_to_7,129.0,0.5193798449612403,0.4806201550387597,0.0,-109.96899224806202,-110.07751937984496,-0.008469504784906367,-0.08287184662910867
RB,dog_7_plus,44.0,0.4318181818181818,0.5681818181818182,0.0,-109.93181818181819,-105.56818181818181,-0.1756843504235456,0.08381243262666191
RB,favorite_0_to_3,113.0,0.504424778761062,0.49557522123893805,0.0,-106.29203539823008,-108.46902654867256,-0.03581979607522589,-0.05439529689241112
RB,favorite_3_to_7,122.0,0.4918032786885246,0.5081967213114754,0.0,-105.01639344262296,-108.52459016393442,-0.06082812283375237,-0.030413576578109135
RB,favorite_7_plus,41.0,0.34146341463414637,0.6585365853658537,0.0,-99.65853658536585,-110.73170731707317,-0.34261328632484517,0.2572062084257207
TE,dog_0_to_3,99.0,0.5151515151515151,0.48484848484848486,0.0,-110.12121212121212,-107.87878787878788,-0.01652892561983467,-0.07346189164370977
TE,dog_3_to_7,120.0,0.475,0.525,0.0,-109.91666666666667,-110.08333333333333,-0.09282106782106778,0.001943346508563944
TE,dog_7_plus,41.0,0.6341463414634146,0.36585365853658536,0.0,-110.17073170731707,-105.0,0.20951792443195888,-0.3015521064301552
TE,favorite_0_to_3,102.0,0.5196078431372549,0.4803921568627451,0.0,-109.90196078431373,-110.09803921568627,-0.007596978185213419,-0.08327520731612796
TE,favorite_3_to_7,112.0,0.5267857142857143,0.4732142857142857,0.0,-109.9375,-110.0625,0.005479222870527252,-0.09729672501411628
TE,favorite_7_plus,38.0,0.47368421052631576,0.5263157894736842,0.0,-110.1842105263158,-109.8157894736842,-0.09569377990430618,0.0063994677947011944
WR,dog_0_to_3,239.0,0.4351464435146444,0.5648535564853556,0.0,-110.00418410041841,-109.99581589958159,-0.16925013013788706,0.07840538648423571
WR,dog_3_to_7,294.0,0.5068027210884354,0.4931972789115646,0.0,-109.28571428571429,-110.04081632653062,-0.03246753246753242,-0.05873290002779285
WR,dog_7_plus,93.0,0.5806451612903226,0.41935483870967744,0.0,-107.87096774193549,-107.87096774193549,0.10850439882697954,-0.1993974648654712
WR,favorite_0_to_3,253.0,0.4980237154150198,0.5019762845849802,0.0,-110.0,-110.0,-0.04922745238950769,-0.041681638519583133
WR,favorite_3_to_7,287.0,0.5121951219512195,0.4878048780487805,0.0,-110.02439024390245,-109.28571428571429,-0.02248451268843108,-0.06887386208701157
WR,favorite_7_plus,90.0,0.5777777777777777,0.4222222222222222,0.0,-107.66666666666667,-110.13333333333334,0.10404040404040407,-0.19393939393939388
