line_bucket,juice_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
<=2.5,coin_flip,6.0,0.5,0.5,0.0,1.89,1.88,-0.05833333333333338,-0.06166666666666668
<=2.5,favorite_over,17.0,0.5294117647058824,0.47058823529411764,0.0,1.6147058823529414,2.2764705882352945,-0.15294117647058822,0.055294117647058875
<=2.5,moderate_favorite,8.0,0.5,0.5,0.0,1.7712500000000002,2.02125,-0.1225,-0.0037500000000000033
<=2.5,other,2.0,0.0,1.0,0.0,2.0,1.78,-1.0,0.78
<=2.5,plus_money,24.0,0.4166666666666667,0.5833333333333334,0.0,2.234166666666667,1.6366666666666667,-0.09583333333333333,-0.05916666666666667
3.5,coin_flip,7.0,0.42857142857142855,0.5714285714285714,0.0,1.897142857142857,1.874285714285714,-0.19,0.07142857142857142
3.5,favorite_over,24.0,0.5,0.5,0.0,1.60875,2.28375,-0.19833333333333333,0.13625
3.5,moderate_favorite,10.0,0.1,0.9,0.0,1.764,2.029,-0.817,0.836
3.5,other,5.0,0.6,0.4,0.0,1.984,1.7880000000000003,0.188,-0.29
3.5,plus_money,35.0,0.17142857142857143,0.8285714285714286,0.0,2.2959999999999994,1.610285714285714,-0.6022857142857142,0.33685714285714285
4.5,coin_flip,12.0,0.6666666666666666,0.3333333333333333,0.0,1.8891666666666669,1.8800000000000001,0.25666666666666665,-0.3741666666666667
4.5,favorite_over,14.0,0.5,0.5,0.0,1.6642857142857141,2.175714285714286,-0.17428571428571432,0.07428571428571436
4.5,moderate_favorite,11.0,0.36363636363636365,0.6363636363636364,0.0,1.7663636363636364,2.0145454545454546,-0.3590909090909091,0.28
4.5,other,6.0,0.5,0.5,0.0,1.9766666666666666,1.7966666666666669,-0.010000000000000009,-0.09833333333333331
4.5,plus_money,35.0,0.2857142857142857,0.7142857142857143,0.0,2.2142857142857144,1.646,-0.3725714285714286,0.17257142857142857
5.5,coin_flip,9.0,0.3333333333333333,0.6666666666666666,0.0,1.8933333333333333,1.8744444444444446,-0.3622222222222223,0.26
5.5,favorite_over,17.0,0.7647058823529411,0.23529411764705882,0.0,1.641764705882353,2.213529411764706,0.25999999999999995,-0.47235294117647053
5.5,moderate_favorite,24.0,0.5416666666666666,0.4583333333333333,0.0,1.7729166666666665,2.0116666666666667,-0.03791666666666665,-0.07708333333333334
5.5,other,9.0,0.2222222222222222,0.7777777777777778,0.0,1.9844444444444445,1.7933333333333334,-0.5577777777777777,0.3944444444444445
5.5,plus_money,22.0,0.36363636363636365,0.6363636363636364,0.0,2.151818181818182,1.6854545454545458,-0.2527272727272727,0.051818181818181826
6.5,coin_flip,9.0,0.4444444444444444,0.5555555555555556,0.0,1.8800000000000001,1.8888888888888888,-0.1711111111111111,0.04444444444444443
6.5,favorite_over,7.0,0.7142857142857143,0.2857142857142857,0.0,1.6514285714285715,2.185714285714286,0.17428571428571424,-0.38285714285714284
6.5,moderate_favorite,5.0,0.4,0.6,0.0,1.78,1.9920000000000002,-0.3,0.18
6.5,other,1.0,0.0,1.0,0.0,1.98,1.81,-1.0,0.81
6.5,plus_money,33.0,0.3333333333333333,0.6666666666666666,0.0,2.155757575757576,1.6803030303030304,-0.29393939393939394,0.11333333333333331
7+,coin_flip,16.0,0.5,0.5,0.0,1.88375,1.881875,-0.05687500000000001,-0.058125000000000024
7+,favorite_over,14.0,0.6428571428571429,0.35714285714285715,0.0,1.6649999999999998,2.1685714285714286,0.07357142857142852,-0.2185714285714285
7+,moderate_favorite,16.0,0.5,0.5,0.0,1.7875,1.990625,-0.10812499999999997,-0.007500000000000007
7+,other,8.0,0.375,0.625,0.0,1.9775,1.8,-0.26,0.12250000000000003
7+,plus_money,25.0,0.16,0.84,0.0,2.1176,1.6979999999999997,-0.6496000000000001,0.43239999999999995
