player,player_norm,player_id,season,week,team,opponent,game_id,market_key,line,over_price,under_price,projection,projection_minus_line,edge,recommended_side,recommended_prob,recommended_ev_percent,recommendation
Jamaal Williams,jamaal williams,16424,2024,3,FA,,326301fd41fe90d64929b44a2e227b23,player_rush_yds,19.5,-110.0,-110,35.4,15.899999999999999,15.899999999999999,over,0.73465,40.25136363636365,over
Deebo Samuel,deebo samuel,18244,2024,15,FA,,b89ffb3a984d693fd6e69cdc3f2d585a,player_rush_yds,17.5,-110.0,-110,9.79,-7.710000000000001,-7.710000000000001,under,0.73315,39.964999999999996,under
Braelon Allen,braelon allen,24346,2024,15,NYJ,Jacksonville Jaguars,7b58ba499776572737bf4335349ee5ca,player_rush_yds,29.5,-110.0,-110,49.0,19.5,19.5,over,0.7236,38.14181818181819,over
Gus Edwards,gus edwards,17687,2024,10,FA,,6214d50d3a5b442078f670ff8e08945e,player_rush_yds,15.5,-110.0,-110,30.08,14.579999999999998,14.579999999999998,over,0.7181,37.091818181818184,over
Alexander Mattison,alexander mattison,18621,2024,15,FA,,b72078945287a94944a0ffefcd09c42c,player_rush_yds,12.5,-110.0,-110,25.9,13.399999999999999,13.399999999999999,over,0.70775,35.11590909090909,over
Breece Hall,breece hall,22982,2024,13,NYJ,Seattle Seahawks,63057e9eb2da9cc89ac93911769b9a3e,player_rush_yds,52.5,-110.0,-110,73.68,21.180000000000007,21.180000000000007,over,0.6986,33.369090909090914,over
D'Ernest Johnson,dernest johnson,19111,2024,11,FA,,d0f73537e153be7455c87ae97864ef7d,player_rush_yds,14.5,-110.0,-110,27.4,12.899999999999999,12.899999999999999,over,0.6977,33.19727272727273,over
Zamir White,zamir white,20095,2024,7,LV,Los Angeles Rams,2bc06cb4fb03e96b39448675c1943487,player_rush_yds,25.5,-110.0,-110,41.95,16.450000000000003,16.450000000000003,over,0.68855,31.450454545454555,over
Dalvin Cook,dalvin cook,16374,2024,8,FA,,ef27be93158f43d94f94035d2af7096f,player_rush_yds,32.5,-110.0,-110,16.59,-15.91,-15.91,under,0.68365,30.515000000000004,under
Jaylen Warren,jaylen warren,24209,2024,2,PIT,Denver Broncos,3a300e2fb659ca896b5e60252f13150c,player_rush_yds,17.5,-110.0,-110,29.76,12.260000000000002,12.260000000000002,over,0.6833,30.44818181818183,over
Jamaal Williams,jamaal williams,16424,2024,2,FA,,5b05775b536cda3f2efab93935af4f54,player_rush_yds,14.5,-110.0,-110,26.1,11.600000000000001,11.600000000000001,over,0.6813,30.066363636363647,over
James Cook,james cook,22958,2024,15,BUF,Detroit Lions,f3d85c6f4152c6f9c28df5332d7d01ae,player_rush_yds,45.5,-110.0,-110,64.25,18.75,18.75,over,0.6792,29.66545454545455,over
Khalil Herbert,khalil herbert,22763,2024,2,FA,,7533f0f2d5cfe270fa0ccdc32a98c7fd,player_rush_yds,12.5,-110.0,-110,24.46,11.96,11.96,over,0.6783,29.493636363636366,over
Nick Chubb,nick chubb,17246,2024,7,FA,,63e9b5302666e36b47431100bcb22973,player_rush_yds,38.5,-110.0,-110,53.03,14.530000000000001,14.530000000000001,over,0.67445,28.75863636363637,over
Nick Chubb,nick chubb,17246,2024,14,FA,,7ae6be20a581839e77dd6b3f4eab564b,player_rush_yds,39.5,-110.0,-110,54.38,14.880000000000003,14.880000000000003,over,0.67305,28.491363636363655,over
Braelon Allen,braelon allen,24346,2024,1,NYJ,San Francisco 49ers,d94f808523ced7460f7c88c758c481f5,player_rush_yds,11.5,-110.0,-110,22.32,10.82,10.82,over,0.67095,28.090454545454556,over
