position,line_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
QB,<20,213.0,0.5070422535211268,0.49295774647887325,0.0,-98.03755868544602,-108.11267605633803,-0.030547341742686345,-0.06385570162232398
QB,20-40,101.0,0.46534653465346537,0.5346534653465347,0.0,-110.21782178217822,-107.84158415841584,-0.1120025045982859,0.022002895941768134
QB,40-60,30.0,0.5666666666666667,0.43333333333333335,0.0,-110.16666666666667,-109.83333333333333,0.08050065876152837,-0.1727272727272727
RB,<20,104.0,0.5288461538461539,0.47115384615384615,0.0,-109.90384615384616,-110.09615384615384,0.010447885447885493,-0.10048827983610589
RB,20-40,179.0,0.4245810055865922,0.5754189944134078,0.0,-110.02234636871508,-109.97765363128492,-0.18943626206196038,0.09871882097032307
RB,40-60,215.0,0.4697674418604651,0.5302325581395348,0.0,-110.0,-110.0,-0.10317124735729383,0.012262156448203002
RB,60-80,188.0,0.5053191489361702,0.4946808510638298,0.0,-110.02659574468085,-109.97340425531915,-0.03551004961735763,-0.055609284332688545
RB,80+,39.0,0.6153846153846154,0.38461538461538464,0.0,-110.0,-110.0,0.17482517482517487,-0.26573426573426573
TE,<20,4.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,20-40,4.0,0.25,0.75,0.0,-110.0,-110.0,-0.5227272727272727,0.4318181818181819
WR,<20,15.0,0.4,0.6,0.0,-81.6,-112.4,-0.2330785824345146,0.1340838628109423
WR,20-40,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
