position,line_bucket,is_favorite,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
QB,<20,False,low_total_<42,28.0,0.5714285714285714,0.42857142857142855,0.0,-109.82142857142857,-110.17857142857143,0.09245516388373536,-0.1818181818181818
QB,<20,False,mid_total_42_47,57.0,0.43859649122807015,0.5614035087719298,0.0,-98.82456140350877,-110.78947368421052,-0.16224176259858683,0.06637065026981374
QB,<20,False,high_total_47_plus,25.0,0.68,0.32,0.0,-101.12,-111.2,0.30633505624809976,-0.3898246386381979
QB,<20,True,low_total_<42,29.0,0.4482758620689655,0.5517241379310345,0.0,-103.27586206896552,-103.20689655172414,-0.14988013764035588,0.04890290858932904
QB,<20,True,mid_total_42_47,46.0,0.5217391304347826,0.4782608695652174,0.0,-95.93478260869566,-106.97826086956522,-0.0033319911260039276,-0.09530546069430862
QB,<20,True,high_total_47_plus,28.0,0.4642857142857143,0.5357142857142857,0.0,-79.92857142857143,-104.78571428571429,-0.107361740523333,0.014928585313474883
QB,20-40,False,low_total_<42,14.0,0.35714285714285715,0.6428571428571429,0.0,-110.0,-110.0,-0.3181818181818182,0.22727272727272732
QB,20-40,False,mid_total_42_47,21.0,0.47619047619047616,0.5238095238095238,0.0,-110.23809523809524,-109.76190476190476,-0.09279126670431014,4.229421046191072e-17
QB,20-40,False,high_total_47_plus,7.0,0.42857142857142855,0.5714285714285714,0.0,-110.0,-110.0,-0.1818181818181818,0.09090909090909095
QB,20-40,True,low_total_<42,20.0,0.6,0.4,0.0,-110.85,-99.35,0.1454545454545455,-0.22979446640316206
QB,20-40,True,mid_total_42_47,29.0,0.3448275862068966,0.6551724137931034,0.0,-110.0,-110.0,-0.341692789968652,0.25078369905956116
QB,20-40,True,high_total_47_plus,10.0,0.7,0.3,0.0,-110.0,-110.0,0.3363636363636364,-0.42727272727272725
QB,40-60,False,low_total_<42,6.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
QB,40-60,False,mid_total_42_47,10.0,0.4,0.6,0.0,-110.0,-110.0,-0.23636363636363633,0.1454545454545455
QB,40-60,False,high_total_47_plus,5.0,0.6,0.4,0.0,-110.0,-110.0,0.1454545454545455,-0.23636363636363633
QB,40-60,True,mid_total_42_47,4.0,0.75,0.25,0.0,-111.25,-108.75,0.42193675889328064,-0.5227272727272727
QB,40-60,True,high_total_47_plus,5.0,0.8,0.2,0.0,-110.0,-110.0,0.5272727272727273,-0.6181818181818182
RB,<20,False,low_total_<42,14.0,0.6428571428571429,0.35714285714285715,0.0,-110.0,-110.0,0.22727272727272732,-0.3181818181818182
RB,<20,False,mid_total_42_47,26.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
RB,<20,False,high_total_47_plus,7.0,0.7142857142857143,0.2857142857142857,0.0,-110.0,-110.0,0.3636363636363637,-0.45454545454545453
RB,<20,True,low_total_<42,15.0,0.6,0.4,0.0,-109.66666666666667,-110.33333333333333,0.14834054834054838,-0.23636363636363633
RB,<20,True,mid_total_42_47,24.0,0.5,0.5,0.0,-110.0,-110.0,-0.04365079365079361,-0.04365079365079361
RB,<20,True,high_total_47_plus,18.0,0.3888888888888889,0.6111111111111112,0.0,-109.72222222222223,-110.27777777777777,-0.25757575757575757,0.16447079490557756
RB,20-40,False,low_total_<42,30.0,0.4666666666666667,0.5333333333333333,0.0,-110.0,-110.0,-0.10909090909090906,0.018181818181818226
RB,20-40,False,mid_total_42_47,43.0,0.3953488372093023,0.6046511627906976,0.0,-110.09302325581395,-109.90697674418605,-0.24524312896405914,0.15513183613227496
RB,20-40,False,high_total_47_plus,12.0,0.16666666666666666,0.8333333333333334,0.0,-110.0,-110.0,-0.6818181818181817,0.5909090909090909
RB,20-40,True,low_total_<42,28.0,0.42857142857142855,0.5714285714285714,0.0,-110.0,-110.0,-0.1818181818181818,0.09090909090909095
RB,20-40,True,mid_total_42_47,49.0,0.4489795918367347,0.5510204081632653,0.0,-110.0,-110.0,-0.14285714285714282,0.05194805194805199
RB,20-40,True,high_total_47_plus,17.0,0.5294117647058824,0.47058823529411764,0.0,-110.0,-110.0,0.010695187165775444,-0.10160427807486627
RB,40-60,False,low_total_<42,26.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
RB,40-60,False,mid_total_42_47,39.0,0.41025641025641024,0.5897435897435898,0.0,-110.0,-110.0,-0.21678321678321666,0.12587412587412591
RB,40-60,False,high_total_47_plus,28.0,0.5357142857142857,0.4642857142857143,0.0,-110.0,-110.0,0.02272727272727277,-0.1136363636363636
RB,40-60,True,low_total_<42,40.0,0.45,0.55,0.0,-110.0,-110.0,-0.14090909090909087,0.050000000000000044
RB,40-60,True,mid_total_42_47,55.0,0.4727272727272727,0.5272727272727272,0.0,-110.0,-110.0,-0.09752066115702474,0.006611570247933911
RB,40-60,True,high_total_47_plus,27.0,0.48148148148148145,0.5185185185185185,0.0,-110.0,-110.0,-0.08080808080808077,-0.010101010101010059
RB,60-80,False,low_total_<42,28.0,0.4642857142857143,0.5357142857142857,0.0,-110.0,-110.0,-0.1136363636363636,0.02272727272727277
RB,60-80,False,mid_total_42_47,58.0,0.6206896551724138,0.3793103448275862,0.0,-110.0,-110.0,0.18495297805642638,-0.2758620689655172
RB,60-80,False,high_total_47_plus,25.0,0.44,0.56,0.0,-110.0,-110.0,-0.15999999999999998,0.06909090909090913
RB,60-80,True,low_total_<42,18.0,0.4444444444444444,0.5555555555555556,0.0,-110.0,-110.0,-0.1515151515151515,0.06060606060606065
RB,60-80,True,mid_total_42_47,35.0,0.34285714285714286,0.6571428571428571,0.0,-110.14285714285714,-109.85714285714286,-0.346583850931677,0.2545454545454547
RB,60-80,True,high_total_47_plus,24.0,0.625,0.375,0.0,-110.0,-110.0,0.19318181818181823,-0.28409090909090906
RB,80+,False,low_total_<42,7.0,0.7142857142857143,0.2857142857142857,0.0,-110.0,-110.0,0.3636363636363637,-0.45454545454545453
RB,80+,False,mid_total_42_47,10.0,0.6,0.4,0.0,-110.0,-110.0,0.1454545454545455,-0.23636363636363633
RB,80+,False,high_total_47_plus,16.0,0.5625,0.4375,0.0,-110.0,-110.0,0.07386363636363641,-0.16477272727272724
RB,80+,True,mid_total_42_47,5.0,0.6,0.4,0.0,-110.0,-110.0,0.1454545454545455,-0.23636363636363633
