position,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
QB,low_total_<42,97.0,0.5051546391752577,0.4948453608247423,0.0,-108.11340206185567,-105.82474226804123,-0.036865579598015945,-0.05525281609062761
QB,mid_total_42_47,167.0,0.4550898203592814,0.5449101796407185,0.0,-102.37125748502994,-109.37724550898204,-0.13134520298119937,0.03614035634613673
QB,high_total_47_plus,80.0,0.5875,0.4125,0.0,-96.7,-108.55,0.12633491407618283,-0.215458831078357
RB,low_total_<42,206.0,0.49029126213592233,0.5097087378640777,0.0,-109.97572815533981,-110.02427184466019,-0.06377926280838898,-0.026919682259488025
RB,mid_total_42_47,344.0,0.4738372093023256,0.5261627906976745,0.0,-110.02616279069767,-109.97383720930233,-0.0953907484493935,0.004718168331595314
RB,high_total_47_plus,175.0,0.49714285714285716,0.5028571428571429,0.0,-109.97142857142858,-110.02857142857142,-0.050909090909090876,-0.04022586109542627
TE,low_total_<42,3.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,mid_total_42_47,3.0,0.3333333333333333,0.6666666666666666,0.0,-110.0,-110.0,-0.3636363636363636,0.27272727272727276
TE,high_total_47_plus,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
WR,low_total_<42,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
WR,mid_total_42_47,8.0,0.5,0.5,0.0,-111.5,-108.75,-0.05315870570107856,-0.04116638078902227
WR,high_total_47_plus,8.0,0.375,0.625,0.0,-55.25,-115.75,-0.2702272727272727,0.1675736235595391
