position,line_bucket,is_favorite,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,<20,False,6.0,0.5,0.5,0.0,-109.16666666666667,-110.83333333333333,-0.03823953823953822,-0.045454545454545414
RB,<20,False,215.0,0.5395348837209303,0.4604651162790698,0.0,-108.10697674418604,-107.35348837209303,0.030792228012882842,-0.1209253805953091
RB,<20,True,217.0,0.4792626728110599,0.5207373271889401,0.0,-103.31336405529954,-108.51152073732719,-0.08323164620733417,-0.006463499708877044
RB,20-30,False,57.0,0.5263157894736842,0.47368421052631576,0.0,-110.0,-110.0,0.004784688995215353,-0.09569377990430619
RB,20-30,True,44.0,0.4318181818181818,0.5681818181818182,0.0,-110.0,-110.0,-0.17561983471074374,0.08471074380165294
RB,30-40,False,11.0,0.36363636363636365,0.6363636363636364,0.0,-110.0,-110.0,-0.30578512396694213,0.2148760330578513
RB,30-40,True,13.0,0.5384615384615384,0.46153846153846156,0.0,-110.0,-110.0,0.027972027972028017,-0.11888111888111884
RB,40-50,True,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
TE,<20,False,67.0,0.4925373134328358,0.5074626865671642,0.0,-110.0,-110.0,-0.05970149253731339,-0.031207598371777435
TE,<20,True,82.0,0.5,0.5,0.0,-109.8170731707317,-110.1829268292683,-0.04540863872783275,-0.04690060734599437
TE,20-30,False,77.0,0.5064935064935064,0.4935064935064935,0.0,-110.18181818181819,-104.67532467532467,-0.03309471736127045,-0.05667060212514753
TE,20-30,True,78.0,0.5769230769230769,0.4230769230769231,0.0,-110.08974358974359,-109.91025641025641,0.10161443494776834,-0.19131287999212518
TE,30-40,False,51.0,0.5686274509803921,0.43137254901960786,0.0,-110.0,-110.0,0.08556149732620326,-0.17647058823529405
TE,30-40,True,32.0,0.625,0.375,0.0,-110.0,-110.0,0.19318181818181823,-0.28409090909090906
TE,40-50,False,38.0,0.4473684210526316,0.5526315789473685,0.0,-109.86842105263158,-110.13157894736842,-0.14593301435406694,0.05398377366340756
TE,40-50,True,39.0,0.358974358974359,0.6410256410256411,0.0,-109.94871794871794,-110.05128205128206,-0.31468531468531463,0.2233599733599734
TE,50-60,False,18.0,0.5555555555555556,0.4444444444444444,0.0,-110.0,-110.0,0.06060606060606065,-0.1515151515151515
TE,50-60,True,10.0,0.6,0.4,0.0,-110.0,-110.0,0.1454545454545455,-0.23636363636363633
TE,60-75,False,9.0,0.6666666666666666,0.3333333333333333,0.0,-110.0,-110.0,0.27272727272727276,-0.3636363636363636
TE,60-75,True,11.0,0.36363636363636365,0.6363636363636364,0.0,-110.0,-110.0,-0.30578512396694213,0.2148760330578513
WR,<20,False,100.0,0.51,0.49,0.0,-107.9,-110.12,-0.026758893280632367,-0.06583489924188424
WR,<20,True,94.0,0.46808510638297873,0.5319148936170213,0.0,-107.76595744680851,-110.12765957446808,-0.10541586073500962,0.01547388781431339
WR,20-30,False,87.0,0.5977011494252874,0.40229885057471265,0.0,-109.94252873563218,-110.05747126436782,0.14106583072100323,-0.23242923992549175
WR,20-30,True,137.0,0.5036496350364964,0.49635036496350365,0.0,-109.96350364963503,-110.03649635036497,-0.03848706038487056,-0.05271053922275753
WR,30-40,False,103.0,0.4368932038834951,0.5631067961165048,0.0,-107.9126213592233,-110.16504854368932,-0.16551086453999073,0.07415392183814917
WR,30-40,True,119.0,0.5210084033613446,0.4789915966386555,0.0,-110.10084033613445,-108.23529411764706,-0.006099011884932769,-0.08556149732620313
WR,40-50,False,96.0,0.5208333333333334,0.4791666666666667,0.0,-110.0,-110.0,-0.0056818181818181395,-0.0852272727272727
WR,40-50,True,101.0,0.49504950495049505,0.504950495049505,0.0,-110.0,-110.0,-0.054905490549054865,-0.03600360036003596
WR,50-60,False,102.0,0.45098039215686275,0.5490196078431373,0.0,-110.03921568627452,-109.96078431372548,-0.13903743315508016,0.04846466888642254
WR,50-60,True,73.0,0.6027397260273972,0.3972602739726027,0.0,-110.0,-110.0,0.15068493150684936,-0.2415940224159402
WR,60-75,False,96.0,0.4375,0.5625,0.0,-110.17708333333333,-107.76041666666667,-0.16477272727272727,0.07526154401154406
WR,60-75,True,89.0,0.5168539325842697,0.48314606741573035,0.0,-110.0,-110.0,-0.013278855975485147,-0.07763023493360569
WR,75+,False,42.0,0.5,0.5,0.0,-110.04761904761905,-109.95238095238095,-0.045454545454545414,-0.04505371172037836
WR,75+,True,17.0,0.5882352941176471,0.4117647058823529,0.0,-110.0,-110.0,0.12299465240641716,-0.213903743315508
