position,line_bucket,is_favorite,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,<20,False,mid_total_42_47,3.0,0.6666666666666666,0.3333333333333333,0.0,-108.33333333333333,-111.66666666666667,0.28715728715728717,-0.3636363636363636
FB,<20,False,high_total_47_plus,3.0,0.3333333333333333,0.6666666666666666,0.0,-110.0,-110.0,-0.3636363636363636,0.27272727272727276
RB,<20,False,low_total_<42,62.0,0.532258064516129,0.46774193548387094,0.0,-106.80645161290323,-103.70967741935483,0.017409015779378943,-0.10608792796731085
RB,<20,False,mid_total_42_47,100.0,0.5,0.5,0.0,-107.81,-110.23,-0.0436749105966497,-0.045416901938641036
RB,<20,False,high_total_47_plus,53.0,0.6226415094339622,0.37735849056603776,0.0,-110.18867924528301,-106.18867924528301,0.1869520963040242,-0.28075122830479393
RB,<20,True,low_total_<42,76.0,0.5,0.5,0.0,-96.0657894736842,-110.98684210526316,-0.04100522459092054,-0.048195227564608804
RB,<20,True,mid_total_42_47,96.0,0.46875,0.53125,0.0,-107.90625,-110.05208333333333,-0.10500582922131678,0.01407465571867749
RB,<20,True,high_total_47_plus,45.0,0.4666666666666667,0.5333333333333333,0.0,-105.75555555555556,-101.04444444444445,-0.10809579006300316,0.020202020202020242
RB,20-30,False,low_total_<42,12.0,0.3333333333333333,0.6666666666666666,0.0,-110.0,-110.0,-0.3636363636363636,0.27272727272727276
RB,20-30,False,mid_total_42_47,24.0,0.4583333333333333,0.5416666666666666,0.0,-110.0,-110.0,-0.12499999999999996,0.03409090909090914
RB,20-30,False,high_total_47_plus,21.0,0.7142857142857143,0.2857142857142857,0.0,-110.0,-110.0,0.36363636363636365,-0.4545454545454544
RB,20-30,True,low_total_<42,5.0,0.4,0.6,0.0,-110.0,-110.0,-0.23636363636363633,0.1454545454545455
RB,20-30,True,mid_total_42_47,23.0,0.391304347826087,0.6086956521739131,0.0,-110.0,-110.0,-0.25296442687747034,0.16205533596837948
RB,20-30,True,high_total_47_plus,16.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
RB,30-40,False,low_total_<42,3.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
RB,30-40,False,mid_total_42_47,6.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
RB,30-40,False,high_total_47_plus,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
RB,30-40,True,low_total_<42,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
RB,30-40,True,mid_total_42_47,8.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
RB,30-40,True,high_total_47_plus,4.0,0.75,0.25,0.0,-110.0,-110.0,0.4318181818181819,-0.5227272727272727
RB,40-50,True,mid_total_42_47,1.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
RB,40-50,True,high_total_47_plus,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
TE,<20,False,low_total_<42,24.0,0.5833333333333334,0.4166666666666667,0.0,-110.0,-110.0,0.11363636363636369,-0.2045454545454545
