position,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,mid_total_42_47,3.0,0.6666666666666666,0.3333333333333333,0.0,-108.33333333333333,-111.66666666666667,0.28715728715728717,-0.3636363636363636
FB,high_total_47_plus,3.0,0.3333333333333333,0.6666666666666666,0.0,-110.0,-110.0,-0.3636363636363636,0.27272727272727276
RB,low_total_<42,159.0,0.48427672955974843,0.5157232704402516,0.0,-102.09433962264151,-108.01886792452831,-0.07284586563549066,-0.016376888003269828
RB,mid_total_42_47,258.0,0.47674418604651164,0.5232558139534884,0.0,-108.37209302325581,-110.10852713178295,-0.08912211321847258,-0.0010908230068998098
RB,high_total_47_plus,142.0,0.5704225352112676,0.4295774647887324,0.0,-108.72535211267606,-105.7394366197183,0.0886591908220612,-0.17969139955294167
TE,low_total_<42,142.0,0.528169014084507,0.47183098591549294,0.0,-109.97887323943662,-110.02112676056338,0.008441219708825396,-0.09926851736115849
TE,mid_total_42_47,249.0,0.5220883534136547,0.4779116465863454,0.0,-110.0160642570281,-108.39357429718875,-0.003123415527128703,-0.08740174324249753
TE,high_total_47_plus,121.0,0.48760330578512395,0.512396694214876,0.0,-109.98347107438016,-110.01652892561984,-0.06944762029203276,-0.022248951192537208
WR,low_total_<42,338.0,0.5562130177514792,0.4437869822485207,0.0,-109.41420118343196,-109.41420118343196,0.06186121570736961,-0.15276589740650265
WR,mid_total_42_47,594.0,0.4831649831649832,0.5168350168350169,0.0,-109.27609427609427,-110.05723905723906,-0.07743474014883761,-0.013592250368422584
WR,high_total_47_plus,324.0,0.4845679012345679,0.5154320987654321,0.0,-110.05555555555556,-109.33333333333333,-0.07519180879836615,-0.01583542545573754
