season,week,game_date,home_team_abbr,away_team_abbr,home_spread,away_spread,game_total
2024,1,2024-09-08,BUF,ARI,,,
2024,1,2024-09-08,NO,CAR,,,
2024,1,2024-09-08,CLE,DAL,,,
2024,1,2024-09-08,SEA,DEN,,,
2024,1,2024-09-08,IND,HOU,,,
2024,1,2024-09-08,MIA,JAX,,,
2024,1,2024-09-08,DET,LAR,,,
2024,1,2024-09-08,LAC,LV,,,
2024,1,2024-09-08,NYG,MIN,,,
2024,1,2024-09-08,CIN,NE,,,
2024,1,2024-09-08,ATL,PIT,,,
2024,1,2024-09-08,CHI,TEN,,,
2024,1,2024-09-08,TB,WAS,,,
2024,1,2024-09-09,SF,NYJ,,,
2024,2,2024-09-12,MIA,BUF,,,
2024,2,2024-09-15,HOU,CHI,,,
2024,2,2024-09-15,KC,CIN,,,
2024,2,2024-09-15,JAX,CLE,,,
2024,2,2024-09-15,GB,IND,,,
2024,2,2024-09-15,CAR,LAC,,,
2024,2,2024-09-15,ARI,LAR,,,
2024,2,2024-09-15,BAL,LV,,,
2024,2,2024-09-15,DAL,NO,,,
2024,2,2024-09-15,WAS,NYG,,,
2024,2,2024-09-15,TEN,NYJ,,,
2024,2,2024-09-15,DEN,PIT,,,
2024,2,2024-09-15,NE,SEA,,,
2024,2,2024-09-15,MIN,SF,,,
2024,2,2024-09-15,DET,TB,,,
2024,2,2024-09-16,PHI,ATL,,,
2024,3,2024-09-19,NYJ,NE,,,
2024,3,2024-09-22,DAL,BAL,,,
2024,3,2024-09-22,LV,CAR,,,
2024,3,2024-09-22,IND,CHI,,,
2024,3,2024-09-22,TB,DEN,,,
2024,3,2024-09-22,ARI,DET,,,
2024,3,2024-09-22,TEN,GB,,,
2024,3,2024-09-22,MIN,HOU,,,
2024,3,2024-09-22,ATL,KC,,,
2024,3,2024-09-22,PIT,LAC,,,
2024,3,2024-09-22,SEA,MIA,,,
2024,3,2024-09-22,CLE,NYG,,,
2024,3,2024-09-22,NO,PHI,,,
2024,3,2024-09-22,LAR,SF,,,
2024,3,2024-09-23,BUF,JAX,,,
2024,3,2024-09-23,CIN,WAS,,,
2024,4,2024-09-26,NYG,DAL,,,
2024,4,2024-09-29,BAL,BUF,,,
2024,4,2024-09-29,CAR,CIN,,,
2024,4,2024-09-29,LV,CLE,,,
2024,4,2024-09-29,NYJ,DEN,,,
2024,4,2024-09-29,HOU,JAX,,,
2024,4,2024-09-29,LAC,KC,,,
2024,4,2024-09-29,CHI,LAR,,,
2024,4,2024-09-29,GB,MIN,,,
2024,4,2024-09-29,SF,NE,,,
2024,4,2024-09-29,ATL,NO,,,
2024,4,2024-09-29,TB,PHI,,,
2024,4,2024-09-29,IND,PIT,,,
2024,4,2024-09-29,ARI,WAS,,,
2024,4,2024-09-30,DET,SEA,,,
2024,4,2024-09-30,MIA,TEN,,,
2024,5,2024-10-03,ATL,TB,,,
2024,5,2024-10-06,SF,ARI,,,
2024,5,2024-10-06,HOU,BUF,,,
2024,5,2024-10-06,CHI,CAR,,,
2024,5,2024-10-06,WAS,CLE,,,
2024,5,2024-10-06,PIT,DAL,,,
2024,5,2024-10-06,JAX,IND,,,
2024,5,2024-10-06,DEN,LV,,,
2024,5,2024-10-06,NE,MIA,,,
2024,5,2024-10-06,SEA,NYG,,,
2024,5,2024-10-06,MIN,NYJ,,,
2024,5,2024-10-07,KC,NO,,,
2024,6,2024-10-10,SEA,SF,,,
2024,6,2024-10-13,CAR,ATL,,,
2024,6,2024-10-13,NYG,CIN,,,
2024,6,2024-10-13,DAL,DET,,,
2024,6,2024-10-13,NE,HOU,,,
2024,6,2024-10-13,TEN,IND,,,
2024,6,2024-10-13,CHI,JAX,,,
2024,6,2024-10-13,DEN,LAC,,,
2024,6,2024-10-13,LV,PIT,,,
2024,6,2024-10-13,NO,TB,,,
2024,6,2024-10-14,NYJ,BUF,,,
2024,7,2024-10-17,NO,DEN,,,
2024,7,2024-10-20,WAS,CAR,,,
2024,7,2024-10-20,CLE,CIN,,,
2024,7,2024-10-20,MIN,DET,,,
2024,7,2024-10-20,SF,KC,,,
2024,7,2024-10-20,LAR,LV,,,
2024,7,2024-10-20,IND,MIA,,,
2024,7,2024-10-20,JAX,NE,,,
2024,7,2024-10-20,PIT,NYJ,,,
2024,7,2024-10-20,ATL,SEA,,,
2024,7,2024-10-20,BUF,TEN,,,
2024,7,2024-10-21,ARI,LAC,,,
2024,8,2024-10-24,LAR,MIN,,,
2024,8,2024-10-27,MIA,ARI,,,
2024,8,2024-10-27,TB,ATL,,,
2024,8,2024-10-27,SEA,BUF,,,
2024,8,2024-10-27,DEN,CAR,,,
2024,8,2024-10-27,WAS,CHI,,,
2024,8,2024-10-27,SF,DAL,,,
2024,8,2024-10-27,HOU,IND,,,
2024,8,2024-10-27,LV,KC,,,
2024,8,2024-10-27,LAC,NO,,,
2024,8,2024-10-27,NE,NYJ,,,
2024,8,2024-10-27,DET,TEN,,,
2024,8,2024-10-28,PIT,NYG,,,
2024,9,2024-10-31,NYJ,HOU,,,
2024,9,2024-11-03,ARI,CHI,,,
2024,9,2024-11-03,ATL,DAL,,,
2024,9,2024-11-03,MIN,IND,,,
2024,9,2024-11-03,CLE,LAC,,,
2024,9,2024-11-03,SEA,LAR,,,
2024,9,2024-11-03,CIN,LV,,,
2024,9,2024-11-03,BUF,MIA,,,
2024,9,2024-11-03,TEN,NE,,,
2024,9,2024-11-03,CAR,NO,,,
2024,9,2024-11-03,NYG,WAS,,,
2024,9,2024-11-04,KC,TB,,,
2024,10,2024-11-10,NO,ATL,,,
2024,10,2024-11-10,IND,BUF,,,
2024,10,2024-11-10,KC,DEN,,,
2024,10,2024-11-10,HOU,DET,,,
2024,10,2024-11-10,JAX,MIN,,,
2024,10,2024-11-10,CHI,NE,,,
2024,10,2024-11-10,CAR,NYG,,,
2024,10,2024-11-10,ARI,NYJ,,,
2024,10,2024-11-10,WAS,PIT,,,
2024,10,2024-11-10,TB,SF,,,
2024,10,2024-11-10,LAC,TEN,,,
2024,10,2024-11-11,LAR,MIA,,,
2024,11,2024-11-17,DEN,ATL,,,
2024,11,2024-11-17,PIT,BAL,,,
2024,11,2024-11-17,LAC,CIN,,,
2024,11,2024-11-17,NO,CLE,,,
2024,11,2024-11-17,CHI,GB,,,
2024,11,2024-11-17,NYJ,IND,,,
