archetype,stat,count,mean,median,mean_minus_median,std,cv,skew,p25,p75,p90,max
deep_receiver,receiving_yards,3636,35.76155115511551,30.0,5.761551155115512,30.006557123161482,0.8390731429128513,0.9509871763782931,12.0,54.0,77.0,195.0
deep_receiver,targets,3636,3.723322332233223,4.0,-0.2766776677667768,1.8506597408129677,0.49704526647923997,0.15905564424301763,2.0,5.0,6.0,7.0
deep_receiver,receptions,3636,2.0866336633663365,2.0,0.08663366336633649,1.4580526664022264,0.6987583359744953,0.4775859534941517,1.0,3.0,4.0,7.0
deep_receiver,routes,3636,25.3512101210121,25.0,0.3512101210121017,9.302593220494396,0.36694868513531165,0.36178816522481844,18.0,32.0,38.0,59.0
deep_receiver,rushing_yards,347,7.24207492795389,5.0,2.2420749279538903,11.626865653768679,1.6054605578423127,2.787867968700507,1.0,11.0,18.0,79.0
deep_receiver,rush_attempts,347,1.276657060518732,1.0,0.27665706051873196,0.8625826963625962,0.6756573264962097,4.814582792373994,1.0,1.0,2.0,8.0
early_down_rb,receiving_yards,1214,13.102965403624383,10.0,3.102965403624383,13.189159946190234,1.006578246977742,1.7417598004161752,4.0,18.0,29.700000000000045,100.0
early_down_rb,targets,1214,2.0,2.0,0.0,0.8039473923883,0.40197369619415,0.0,1.0,3.0,3.0,3.0
early_down_rb,receptions,1214,1.6647446457990116,2.0,-0.3352553542009884,0.8786892878977642,0.5278222639821305,0.020322407465499483,1.0,2.0,3.0,3.0
early_down_rb,routes,1214,15.956342668863263,15.0,0.9563426688632628,6.467796193618383,0.4053432749498073,0.5703996581385009,11.0,20.0,25.0,40.0
early_down_rb,rushing_yards,1472,76.72554347826087,71.0,5.7255434782608745,34.292252957377094,0.44694701924259855,0.952489250382396,52.0,95.25,123.0,244.0
early_down_rb,rush_attempts,1472,17.16236413043478,16.0,1.1623641304347814,4.476860590069086,0.2608533740482799,1.0786733256549716,14.0,20.0,24.0,37.0
