group,stat,count,mean,median,mean_minus_median,mean_to_median_ratio,std,cv,skew,kurtosis,min,p10,p25,p50,p75,p90,p95,max
QB_pass_attempts_gte_20,passing_yards,2702,235.40414507772022,232.0,3.404145077720216,1.0146730391281045,71.24213077370032,0.30263753745788663,0.32465738873866573,0.15179719216997967,45.0,146.0,185.0,232.0,280.0,328.9000000000001,356.0,525.0
QB_pass_attempts_gte_20,passing_tds,2702,1.4652109548482606,1.0,0.4652109548482606,1.4652109548482606,1.129889076894301,0.7711443005224555,0.6335339854315057,0.09178879919665484,0.0,0.0,1.0,1.0,2.0,3.0,4.0,6.0
QB_pass_attempts_gte_20,passing_ypa,2702,7.152368615840118,7.0,0.15236861584011763,1.0217669451200169,1.8110770113610772,0.25321360078536,0.5456154881130768,0.6744945377642164,2.0,5.0,5.9,7.0,8.275,9.5,10.3,15.3
WR_TE_routes_gte_15,receiving_yards,11673,43.66735200890945,36.0,7.667352008909447,1.2129820002474847,35.14040101365516,0.8047293778309585,1.2361358578985233,1.983541880568847,-9.0,6.0,17.0,36.0,62.0,92.0,112.0,266.0
WR_TE_routes_gte_15,targets,11673,5.376338559067935,5.0,0.3763385590679347,1.075267711813587,3.1231265077670733,0.5809021276198261,0.8889084032654184,0.7918339940444565,1.0,2.0,3.0,5.0,7.0,10.0,11.0,23.0
WR_TE_routes_gte_15,receptions,11673,3.615608669579371,3.0,0.615608669579371,1.2052028898597904,2.4280290837132323,0.6715408954906897,0.9459756947349927,1.0362603189343496,0.0,1.0,2.0,3.0,5.0,7.0,8.0,18.0
WR_TE_routes_gte_15,yprr,11673,1.4878617322025185,1.26,0.22786173220251849,1.1808426446051734,1.1495253374512486,0.7726022603925553,1.3765450977163927,3.2756431255951117,-0.5,0.25,0.65,1.26,2.09,2.96,3.66,10.06
WR_TE_targets_gte_7,receiving_yards,3627,74.45354287289771,69.0,5.453542872897714,1.0790368532304015,36.18756266542575,0.48604218508718683,0.931648790604127,1.3121885482271765,-3.0,34.0,48.0,69.0,95.0,122.0,142.0,266.0
WR_TE_targets_gte_7,targets,3627,9.167907361455748,9.0,0.16790736145574847,1.018656373495083,2.23931823804215,0.24425620261574876,1.3990780558219966,2.4388115887570603,7.0,7.0,7.0,9.0,10.0,12.0,14.0,23.0
RB_rush_attempts_gte_8,rushing_yards,3507,62.79526660963787,56.0,6.795266609637871,1.1213440466006763,34.29188742115583,0.5460903229271851,1.1713359285184706,1.837464300941638,-2.0,26.0,38.0,56.0,81.0,110.0,129.0,255.0
RB_rush_attempts_gte_8,rush_attempts,3507,14.365839749073283,13.0,1.3658397490732828,1.1050645960825602,5.106834330040818,0.35548456750467733,0.938785966000564,0.6217225881669184,8.0,9.0,10.0,13.0,17.0,22.0,24.0,37.0
RB_rush_attempts_gte_8,rushing_ypa,3507,4.328200741374394,4.1,0.22820074137439406,1.055658717408389,1.7483690506668612,0.40394823510696903,1.242740886732134,3.1485974642735566,-0.3,2.4,3.2,4.1,5.1,6.5,7.6,15.3
RB_targets_gte_4,receiving_yards,1594,33.0138017565872,29.0,4.013801756587199,1.1384069571236966,20.964767268977912,0.6350303858838324,1.100000778441146,1.6028243665036044,-11.0,10.0,18.0,29.0,43.0,60.700000000000045,74.0,129.0
RB_targets_gte_4,targets,1594,5.444165621079047,5.0,0.4441656210790468,1.0888331242158094,1.7306967380707938,0.31789935474589137,1.8907395476201088,5.615351005578351,4.0,4.0,4.0,5.0,6.0,8.0,9.0,19.0
QB_rush_attempts_gte_5,rushing_yards,954,36.81761006289308,33.0,3.817610062893081,1.1156851534210024,24.041767262120825,0.6529964118000019,1.1189677046031712,2.520280945634988,-6.0,10.0,20.0,33.0,49.0,68.0,81.0,178.0
QB_rush_attempts_gte_5,rush_attempts,954,7.5,7.0,0.5,1.0714285714285714,2.684239493398894,0.35789859911985256,1.4849377357128635,2.38032603682623,5.0,5.0,5.0,7.0,9.0,11.0,13.0,21.0
