season,week,source,position,player,player_raw,player_clean,team,fp_receptions,fp_receiving_yds,fp_receiving_tds,fp_rush_att,fp_rush_yds,fp_rush_tds,fp_fantasy_points
2021,1,fantasypros_web,RB,Christian McCaffrey,Christian McCaffrey SF,christian mccaffrey,SF,5.4,43.8,0.3,19.2,80.1,0.8,19.0
2021,1,fantasypros_web,RB,Derrick Henry,Derrick Henry BAL,derrick henry,BAL,1.7,13.7,0.1,22.2,106.7,0.8,17.2
2021,1,fantasypros_web,RB,Alvin Kamara,Alvin Kamara NO,alvin kamara,NO,5.3,48.1,0.2,14.0,66.2,0.7,16.4
2021,1,fantasypros_web,RB,Aaron Jones Sr.,Aaron Jones Sr. MIN,aaron jones,MIN,3.4,25.9,0.1,14.9,68.9,0.7,14.0
2021,1,fantasypros_web,RB,Jonathan Taylor,Jonathan Taylor IND,jonathan taylor,IND,2.3,19.6,0.1,16.4,73.4,0.7,13.6
2021,1,fantasypros_web,RB,Najee Harris,Najee Harris LAC,najee harris,LAC,3.1,24.3,0.1,16.7,71.6,0.5,12.7
2021,1,fantasypros_web,RB,Saquon Barkley,Saquon Barkley PHI,saquon barkley,PHI,2.9,23.3,0.1,13.2,60.0,0.6,12.1
2021,1,fantasypros_web,RB,David Montgomery,David Montgomery HOU,david montgomery,HOU,3.2,23.9,0.1,16.2,63.6,0.4,11.5
2021,1,fantasypros_web,RB,Josh Jacobs,Josh Jacobs GB,josh jacobs,GB,2.0,15.8,0.0,15.5,61.4,0.6,11.2
2021,1,fantasypros_web,RB,D'Andre Swift,D'Andre Swift CHI,dandre swift,CHI,3.8,30.4,0.1,10.8,47.7,0.3,9.8
2021,1,fantasypros_web,RB,Chase Edmonds,Chase Edmonds WAS,chase edmonds,WSH,3.1,26.1,0.1,9.8,41.8,0.2,8.5
2021,1,fantasypros_web,RB,Javonte Williams,Javonte Williams DAL,javonte williams,DAL,1.6,13.7,0.0,11.3,44.9,0.3,7.9
2021,1,fantasypros_web,RB,Devin Singletary,Devin Singletary NYG,devin singletary,NYG,2.3,15.8,0.1,12.0,48.4,0.2,7.8
2021,1,fantasypros_web,RB,James Conner,James Conner ARI,james conner,ARI,1.6,13.1,0.0,9.1,39.2,0.2,6.6
2021,1,fantasypros_web,RB,AJ Dillon,AJ Dillon CAR,aj dillon,CAR,0.7,5.5,0.0,8.8,35.4,0.2,5.0
2021,1,fantasypros_web,RB,Ty Johnson,Ty Johnson BUF,ty johnson,BUF,1.6,11.2,0.0,6.8,28.9,0.1,4.9
2021,1,fantasypros_web,RB,Tony Pollard,Tony Pollard TEN,tony pollard,TEN,1.8,12.8,0.1,5.4,22.4,0.1,4.4
2021,1,fantasypros_web,RB,Michael Carter,Michael Carter TEN,michael carter,TEN,1.4,10.2,0.0,6.5,25.1,0.1,4.4
2021,1,fantasypros_web,RB,Rhamondre Stevenson,Rhamondre Stevenson NE,rhamondre stevenson,NE,0.4,3.9,0.0,7.4,27.9,0.2,4.1
2021,1,fantasypros_web,RB,Samaje Perine,Samaje Perine CIN,samaje perine,CIN,0.8,5.4,0.0,4.0,17.5,0.1,3.0
2021,1,fantasypros_web,RB,Kyle Juszczyk,Kyle Juszczyk SF,kyle juszczyk,SF,1.5,16.4,0.1,0.9,3.2,0.0,2.9
2021,1,fantasypros_web,RB,Chuba Hubbard,Chuba Hubbard CAR,chuba hubbard,CAR,0.5,4.5,0.0,3.7,13.2,0.1,2.5
2021,1,fantasypros_web,RB,DeeJay Dallas,DeeJay Dallas JAC,deejay dallas,JAX,1.1,8.4,0.1,2.6,8.5,0.1,2.4
2021,1,fantasypros_web,RB,Jeremy McNichols,Jeremy McNichols WAS,jeremy mcnichols,WSH,0.8,6.4,0.0,3.3,11.6,0.1,2.3
2021,1,fantasypros_web,RB,Kenneth Gainwell,Kenneth Gainwell TB,kenneth gainwell,TB,0.5,4.0,0.0,2.7,11.5,0.1,2.0
2021,1,fantasypros_web,RB,Jaret Patterson,Jaret Patterson LAC,jaret patterson,LAC,0.3,2.2,0.0,2.5,10.5,0.1,1.8
2021,1,fantasypros_web,RB,Travis Homer,Travis Homer PIT,travis homer,PIT,0.5,4.5,0.0,1.7,6.4,0.0,1.5
2021,1,fantasypros_web,RB,Gary Brightwell,Gary Brightwell CIN,gary brightwell,CIN,0.3,2.9,0.0,1.7,7.5,0.1,1.4
2021,1,fantasypros_web,RB,Patrick Ricard,Patrick Ricard NYG,patrick ricard,NYG,0.8,5.6,0.1,0.1,0.1,0.0,0.9
2021,1,fantasypros_web,RB,Alec Ingold,Alec Ingold LAC,alec ingold,LAC,0.5,4.6,0.0,0.3,0.7,0.0,0.8
2021,1,fantasypros_web,RB,Ameer Abdullah,Ameer Abdullah JAC,ameer abdullah,JAX,0.2,1.4,0.0,0.1,2.8,0.0,0.5
2021,1,fantasypros_web,RB,Michael Burton,Michael Burton CLE,michael burton,CLE,0.2,1.9,0.0,0.2,0.8,0.0,0.4
2021,1,fantasypros_web,RB,Kene Nwangwu,Kene Nwangwu NYJ,kene nwangwu,NYJ,0.2,2.5,0.0,0.2,1.0,0.0,0.4
2021,1,fantasypros_web,RB,Nick Bellore,Nick Bellore WAS,nick bellore,WSH,0.1,1.2,0.0,0.1,0.2,0.0,0.2
2021,1,fantasypros_web,RB,Reggie Gilliam,Reggie Gilliam NE,reggie gilliam,NE,0.1,1.0,0.0,0.0,0.0,0.0,0.1
2021,1,fantasypros_web,RB,Patrick Taylor Jr.,Patrick Taylor Jr. SF,patrick taylor,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,fantasypros_web,TE,Travis Kelce,Travis Kelce KC,travis kelce,KC,7.1,90.1,0.8,,,,13.6
2021,1,fantasypros_web,TE,George Kittle,George Kittle SF,george kittle,SF,5.7,73.4,0.6,,,,11.0
2021,1,fantasypros_web,TE,Mark Andrews,Mark Andrews BAL,mark andrews,BAL,4.9,57.3,0.7,,,,9.7
2021,1,fantasypros_web,TE,T.J. Hockenson,T.J. Hockenson MIN,tj hockenson,MIN,4.7,51.5,0.4,,,,7.3
2021,1,fantasypros_web,TE,Kyle Pitts Sr.,Kyle Pitts Sr. ATL,kyle pitts,ATL,3.8,46.0,0.4,,,,6.9
2021,1,fantasypros_web,TE,Mike Gesicki,Mike Gesicki CIN,mike gesicki,CIN,3.8,45.5,0.4,,,,6.7
2021,1,fantasypros_web,TE,Dallas Goedert,Dallas Goedert PHI,dallas goedert,PHI,3.8,43.7,0.4,,,,6.4
2021,1,fantasypros_web,TE,Noah Fant,Noah Fant NO,noah fant,NO,4.1,46.0,0.2,,,,5.6
2021,1,fantasypros_web,TE,Tyler Higbee,Tyler Higbee LAR,tyler higbee,LAR,3.6,38.7,0.2,,,,5.1
2021,1,fantasypros_web,TE,Austin Hooper,Austin Hooper ATL,austin hooper,ATL,3.5,36.4,0.2,,,,4.9
2021,1,fantasypros_web,TE,Hunter Henry,Hunter Henry NE,hunter henry,NE,3.0,33.8,0.2,,,,4.3
2021,1,fantasypros_web,TE,Tyler Conklin,Tyler Conklin DET,tyler conklin,DET,2.7,29.1,0.1,,,,3.7
2021,1,fantasypros_web,TE,Cole Kmet,Cole Kmet CHI,cole kmet,CHI,3.1,28.4,0.1,,,,3.5
2021,1,fantasypros_web,TE,Dawson Knox,Dawson Knox BUF,dawson knox,BUF,2.2,25.4,0.2,,,,3.4
2021,1,fantasypros_web,TE,Juwan Johnson,Juwan Johnson NO,juwan johnson,NO,2.3,26.5,0.1,,,,2.9
2021,1,fantasypros_web,TE,Mo Alie-Cox,Mo Alie-Cox IND,mo aliecox,IND,1.8,21.3,0.1,,,,2.6
2021,1,fantasypros_web,TE,David Njoku,David Njoku LAC,david njoku,LAC,1.5,17.8,0.1,,,,2.5
2021,1,fantasypros_web,TE,Dalton Schultz,Dalton Schultz HOU,dalton schultz,HOU,1.8,19.2,0.1,,,,2.4
2021,1,fantasypros_web,TE,Adam Trautman,Adam Trautman DEN,adam trautman,DEN,1.4,16.3,0.1,,,,2.2
2021,1,fantasypros_web,TE,Albert Okwuegbunam Jr.,Albert Okwuegbunam Jr. LV,albert okwuegbunam,LV,1.3,16.0,0.1,,,,2.1
2021,1,fantasypros_web,TE,Noah Gray,Noah Gray KC,noah gray,KC,1.3,14.3,0.1,,,,2.0
2021,1,fantasypros_web,TE,Luke Farrell,Luke Farrell SF,luke farrell,SF,1.3,14.1,0.1,,,,2.0
2021,1,fantasypros_web,TE,Harrison Bryant,Harrison Bryant SEA,harrison bryant,SEA,1.5,15.7,0.1,,,,2.0
2021,1,fantasypros_web,TE,Drew Sample,Drew Sample CIN,drew sample,CIN,1.7,15.8,0.1,,,,1.9
2021,1,fantasypros_web,TE,Tommy Tremble,Tommy Tremble CAR,tommy tremble,CAR,1.2,11.3,0.1,,,,1.7
2021,1,fantasypros_web,TE,Hunter Long,Hunter Long JAC,hunter long,JAX,1.6,16.3,0.1,,,,1.7
2021,1,fantasypros_web,TE,Kylen Granson,Kylen Granson TEN,kylen granson,TEN,1.2,11.9,0.1,,,,1.7
2021,1,fantasypros_web,TE,Chris Manhertz,Chris Manhertz NYG,chris manhertz,NYG,1.3,12.9,0.1,,,,1.6
