season,week,source,scoring,position,player,player_clean,team,fpid,mflid,filename,fp_points_std,fp_points_half,fp_points_ppr,fp_receptions,fp_receiving_yds,fp_receiving_tds,fp_rush_att,fp_rush_yds,fp_rush_tds,fp_pass_att,fp_pass_cmp,fp_pass_yds,fp_pass_tds,fp_pass_int,fp_fumbles,fp_ret_tds,fp_2pt_tds
2024,1,fantasypros_api,STD,RB,Breece Hall,breece hall,NYJ,22982,15708.0,breece-hall.php,13.88,15.94,18.0,4.12,31.88,0.21,15.87,69.33,0.45,,,,,,0.09,0.0,0.0
2024,1,fantasypros_api,STD,RB,Bijan Robinson,bijan robinson,ATL,23133,16161.0,bijan-robinson.php,13.84,15.84,17.84,4.0,33.34,0.23,15.33,68.77,0.42,,,,,,0.14,0.0,0.0
2024,1,fantasypros_api,STD,RB,Saquon Barkley,saquon barkley,PHI,17240,13604.0,saquon-barkley.php,13.68,15.1,16.53,2.86,21.69,0.19,16.74,71.76,0.57,,,,,,0.1,0.0,0.0
2024,1,fantasypros_api,STD,RB,Alvin Kamara,alvin kamara,NO,16421,13132.0,alvin-kamara.php,12.13,14.32,16.51,4.38,30.9,0.17,14.61,58.65,0.38,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jahmyr Gibbs,jahmyr gibbs,DET,22968,16162.0,jahmyr-gibbs.php,12.67,14.5,16.32,3.65,26.25,0.17,12.25,58.28,0.56,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jonathan Taylor,jonathan taylor,IND,19217,14802.0,jonathan-taylor.php,13.52,14.68,15.84,2.32,17.68,0.09,17.78,78.21,0.6,,,,,,0.1,0.0,0.0
2024,1,fantasypros_api,STD,RB,Rachaad White,rachaad white,WAS,23891,15721.0,rachaad-white.php,12.44,14.11,15.78,3.33,26.52,0.16,16.57,63.27,0.45,,,,,,0.1,0.0,0.0
2024,1,fantasypros_api,STD,RB,Josh Jacobs,josh jacobs,GB,18269,14073.0,josh-jacobs.php,12.56,13.87,15.18,2.62,20.05,0.08,16.77,71.92,0.5,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,De'Von Achane,devon achane,MIA,23136,16167.0,devon-achane.php,11.94,13.46,14.99,3.05,23.49,0.19,11.24,57.79,0.47,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,James Cook III,james cook,BUF,22958,15715.0,james-cook.php,11.99,13.49,14.99,3.0,24.06,0.18,14.7,68.45,0.31,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,Kyren Williams,kyren williams,LAR,23059,15710.0,kyren-williams.php,12.6,13.78,14.96,2.36,17.56,0.12,15.18,68.18,0.58,,,,,,0.1,0.0,0.0
2024,1,fantasypros_api,STD,RB,Joe Mixon,joe mixon,FA,16420,13131.0,joe-mixon.php,12.11,13.4,14.68,2.58,20.16,0.12,16.26,64.99,0.5,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,Travis Etienne Jr.,travis etienne,NO,19231,15253.0,travis-etienne.php,11.59,13.06,14.53,2.94,22.99,0.09,15.74,61.9,0.46,,,,,,0.09,0.0,0.0
2024,1,fantasypros_api,STD,RB,Kenneth Walker III,kenneth walker,KC,23021,15711.0,kenneth-walker-rb.php,12.63,13.56,14.49,1.86,14.08,0.09,16.79,71.86,0.61,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,Isiah Pacheco,isiah pacheco,DET,24333,15749.0,isiah-pacheco.php,11.65,12.92,14.19,2.55,17.08,0.11,15.06,66.17,0.47,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,Derrick Henry,derrick henry,BAL,15514,12626.0,derrick-henry.php,12.34,13.15,13.96,1.63,11.94,0.04,16.94,75.09,0.59,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,Aaron Jones Sr.,aaron jones,MIN,16673,13319.0,aaron-jones.php,10.48,11.79,13.1,2.61,19.56,0.11,12.75,59.67,0.34,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jerome Ford,jerome ford,WAS,22921,15713.0,jerome-ford.php,10.27,11.54,12.82,2.54,19.04,0.13,13.96,55.23,0.37,,,,,,0.08,0.0,0.0
