season,week,home_team_abbr,away_team_abbr,home_spread,away_spread,game_total,spread_line,total_line,game_id,gameday,roof,surface,temp,wind
2024,11,PIT,BAL,3.0,-3.0,48.0,-3.0,48.0,2024_11_BAL_PIT,2024-11-17,outdoors,grass,52.0,5.0
2024,11,CHI,GB,6.0,-6.0,41.0,-6.0,41.0,2024_11_GB_CHI,2024-11-17,outdoors,grass,54.0,5.0
2024,11,NYJ,IND,-4.0,4.0,43.0,4.0,43.0,2024_11_IND_NYJ,2024-11-17,outdoors,fieldturf,62.0,4.0
2024,11,LAC,CIN,-1.0,1.0,48.0,1.0,48.0,2024_11_CIN_LAC,2024-11-17,dome,matrixturf,,
2024,12,WAS,DAL,-10.5,10.5,45.0,10.5,45.0,2024_12_DAL_WAS,2024-11-24,outdoors,grass,55.0,5.0
2024,12,LAR,PHI,3.0,-3.0,49.0,-3.0,49.0,2024_12_PHI_LA,2024-11-24,dome,matrixturf,,
2024,12,GB,SF,-6.5,6.5,44.5,6.5,44.5,2024_12_SF_GB,2024-11-24,outdoors,grass,43.0,11.0
2024,12,LAC,BAL,3.0,-3.0,51.0,-3.0,51.0,2024_12_BAL_LAC,2024-11-25,dome,matrixturf,,
2024,13,GB,MIA,-3.5,3.5,47.5,3.5,47.5,2024_13_MIA_GB,2024-11-28,outdoors,grass,27.0,10.0
2024,13,CIN,PIT,-3.0,3.0,46.0,3.0,46.0,2024_13_PIT_CIN,2024-12-01,outdoors,fieldturf,32.0,9.0
2024,13,BAL,PHI,-3.0,3.0,50.0,3.0,50.0,2024_13_PHI_BAL,2024-12-01,outdoors,grass,41.0,7.0
2024,13,DEN,CLE,-6.5,6.5,41.5,6.5,41.5,2024_13_CLE_DEN,2024-12-02,outdoors,grass,48.0,4.0
2024,14,DET,GB,-3.0,3.0,53.0,3.0,53.0,2024_14_GB_DET,2024-12-05,dome,fieldturf,,
2024,14,PHI,CAR,-14.0,14.0,44.5,14.0,44.5,2024_14_CAR_PHI,2024-12-08,outdoors,grass,55.0,16.0
2024,1,BUF,ARI,-6.5,6.5,46.0,6.5,46.0,2024_01_ARI_BUF,2024-09-08,outdoors,a_turf,61.0,20.0
2024,1,ATL,PIT,-4.0,4.0,43.0,4.0,43.0,2024_01_PIT_ATL,2024-09-08,closed,fieldturf,,
2024,1,NO,CAR,-3.5,3.5,41.5,3.5,41.5,2024_01_CAR_NO,2024-09-08,dome,sportturf,,
2024,1,CHI,TEN,-4.0,4.0,43.0,4.0,43.0,2024_01_TEN_CHI,2024-09-08,outdoors,grass,67.0,8.0
