season,week,home_team_abbr,away_team_abbr,home_spread,away_spread,game_total,spread_line,total_line,game_id,gameday,roof,surface,temp,wind
2023,1,KC,DET,-4.0,4.0,53.0,4.0,53.0,2023_01_DET_KC,2023-09-07,outdoors,,,
2023,1,WAS,ARI,-7.0,7.0,38.0,7.0,38.0,2023_01_ARI_WAS,2023-09-10,outdoors,,,
2023,1,ATL,CAR,-3.5,3.5,40.5,3.5,40.5,2023_01_CAR_ATL,2023-09-10,closed,,,
2023,1,BAL,HOU,-9.5,9.5,43.5,9.5,43.5,2023_01_HOU_BAL,2023-09-10,outdoors,,,
2023,1,CLE,CIN,1.0,-1.0,46.5,-1.0,46.5,2023_01_CIN_CLE,2023-09-10,outdoors,,,
2023,1,IND,JAX,4.0,-4.0,45.5,-4.0,45.5,2023_01_JAX_IND,2023-09-10,closed,,,
2023,1,MIN,TB,-4.0,4.0,45.0,4.0,45.0,2023_01_TB_MIN,2023-09-10,dome,,,
2023,1,NO,TEN,-3.0,3.0,41.0,3.0,41.0,2023_01_TEN_NO,2023-09-10,dome,,,
2023,1,PIT,SF,1.5,-1.5,41.5,-1.5,41.5,2023_01_SF_PIT,2023-09-10,outdoors,,,
2023,1,CHI,GB,-1.0,1.0,41.0,1.0,41.0,2023_01_GB_CHI,2023-09-10,outdoors,,,
2023,1,DEN,LV,-3.0,3.0,43.0,3.0,43.0,2023_01_LV_DEN,2023-09-10,outdoors,,,
2023,1,LAC,MIA,-3.0,3.0,50.5,3.0,50.5,2023_01_MIA_LAC,2023-09-10,dome,,,
2023,1,SEA,LAR,-4.5,4.5,45.0,4.5,45.0,2023_01_LA_SEA,2023-09-10,outdoors,,,
2023,1,NE,PHI,3.5,-3.5,44.5,-3.5,44.5,2023_01_PHI_NE,2023-09-10,outdoors,,,
2023,1,NYG,DAL,3.5,-3.5,44.5,-3.5,44.5,2023_01_DAL_NYG,2023-09-10,outdoors,,,
2023,1,NYJ,BUF,2.5,-2.5,44.5,-2.5,44.5,2023_01_BUF_NYJ,2023-09-11,outdoors,,,
2023,2,PHI,MIN,-6.0,6.0,49.0,6.0,49.0,2023_02_MIN_PHI,2023-09-14,outdoors,,,
2023,2,ATL,GB,-3.0,3.0,40.5,3.0,40.5,2023_02_GB_ATL,2023-09-17,open,,,
2023,2,CIN,BAL,-3.5,3.5,45.5,3.5,45.5,2023_02_BAL_CIN,2023-09-17,outdoors,,,
2023,2,BUF,LV,-7.5,7.5,47.0,7.5,47.0,2023_02_LV_BUF,2023-09-17,outdoors,,,
2023,2,TB,CHI,-2.5,2.5,41.0,2.5,41.0,2023_02_CHI_TB,2023-09-17,outdoors,,,
2023,2,DET,SEA,-4.5,4.5,47.5,4.5,47.5,2023_02_SEA_DET,2023-09-17,dome,,,
2023,2,HOU,IND,1.0,-1.0,40.0,-1.0,40.0,2023_02_IND_HOU,2023-09-17,open,,,
2023,2,TEN,LAC,2.5,-2.5,45.5,-2.5,45.5,2023_02_LAC_TEN,2023-09-17,outdoors,,,
2023,2,JAX,KC,3.5,-3.5,50.5,-3.5,50.5,2023_02_KC_JAX,2023-09-17,outdoors,,,
2023,2,ARI,NYG,5.0,-5.0,40.0,-5.0,40.0,2023_02_NYG_ARI,2023-09-17,closed,,,
2023,2,LAR,SF,7.5,-7.5,45.0,-7.5,45.0,2023_02_SF_LA,2023-09-17,dome,,,
2023,2,DAL,NYJ,-8.5,8.5,38.5,8.5,38.5,2023_02_NYJ_DAL,2023-09-17,open,,,
2023,2,DEN,WAS,-4.0,4.0,38.5,4.0,38.5,2023_02_WAS_DEN,2023-09-17,outdoors,,,
2023,2,NE,MIA,2.0,-2.0,46.5,-2.0,46.5,2023_02_MIA_NE,2023-09-17,outdoors,,,
2023,2,CAR,NO,3.0,-3.0,39.5,-3.0,39.5,2023_02_NO_CAR,2023-09-18,outdoors,,,
2023,2,PIT,CLE,2.5,-2.5,39.0,-2.5,39.0,2023_02_CLE_PIT,2023-09-18,outdoors,,,
2023,3,SF,NYG,-10.5,10.5,43.5,10.5,43.5,2023_03_NYG_SF,2023-09-21,outdoors,grass,77.0,13.0
2023,3,DET,ATL,-3.0,3.0,47.5,3.0,47.5,2023_03_ATL_DET,2023-09-24,dome,fieldturf,,
2023,3,BAL,IND,-7.5,7.5,43.5,7.5,43.5,2023_03_IND_BAL,2023-09-24,outdoors,grass,68.0,3.0
2023,3,WAS,BUF,5.5,-5.5,44.0,-5.5,44.0,2023_03_BUF_WAS,2023-09-24,outdoors,grass,65.0,1.0
2023,3,CLE,TEN,-3.5,3.5,38.0,3.5,38.0,2023_03_TEN_CLE,2023-09-24,outdoors,grass,68.0,5.0
2023,3,MIA,DEN,-6.0,6.0,47.5,6.0,47.5,2023_03_DEN_MIA,2023-09-24,outdoors,grass,86.0,5.0
2023,3,GB,NO,1.5,-1.5,41.5,-1.5,41.5,2023_03_NO_GB,2023-09-24,outdoors,grass,68.0,10.0
2023,3,JAX,HOU,-7.5,7.5,43.5,7.5,43.5,2023_03_HOU_JAX,2023-09-24,outdoors,grass,84.0,6.0
2023,3,MIN,LAC,-1.0,1.0,54.0,1.0,54.0,2023_03_LAC_MIN,2023-09-24,dome,sportturf,,
2023,3,NYJ,NE,2.5,-2.5,35.5,-2.5,35.5,2023_03_NE_NYJ,2023-09-24,outdoors,fieldturf,64.0,14.0
2023,3,SEA,CAR,-5.0,5.0,42.5,5.0,42.5,2023_03_CAR_SEA,2023-09-24,outdoors,fieldturf,61.0,2.0
2023,3,ARI,DAL,11.5,-11.5,43.5,-11.5,43.5,2023_03_DAL_ARI,2023-09-24,open,grass,,
2023,3,KC,CHI,-13.0,13.0,48.0,13.0,48.0,2023_03_CHI_KC,2023-09-24,outdoors,grass,,
2023,3,LV,PIT,-3.0,3.0,43.5,3.0,43.5,2023_03_PIT_LV,2023-09-24,dome,grass,,
