sportsbook,source,event_id,commence_time,home_team,away_team,player,player_normalized,market,line,side,price,captured_at,captured_at_source,season,week,is_alternate,market_source_key,outcome_description,raw_file,source_event_index,source_market_index,source_outcome_index,bookmaker_key,bookmaker_title,last_update,market_last_update,point_raw,price_raw
draftkings,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,247.5,over,-108,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_pass_yds,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,0,0,draftkings,DraftKings,2026-09-01T16:59:35Z,2026-09-01T16:59:35Z,247.5,-108
draftkings,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,247.5,under,-112,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_pass_yds,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,0,1,draftkings,DraftKings,2026-09-01T16:59:35Z,2026-09-01T16:59:35Z,247.5,-112
draftkings,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,224.5,over,-150,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_pass_yds_alternate,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,1,0,draftkings,DraftKings,2026-09-01T16:59:35Z,2026-09-01T16:59:36Z,224.5,-150
draftkings,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,224.5,under,120,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_pass_yds_alternate,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,1,1,draftkings,DraftKings,2026-09-01T16:59:35Z,2026-09-01T16:59:36Z,224.5,120
fanduel,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,247.5,over,-110,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_pass_yds,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,0,0,fanduel,FanDuel,2026-09-01T16:59:30Z,2026-09-01T16:59:31Z,247.5,-110
fanduel,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,247.5,under,-110,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_pass_yds,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,0,1,fanduel,FanDuel,2026-09-01T16:59:30Z,2026-09-01T16:59:31Z,247.5,-110
fanduel,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,224.5,over,-155,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_pass_yds_alternate,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,1,0,fanduel,FanDuel,2026-09-01T16:59:30Z,2026-09-01T16:59:32Z,224.5,-155
fanduel,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,224.5,under,125,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_pass_yds_alternate,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,1,1,fanduel,FanDuel,2026-09-01T16:59:30Z,2026-09-01T16:59:32Z,224.5,125
fanduel,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,274.5,over,135,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_pass_yds_alternate,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,1,2,fanduel,FanDuel,2026-09-01T16:59:30Z,2026-09-01T16:59:32Z,274.5,135
fanduel,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jared Goff,jared goff,player_pass_yds,274.5,under,-170,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_pass_yds_alternate,Jared Goff,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,1,3,fanduel,FanDuel,2026-09-01T16:59:30Z,2026-09-01T16:59:32Z,274.5,-170
