"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Jalen Hurts","PHI","26.0","18.1","219.1","1.8","0.5","9.4","43.7","0.9","0.3","24.3"
"Lamar Jackson","BAL","28.5","19.7","243.8","1.9","0.4","8.0","51.6","0.2","0.3","22.8"
"Jayden Daniels","WAS","30.8","21.2","230.7","1.8","0.6","8.7","50.9","0.4","0.1","22.8"
"Joe Burrow","CIN","36.4","24.7","280.7","2.2","0.6","2.7","11.5","0.1","0.2","21.0"
"Josh Allen","BUF","31.5","19.9","227.9","1.6","0.6","6.8","29.7","0.6","0.2","21.0"
"Baker Mayfield","TB","32.6","23.4","256.3","2.2","0.8","3.7","19.8","0.2","0.2","20.6"
"Bo Nix","DEN","32.8","22.0","225.7","1.9","0.6","5.2","26.9","0.3","0.1","20.2"
"Kyler Murray","MIN","32.2","21.7","236.3","1.4","0.7","5.1","36.8","0.3","0.2","19.6"
"Patrick Mahomes II","KC","35.5","24.3","257.0","1.7","0.7","4.3","22.3","0.2","0.2","19.1"
"Drake Maye","NE","31.0","21.1","215.6","1.7","0.8","5.0","38.3","0.2","0.3","19.1"
"Trevor Lawrence","JAC","33.0","22.0","250.5","1.7","0.8","3.5","18.0","0.3","0.2","19.0"
"Brock Purdy","SF","31.2","21.0","256.3","1.4","0.7","3.6","16.0","0.2","0.2","17.4"
"Daniel Jones","IND","27.8","17.0","196.4","1.4","0.7","7.0","31.8","0.3","0.2","17.1"
"Tua Tagovailoa","ATL","35.1","25.3","265.9","1.7","0.7","2.0","5.7","0.0","0.2","16.9"
"J.J. McCarthy","MIN","32.6","21.6","245.7","1.6","1.0","3.3","15.2","0.1","0.2","16.9"
"Dak Prescott","DAL","37.3","24.0","247.8","1.5","0.9","2.7","11.3","0.1","0.2","16.5"
"Bryce Young","CAR","33.2","21.6","225.6","1.4","0.7","2.8","17.0","0.2","0.2","16.5"
"Jordan Love","GB","31.1","19.6","238.3","1.6","0.8","2.5","9.2","0.1","0.1","16.4"
