player_norm,team,player,source_count,sources,pass_att_mean,pass_att_median,pass_att_std_sources,pass_att_min,pass_att_max,pass_yds_mean,pass_yds_median,pass_yds_std_sources,pass_yds_min,pass_yds_max,pass_td_mean,pass_td_median,pass_td_std_sources,pass_td_min,pass_td_max,int_mean,int_median,int_std_sources,int_min,int_max,rush_att_mean,rush_att_median,rush_att_std_sources,rush_att_min,rush_att_max,rush_yds_mean,rush_yds_median,rush_yds_std_sources,rush_yds_min,rush_yds_max,rush_td_mean,rush_td_median,rush_td_std_sources,rush_td_min,rush_td_max,fpts_mean,fpts_median,fpts_std_sources,fpts_min,fpts_max,pass_yds_range_sources,pass_yds_cv_sources,low_source_count
joe burrow,CIN,Joe Burrow,3,"ESPN_CBS,FantasyPros,NFL_FFToday",36.166666666666664,36.1,0.20816659994661224,36.0,36.4,279.0,278.3,1.479864858694865,278.0,280.7,2.2,2.2,0.0,2.2,2.2,0.7000000000000001,0.7,0.10000000000000003,0.6,0.8,3.233333333333333,3.0,0.6806859285554046,2.7,4.0,11.566666666666668,11.5,0.11547005383792475,11.5,11.7,0.10000000000000002,0.1,1.6996749443881478e-17,0.1,0.1,20.633333333333333,20.5,0.32145502536643233,20.4,21.0,2.6999999999999886,0.005304175120770126,False
tua tagovailoa,ATL,Tua Tagovailoa,3,"ESPN_CBS,FantasyPros,NFL_FFToday",34.53333333333333,34.5,0.5507570547286109,34.0,35.1,258.53333333333336,255.8,6.450064599159694,253.9,265.9,1.5999999999999999,1.6,0.09999999999999998,1.5,1.7,0.7999999999999999,0.8,0.10000000000000003,0.7,0.9,1.9333333333333333,2.0,0.11547005383792512,1.8,2.0,6.033333333333334,5.8,0.4932882862316245,5.7,6.6,0.0,0.0,0.0,0.0,0.0,16.2,16.1,0.6557438524301994,15.6,16.9,11.999999999999972,0.024948676892056574,False
baker mayfield,TB,Baker Mayfield,3,"ESPN_CBS,FantasyPros,NFL_FFToday",33.666666666666664,33.4,1.2220201853215569,32.6,35.0,256.93333333333334,256.3,3.098924544633734,254.2,260.3,2.033333333333333,2.0,0.1527525231651948,1.9,2.2,0.8666666666666667,0.9,0.05773502691896256,0.8,0.9,4.266666666666667,4.1,0.6658328118479393,3.7,5.0,18.3,18.2,1.452583904633396,16.9,19.8,0.13333333333333333,0.1,0.05773502691896258,0.1,0.2,19.7,19.5,0.8185352771872457,19.0,20.6,6.100000000000023,0.012061200874288015,False
patrick mahomes,KC,Patrick Mahomes II,3,"ESPN_CBS,FantasyPros,NFL_FFToday",36.06666666666667,35.7,0.814452781524707,35.5,37.0,256.1666666666667,257.0,1.8929694486000912,254.0,257.5,1.7,1.7,0.0,1.7,1.7,0.5666666666666667,0.6,0.15275252316519464,0.4,0.7,4.266666666666667,4.3,0.2516611478423583,4.0,4.5,21.833333333333332,22.3,1.0785793124908956,20.6,22.6,0.13333333333333333,0.1,0.05773502691896258,0.1,0.2,19.266666666666666,19.3,0.15275252316519336,19.1,19.4,3.5,0.007389600970462294,False
brock purdy,SF,Brock Purdy,3,"ESPN_CBS,FantasyPros,NFL_FFToday",31.53333333333333,31.4,0.41633319989322704,31.2,32.0,255.4,256.3,2.0074859899884827,253.1,256.8,1.3999999999999997,1.4,2.7194799110210365e-16,1.4,1.4,0.7999999999999999,0.8,0.10000000000000003,0.7,0.9,3.3333333333333335,3.4,0.3055050463303894,3.0,3.6,14.733333333333334,14.7,1.2503332889007368,13.5,16.0,0.20000000000000004,0.2,3.3993498887762956e-17,0.2,0.2,17.266666666666666,17.2,0.11547005383792475,17.2,17.4,3.700000000000017,0.00786016440872546,False
jared goff,DET,Jared Goff,3,"ESPN_CBS,FantasyPros,NFL_FFToday",32.96666666666667,32.9,1.0016652800877812,32.0,34.0,254.86666666666667,253.4,7.804058773057349,247.9,263.3,1.5999999999999999,1.6,0.09999999999999998,1.5,1.7,0.7999999999999999,0.8,0.10000000000000003,0.7,0.9,1.9000000000000001,2.0,0.17320508075688776,1.7,2.0,4.0,4.0,0.7000000000000002,3.3,4.7,0.03333333333333333,0.0,0.05773502691896258,0.0,0.1,16.099999999999998,16.0,0.8544003745317528,15.3,17.0,15.400000000000006,0.030620162593737964,False
dak prescott,DAL,Dak Prescott,3,"ESPN_CBS,FantasyPros,NFL_FFToday",37.0,37.0,0.29999999999999716,36.7,37.3,252.9,251.0,6.269768735766877,247.8,259.9,1.6333333333333335,1.6,0.1527525231651947,1.5,1.8,0.9,0.9,0.0,0.9,0.9,2.4,2.5,0.360555127546399,2.0,2.7,9.966666666666667,10.2,1.46401275039985,8.4,11.3,0.06666666666666667,0.1,0.05773502691896258,0.0,0.1,16.8,16.7,0.3605551275463986,16.5,17.2,12.099999999999966,0.024791493617109042,False
cj stroud,HOU,C.J. Stroud,3,"ESPN_CBS,FantasyPros,NFL_FFToday",34.699999999999996,34.0,2.042057785666213,33.1,37.0,250.9,250.1,2.6907248094147507,248.7,253.9,1.3333333333333333,1.3,0.0577350269189625,1.3,1.4,0.7333333333333334,0.7,0.1527525231651947,0.6,0.9,2.766666666666667,3.1,0.6658328118479394,2.0,3.2,12.933333333333332,14.3,2.5423086620891127,10.0,14.5,0.03333333333333333,0.0,0.05773502691896259,0.0,0.1,15.833333333333334,15.8,0.15275252316519491,15.7,16.0,5.200000000000017,0.010724291787224992,False
joe flacco,CIN,Joe Flacco,3,"ESPN_CBS,FantasyPros,NFL_FFToday",34.96666666666667,35.0,0.9504384952922161,34.0,35.9,249.73333333333335,250.0,7.0038084877681746,242.6,256.6,1.4333333333333333,1.5,0.11547005383792512,1.3,1.5,1.0333333333333334,1.0,0.05773502691896263,1.0,1.1,1.0999999999999999,1.3,1.014889156509222,0.0,2.0,4.133333333333334,4.1,2.2501851775650232,1.9,6.4,0.03333333333333333,0.0,0.05773502691896259,0.0,0.1,14.766666666666666,14.8,0.45092497528228875,14.3,15.2,14.000000000000028,0.028045148776434225,False
geno smith,NYJ,Geno Smith,3,"ESPN_CBS,FantasyPros,NFL_FFToday",34.666666666666664,34.0,1.1547005383792517,34.0,36.0,247.70000000000002,247.0,12.165114056185407,235.9,260.2,1.3333333333333333,1.3,0.0577350269189625,1.3,1.4,0.8333333333333334,0.8,0.05773502691896257,0.8,0.9,3.033333333333333,3.0,0.05773502691896263,3.0,3.1,12.766666666666666,12.7,1.2013880860626736,11.6,14.0,0.06666666666666667,0.1,0.05773502691896258,0.0,0.1,15.766666666666666,15.8,0.15275252316519508,15.6,15.9,24.299999999999983,0.04911228928617443,False
