player,player_norm,team,source,pass_att,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,fpts
Jalen Hurts,jalen hurts,PHI,ESPN_CBS,26.0,219.1,1.8,0.5,9.4,43.7,0.9,24.3
Lamar Jackson,lamar jackson,BAL,ESPN_CBS,28.5,243.8,1.9,0.4,8.0,51.6,0.2,22.8
Jayden Daniels,jayden daniels,WAS,ESPN_CBS,30.8,230.7,1.8,0.6,8.7,50.9,0.4,22.8
Joe Burrow,joe burrow,CIN,ESPN_CBS,36.4,280.7,2.2,0.6,2.7,11.5,0.1,21.0
Josh Allen,josh allen,BUF,ESPN_CBS,31.5,227.9,1.6,0.6,6.8,29.7,0.6,21.0
Baker Mayfield,baker mayfield,TB,ESPN_CBS,32.6,256.3,2.2,0.8,3.7,19.8,0.2,20.6
Bo Nix,bo nix,DEN,ESPN_CBS,32.8,225.7,1.9,0.6,5.2,26.9,0.3,20.2
Kyler Murray,kyler murray,MIN,ESPN_CBS,32.2,236.3,1.4,0.7,5.1,36.8,0.3,19.6
Patrick Mahomes II,patrick mahomes,KC,ESPN_CBS,35.5,257.0,1.7,0.7,4.3,22.3,0.2,19.1
Drake Maye,drake maye,NE,ESPN_CBS,31.0,215.6,1.7,0.8,5.0,38.3,0.2,19.1
Trevor Lawrence,trevor lawrence,JAC,ESPN_CBS,33.0,250.5,1.7,0.8,3.5,18.0,0.3,19.0
Brock Purdy,brock purdy,SF,ESPN_CBS,31.2,256.3,1.4,0.7,3.6,16.0,0.2,17.4
Daniel Jones,daniel jones,IND,ESPN_CBS,27.8,196.4,1.4,0.7,7.0,31.8,0.3,17.1
Tua Tagovailoa,tua tagovailoa,ATL,ESPN_CBS,35.1,265.9,1.7,0.7,2.0,5.7,0.0,16.9
J.J. McCarthy,jj mccarthy,MIN,ESPN_CBS,32.6,245.7,1.6,1.0,3.3,15.2,0.1,16.9
Dak Prescott,dak prescott,DAL,ESPN_CBS,37.3,247.8,1.5,0.9,2.7,11.3,0.1,16.5
Bryce Young,bryce young,CAR,ESPN_CBS,33.2,225.6,1.4,0.7,2.8,17.0,0.2,16.5
Jordan Love,jordan love,GB,ESPN_CBS,31.1,238.3,1.6,0.8,2.5,9.2,0.1,16.4
Justin Herbert,justin herbert,LAC,ESPN_CBS,32.0,227.0,1.4,0.6,3.7,15.5,0.1,15.9
Justin Fields,justin fields,KC,ESPN_CBS,29.1,185.2,1.0,0.7,7.3,37.5,0.3,15.9
C.J. Stroud,cj stroud,HOU,ESPN_CBS,33.1,248.7,1.3,0.6,3.1,14.5,0.0,15.7
Michael Penix Jr.,michael penix,ATL,ESPN_CBS,32.3,238.2,1.4,0.9,2.9,10.9,0.1,15.6
