"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","29.0","20.0","233.2","1.8","0.4","9.0","55.8","0.3","0.3","22.9"
"Jalen Hurts","PHI","31.0","21.0","225.6","1.5","0.4","9.0","39.7","0.8","0.3","22.8"
"Josh Allen","BUF","34.0","22.0","248.4","1.5","0.3","9.0","37.3","0.5","0.2","21.9"
"Jayden Daniels","WAS","31.0","21.0","228.1","1.5","0.3","10.0","52.4","0.4","0.2","21.9"
"Joe Burrow","CIN","36.0","25.0","278.0","2.2","0.8","4.0","11.7","0.1","0.2","20.4"
"Patrick Mahomes II","KC","37.0","25.0","257.5","1.7","0.4","4.0","20.6","0.1","0.1","19.3"
"Baker Mayfield","TB","35.0","24.0","260.3","1.9","0.9","5.0","16.9","0.1","0.3","19.0"
"Kyler Murray","MIN","34.0","22.0","236.0","1.4","0.9","6.0","36.1","0.2","0.3","18.4"
"Bo Nix","DEN","36.0","24.0","235.5","1.5","0.4","6.0","25.8","0.1","0.2","18.2"
"Justin Fields","KC","29.0","18.0","202.1","1.1","0.9","8.0","44.1","0.4","0.3","17.6"
"Dak Prescott","DAL","37.0","24.0","259.9","1.8","0.9","2.0","8.4","0.0","0.2","17.2"
"Brock Purdy","SF","32.0","22.0","256.8","1.4","0.9","3.0","13.5","0.2","0.1","17.2"
"Jared Goff","DET","34.0","23.0","263.3","1.7","0.9","2.0","4.7","0.1","0.2","17.0"
"Jordan Love","GB","32.0","21.0","241.8","1.5","0.9","2.0","10.2","0.2","0.2","16.6"
"Trevor Lawrence","JAC","32.0","20.0","241.8","1.5","0.9","3.0","16.0","0.2","0.3","16.6"
"Justin Herbert","LAC","31.0","20.0","232.0","1.4","0.3","4.0","17.2","0.1","0.2","16.5"
"Geno Smith","NYJ","36.0","24.0","260.2","1.4","0.9","3.0","11.6","0.0","0.2","15.9"
"Caleb Williams","CHI","36.0","23.0","233.7","1.2","0.9","5.0","26.0","0.1","0.3","15.9"
"Drake Maye","NE","33.0","21.0","218.8","1.3","0.9","3.0","26.7","0.1","0.3","15.8"
"C.J. Stroud","HOU","37.0","24.0","253.9","1.4","0.9","2.0","10.0","0.0","0.2","15.8"
"Tua Tagovailoa","ATL","34.0","23.0","253.9","1.5","0.9","2.0","6.6","0.0","0.3","15.6"
"J.J. McCarthy","MIN","34.0","22.0","240.7","1.3","0.9","3.0","14.1","0.1","0.2","15.5"
"Bryce Young","CAR","35.0","22.0","226.0","1.3","0.8","3.0","17.4","0.1","0.3","15.4"
"Matthew Stafford","LAR","33.0","21.0","238.5","1.5","0.4","1.0","1.6","0.0","0.1","15.2"
"Joe Flacco","CIN","34.0","22.0","256.6","1.5","1.0","0.0","1.9","0.0","0.3","15.2"
"Daniel Jones","IND","35.0","22.0","221.2","1.1","0.8","5.0","25.6","0.2","0.4","15.0"
"Michael Penix Jr.","ATL","33.0","21.0","234.8","1.2","0.9","3.0","8.3","0.2","0.2","14.9"
"Sam Darnold","SEA","34.0","21.0","238.0","1.2","1.0","4.0","11.0","0.0","0.0","14.4"
"Cam Ward","TEN","32.0","20.0","221.8","1.1","0.9","4.0","15.3","0.1","0.3","14.2"
"Spencer Rattler","NO","32.0","19.0","191.0","1.0","0.9","5.0","21.3","0.1","0.3","12.6"
"Jaxson Dart","NYG","0.0","0.0","4.3","0.0","0.0","0.0","4.3","0.0","0.0","1.0"
""
""
