"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Cooper Kupp","WR","LAR",11,19.3,1.39,0.961,17,20.5,10.3,9.64,10,1,2,1,1,"1",32,NA,NA,34,4
"Jonathan Taylor","RB","IND",14,19,1.39,2.94,17.2,20.9,10,10.5,9.91,2,1,2,1,"1",27,NA,NA,46,1
"Davante Adams","WR","GB",13,18.3,1.94,1.17,15.4,20.2,9.31,8.05,9.72,3,6,3,2,"1",33,NA,NA,63,7
"Tyreek Hill","WR","KC",12,17.1,1.6,0.336,15.5,19.2,8.14,8.17,8.75,4,5,4,3,"2",32,NA,NA,48,5
"Keenan Allen","WR","LAC",7,16.8,1.65,1.07,14.6,18.5,7.81,7.24,8.07,5,11,6,4,"3",34,NA,NA,51,8
"George Kittle","TE","SF",6,14.4,1.91,0.924,12.3,16.6,7.76,6.92,8.49,6,12,5,1,"1",32,NA,NA,84,4
"James Conner","RB","ARI",12,16.1,0,0.286,16.1,16.1,7.1,9.38,5.13,7,3,34,2,"1",31,NA,NA,1,4
"Mark Andrews","TE","BAL",8,13.4,2.44,1.57,10.5,15.8,6.83,5.19,7.71,8,20,7,2,"2",30,NA,NA,94,3
"James Robinson","RB","JAC",7,15.8,1.36,0.165,14.4,17.7,6.82,7.65,6.76,9,7,13,3,"1",56,NA,NA,45,1
"Justin Jefferson","WR","MIN",7,15.7,1.46,0.455,14.1,17.8,6.74,6.78,7.3,10,14,10,5,"3",26,NA,NA,39,1
"Nick Chubb","RB","CLE",13,15.6,1,0.0228,15,17.4,6.65,8.3,6.46,11,4,18,4,"1",30,NA,NA,20,3
"Alvin Kamara","RB","NO",6,15.6,1.12,0.343,14.4,17.3,6.63,7.65,6.37,12,8,20,5,"1",30,NA,NA,27,4
"Alexander Mattison","RB","MIN",7,15.3,2.11,0.0193,13.5,18.3,6.29,6.79,7.35,13,13,9,6,"1",27,NA,NA,73,2
"Diontae Johnson","WR","PIT",7,15.3,2.23,0.477,13.1,17.8,6.28,5.75,7.36,14,18,8,6,"3",29,NA,NA,79,2
"Najee Harris","RB","PIT",7,15.3,1.25,0.618,14,17.4,6.27,7.3,6.38,15,10,19,7,"2",28,NA,NA,37,0
"Justin Herbert","QB","LAC",7,23.2,1.46,1.11,22,25,5.81,6.45,6.15,16,15,21,1,"1",28,NA,NA,66,1
"Antonio Brown","WR","TB",9,14.8,1.56,0.211,13.1,16.2,5.81,5.81,5.78,17,16,27,7,"4",37,NA,NA,42,11
"Cordarrelle Patterson","RB","ATL",6,14.6,1.05,0.4,14.1,15.9,5.65,7.33,4.91,18,9,36,8,"2",35,NA,NA,23,8
"Deebo Samuel","WR","SF",6,14.6,2.2,0.457,11.4,17.1,5.6,4.14,6.61,19,33,14,8,"4",30,NA,NA,76,2
