player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Xavier Worthy,144718,WR,KC,1,14.9,1,100.0,,0,0,0,0.0,0,5,16,0,76.5,70.1,87.4,,86.1,0.0,0,0,50,0.0,0,44,0,8,88.6,39,22.7,10,158.3,8,2,75.0,33,157,45,5.6,19.6,4.03
Saquon Barkley,45791,HB,PHI,1,-0.7,0,85.7,,0,0,0,0.0,0,2,24,0,74.6,79.3,53.5,30.0,77.6,0.0,0,0,22,14.3,4,28,0,6,78.6,22,17.9,5,90.5,7,0,0.0,0,40,43,7.2,6.7,1.82
Travis Kelce,7844,TE,KC,1,6.0,0,66.7,,0,0,0,0.0,0,1,16,0,72.1,67.0,55.7,12.7,60.0,26.1,12,0,13,4.3,2,46,0,4,80.4,37,47.8,22,84.7,6,0,26.1,12,39,17,4.3,9.8,1.05
Marquise Brown,61568,WR,KC,1,6.8,0,33.3,0.0,0,1,0,0.0,0,1,16,0,70.5,65.8,58.5,,58.2,0.0,0,1,9,0.0,0,35,0,2,88.6,31,57.1,20,2.8,6,0,42.9,15,15,4,2.0,7.5,0.48
A.J. Brown,48327,WR,PHI,1,16.6,0,60.0,100.0,1,1,0,0.0,0,3,24,0,72.1,67.0,70.8,,70.8,0.0,0,1,22,0.0,0,32,1,3,90.6,29,9.4,3,87.9,5,1,90.6,29,43,11,3.7,14.3,1.48
DeAndre Hopkins,7808,WR,KC,1,12.4,0,40.0,100.0,1,1,0,33.3,1,2,16,0,36.2,65.8,67.2,,66.1,0.0,0,1,11,0.0,0,19,0,2,78.9,15,36.8,7,50.4,5,1,63.2,12,18,1,0.5,9.0,1.2
DeVonta Smith,61100,WR,PHI,1,15.4,1,80.0,,0,0,0,0.0,0,3,24,0,72.1,67.0,70.6,,71.6,0.0,0,0,46,0.0,0,30,0,4,90.0,27,70.0,21,158.3,5,1,30.0,9,69,3,0.8,17.3,2.56
Jahan Dotson,84375,WR,PHI,1,9.0,0,66.7,,0,0,0,0.0,0,2,24,0,68.3,64.0,67.5,,68.6,0.0,0,0,27,0.0,0,25,0,2,88.0,22,20.0,5,109.7,3,0,80.0,20,42,17,8.5,21.0,1.91
JuJu Smith-Schuster,11817,WR,KC,1,4.0,1,100.0,,0,0,0,0.0,0,1,16,0,68.3,64.0,56.1,66.2,59.5,0.0,0,0,11,3.8,1,26,1,2,80.8,21,50.0,13,100.0,2,0,50.0,13,16,8,4.0,8.0,0.76
Dallas Goedert,47272,TE,PHI,1,10.5,0,100.0,,0,0,0,0.0,0,1,24,0,68.3,64.0,61.1,,55.7,33.3,10,0,20,0.0,0,30,0,2,90.0,27,66.7,20,118.8,2,0,0.0,0,27,6,3.0,13.5,1.0
Kareem Hunt,11841,HB,KC,1,3.0,0,100.0,,0,0,0,0.0,0,0,16,0,64.7,68.2,63.4,79.6,61.7,0.0,0,0,5,37.5,3,8,0,1,50.0,4,0.0,0,87.5,1,0,0.0,0,5,2,2.0,5.0,1.25
Johnny Wilson,76366,WR,PHI,1,2.0,0,0.0,,0,0,0,100.0,1,0,24,0,27.9,,34.3,,39.0,0.0,0,0,0,0.0,0,2,0,0,100.0,2,0.0,0,39.6,1,0,100.0,2,0,0,,,0.0
Isiah Pacheco,83747,HB,KC,1,0.0,0,100.0,,0,0,0,0.0,0,1,16,0,64.7,68.2,56.1,15.0,53.7,0.0,0,0,5,10.0,2,20,0,1,85.0,17,5.0,1,87.5,1,0,10.0,2,5,5,5.0,5.0,0.29
Samaje Perine,11869,HB,KC,1,-2.0,0,0.0,,0,0,0,,0,0,16,0,,61.9,59.7,,51.6,0.0,0,0,0,0.0,0,21,0,0,85.7,18,4.8,1,39.6,1,0,19.0,4,0,0,,,0.0
Noah Gray,60878,TE,KC,1,2.0,0,100.0,,0,0,0,0.0,0,0,16,0,64.7,61.2,55.5,77.0,51.5,75.0,12,0,2,25.0,4,16,0,1,62.5,10,25.0,4,79.2,1,0,0.0,0,2,0,0.0,2.0,0.2
