player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jonathan Taylor,57488,HB,IND,1,32,7,3,52.9,129,0,244,0,1,7,205,146.4,5,11,14,1,27,29.9,80.4,78.8,,26.9,36.6,89.4,60.0,83,0,42,3,24,34,0,0,3,35,3,244,205,6.41,7.6,1.75,5
Kimani Vidal,123727,HB,LAC,1,25,4,0,0.0,0,0,95,0,0,4,62,38.2,4,9,27,0,7,78.8,77.2,78.5,,35.3,69.7,78.2,60.0,12,0,13,1,23,29,0,0,1,26,1,95,62,2.48,3.8,0.57,16
De'Von Achane,124305,HB,MIA,1,22,5,3,62.6,109,0,174,0,4,5,145,211.9,5,7,17,0,6,78.2,85.5,77.8,,75.1,90.5,77.0,59.1,59,0,51,6,19,26,0,0,6,28,2,174,145,6.59,7.9,2.68,14
Saquon Barkley,45791,HB,PHI,1,22,3,1,25.0,15,0,60,0,1,3,31,22.5,1,2,24,0,14,78.6,59.1,75.6,,70.5,73.1,56.4,60.0,15,0,41,3,16,26,0,0,3,25,0,60,31,1.41,2.7,2.56,7
Quinshon Judkins,157128,HB,CLV,1,22,4,0,0.0,0,0,75,0,0,4,51,38.6,2,5,8,0,9,77.9,61.1,76.8,,73.7,59.3,60.8,,11,0,10,2,14,22,0,0,3,24,0,75,51,2.32,3.4,0.71,12
Alvin Kamara,11822,HB,NO,1,22,3,1,19.3,16,0,83,0,0,3,54,29.5,2,4,20,0,8,78.1,59.4,76.8,,13.4,64.6,60.9,60.0,16,0,32,3,16,24,0,0,3,25,0,83,54,2.45,3.8,2.0,14
Josh Jacobs,45953,HB,GB,1,21,4,0,0.0,0,0,74,0,2,4,56,61.5,2,5,12,1,8,27.2,62.1,77.3,,27.7,81.8,57.6,60.0,11,0,33,5,25,23,0,0,6,26,1,74,56,2.67,3.5,1.32,13
Breece Hall,97636,HB,NYJ,1,21,4,2,62.7,52,0,83,0,0,4,69,59.7,3,5,22,0,3,77.8,73.0,76.2,,31.0,87.6,69.8,59.9,30,0,42,1,4,27,0,0,1,22,0,83,69,3.29,4.0,10.5,18
Derrick Henry,10679,HB,BLT,1,20,4,0,0.0,0,0,75,0,0,4,59,51.3,2,5,3,0,4,77.6,62.3,75.8,,83.2,59.8,61.6,58.6,14,0,9,3,16,25,0,0,3,23,0,75,59,2.95,3.8,0.56,15
Ashton Jeanty,157196,HB,LV,1,19,5,0,0.0,0,0,60,2,1,5,40,57.4,1,3,23,1,10,26.3,50.8,77.0,,23.8,24.9,69.9,60.0,10,0,3,3,25,21,0,0,5,22,1,60,40,2.11,3.2,0.12,9
J.K. Dobbins,57366,HB,DEN,1,18,5,0,0.0,0,0,77,0,0,5,49,71.6,1,3,10,0,11,77.0,66.1,73.3,,75.8,59.1,66.8,60.0,13,0,7,1,6,24,0,0,1,19,0,77,49,2.72,4.3,1.17,6
Rico Dowdle,40693,HB,CAR,1,18,1,0,0.0,0,0,53,0,0,1,45,11.9,1,4,5,0,8,77.0,55.6,75.5,,68.2,65.4,53.2,60.0,14,0,10,3,15,20,0,0,3,21,1,53,45,2.5,2.9,0.67,10
Bijan Robinson,123126,HB,ATL,1,17,5,1,19.0,16,0,84,0,0,5,55,85.1,3,5,2,0,2,76.6,69.4,78.1,,79.3,53.9,74.1,60.0,16,0,4,2,27,22,0,0,2,19,0,84,55,3.24,4.9,0.15,15
Travis Etienne Jr.,57185,HB,JAX,1,16,3,0,0.0,0,0,58,1,2,3,43,74.7,2,3,15,0,7,76.2,57.3,76.1,,77.0,57.9,56.9,60.0,13,0,19,2,11,19,0,0,3,18,1,58,43,2.69,3.6,1.73,7
David Montgomery,45719,HB,DET,1,15,1,0,0.0,0,0,71,0,0,1,35,14.6,1,3,11,0,3,76.0,56.3,75.1,,58.5,53.5,57.7,,12,0,0,1,17,16,0,0,1,16,0,71,35,2.33,4.7,0.0,12
Jahmyr Gibbs,122474,HB,DET,1,15,7,2,50.0,71,0,142,0,0,7,100,259.3,4,7,11,0,8,76.1,93.7,76.6,,76.6,85.2,92.6,78.4,43,0,30,3,16,17,0,0,4,18,2,142,100,6.67,9.5,1.88,7
Kenneth Walker III,97199,HB,SEA,1,14,2,1,35.8,24,0,67,0,0,2,41,39.0,2,3,29,0,9,75.7,84.7,72.6,,17.9,59.6,85.8,60.0,24,0,3,1,5,17,0,0,1,15,0,67,41,2.93,4.8,0.6,5
Woody Marks,124179,HB,HST,1,14,5,1,33.3,21,0,63,0,0,5,41,91.5,2,4,13,0,8,75.9,86.5,78.5,,55.0,73.4,87.5,71.4,21,0,18,2,27,17,0,0,3,16,1,63,41,2.93,4.5,0.67,6
Tyrone Tracy,84226,HB,NYG,1,14,0,1,22.5,16,0,71,0,0,0,27,0.0,3,3,21,0,3,75.7,56.6,75.6,,42.9,55.7,59.5,59.8,16,0,0,1,17,17,0,0,2,15,0,71,27,1.93,5.1,0.0,10
Zach Charbonnet,97630,HB,SEA,1,14,6,1,36.1,30,0,83,0,0,6,77,235.7,2,4,29,0,5,75.7,83.1,73.8,,72.4,57.8,78.7,60.0,30,0,0,0,2,20,0,0,0,14,1,83,77,5.5,5.9,0.0,9
Kyren Williams,97118,HB,LA,1,14,2,0,0.0,0,0,73,0,0,2,37,33.0,1,5,26,0,10,75.5,76.3,74.4,,84.3,56.0,77.8,60.0,12,0,11,2,18,15,0,0,3,16,2,73,37,2.64,5.2,0.61,4
