line_bucket,is_home,rows,over_rate,avg_line,avg_actual,avg_actual_minus_line,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
under_180,True,13,0.6923076923076923,172.42307692307693,206.46153846153845,34.03846153846154,-110.0,-110.0,0.32167832167832167,-0.41258741258741255
under_180,False,11,0.6363636363636364,167.4090909090909,183.45454545454547,16.045454545454547,-110.0,-110.0,0.21487603305785122,-0.3057851239669422
210_to_240,False,94,0.5212765957446809,226.17021276595744,229.86170212765958,3.6914893617021276,-110.0,-110.0,-0.004835589941972934,-0.086073500967118
180_to_210,True,51,0.5098039215686274,196.7156862745098,199.49019607843138,2.7745098039215685,-109.90196078431373,-110.09803921568627,-0.025889143536202357,-0.06417112299465241
240_to_270,True,61,0.5081967213114754,251.09016393442624,262.08196721311475,10.991803278688524,-110.0,-110.0,-0.02980625931445605,-0.06110283159463488
270+,False,4,0.5,276.0,297.75,21.75,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
180_to_210,False,55,0.4909090909090909,196.1909090909091,201.01818181818183,4.827272727272727,-110.18181818181819,-109.81818181818181,-0.06352856629536471,-0.02731208185753641
210_to_240,True,91,0.46153846153846156,226.4010989010989,223.0,-3.401098901098901,-110.0,-110.0,-0.11888111888111888,0.02797202797202796
270+,True,5,0.4,273.1,223.8,-49.3,-110.0,-110.0,-0.2363636363636364,0.14545454545454545
240_to_270,False,59,0.3728813559322034,250.58474576271186,241.864406779661,-8.720338983050848,-110.0,-110.0,-0.288135593220339,0.19722650231124805
