spread_bucket,game_total_bucket,rows,over_rate,avg_line,avg_actual,avg_actual_minus_line,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
dog_10+,38_to_42,2,1.0,160.5,196.0,35.5,-110.0,-110.0,0.9090909090909091,-1.0
fav_10+,38_to_42,2,1.0,222.0,286.0,64.0,-110.0,-110.0,0.9090909090909091,-1.0
fav_7_to_10,50+,2,1.0,260.5,288.0,27.5,-110.0,-110.0,0.9090909090909091,-1.0
pickem,50+,4,0.75,257.5,348.75,91.25,-110.0,-110.0,0.43181818181818177,-0.5227272727272727
fav_7_to_10,46_to_50,7,0.7142857142857143,250.21428571428572,299.42857142857144,49.214285714285715,-110.0,-110.0,0.36363636363636365,-0.45454545454545453
dog_3_to_7,under_38,9,0.6666666666666666,183.27777777777777,202.22222222222223,18.944444444444443,-110.0,-110.0,0.2727272727272727,-0.3636363636363636
fav_3_to_7,under_38,9,0.6666666666666666,182.72222222222223,208.66666666666666,25.944444444444443,-110.0,-110.0,0.2727272727272727,-0.3636363636363636
dog_10+,42_to_46,6,0.6666666666666666,201.66666666666666,236.5,34.833333333333336,-110.83333333333333,-109.16666666666667,0.26613965744400525,-0.3636363636363636
fav_7_to_10,38_to_42,11,0.6363636363636364,228.5,246.72727272727272,18.227272727272727,-109.54545454545455,-110.45454545454545,0.21881149153876425,-0.3057851239669422
dog_3_to_7,38_to_42,30,0.6,196.0,222.33333333333334,26.333333333333332,-110.0,-110.0,0.14545454545454545,-0.23636363636363636
fav_7_to_10,42_to_46,12,0.5833333333333334,238.08333333333334,244.33333333333334,6.25,-110.0,-110.0,0.11363636363636363,-0.2045454545454545
dog_7_to_10,46_to_50,7,0.5714285714285714,218.5,224.0,5.5,-110.0,-110.0,0.0909090909090909,-0.18181818181818185
dog_3_to_7,46_to_50,38,0.5526315789473685,231.10526315789474,247.60526315789474,16.5,-110.0,-110.0,0.05502392344497607,-0.145933014354067
fav_3_to_7,50+,11,0.5454545454545454,253.22727272727272,264.27272727272725,11.045454545454545,-110.0,-110.0,0.04132231404958675,-0.1322314049586777
fav_3_to_7,38_to_42,29,0.5172413793103449,220.25862068965517,228.6551724137931,8.39655172413793,-110.0,-110.0,-0.012539184952978061,-0.07836990595611286
pickem,38_to_42,12,0.5,209.66666666666666,205.75,-3.9166666666666665,-110.0,-110.0,-0.04545454545454546,-0.04545454545454546
fav_10+,42_to_46,6,0.5,226.66666666666666,204.16666666666666,-22.5,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
dog_10+,46_to_50,2,0.5,200.0,199.5,-0.5,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
fav_10+,46_to_50,2,0.5,235.5,283.0,47.5,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
pickem,42_to_46,46,0.4782608695652174,222.30434782608697,237.7173913043478,15.41304347826087,-110.0,-110.0,-0.08695652173913043,-0.003952569169960478
dog_7_to_10,38_to_42,11,0.45454545454545453,189.3181818181818,195.0909090909091,5.7727272727272725,-110.45454545454545,-109.54545454545455,-0.1322314049586777,0.04525777253049979
fav_3_to_7,46_to_50,38,0.4473684210526316,246.07894736842104,241.31578947368422,-4.7631578947368425,-110.0,-110.0,-0.145933014354067,0.055023923444976065
pickem,46_to_50,35,0.42857142857142855,242.32857142857142,227.82857142857142,-14.5,-110.0,-110.0,-0.1818181818181818,0.0909090909090909
dog_7_to_10,42_to_46,12,0.4166666666666667,203.08333333333334,172.58333333333334,-30.5,-110.0,-110.0,-0.20454545454545456,0.11363636363636363
pickem,under_38,10,0.4,186.4,157.7,-28.7,-110.0,-110.0,-0.2363636363636364,0.14545454545454545
fav_3_to_7,42_to_46,38,0.39473684210526316,236.76315789473685,228.8421052631579,-7.921052631578948,-110.0,-110.0,-0.2464114832535885,0.1555023923444976
dog_3_to_7,42_to_46,38,0.34210526315789475,213.1578947368421,196.73684210526315,-16.42105263157895,-110.0,-110.0,-0.34688995215311,0.25598086124401914
dog_3_to_7,50+,11,0.18181818181818182,254.86363636363637,205.45454545454547,-49.40909090909091,-110.0,-110.0,-0.652892561983471,0.5619834710743802
dog_7_to_10,50+,2,0.0,235.0,178.5,-56.5,-110.0,-110.0,-1.0,0.9090909090909091
dog_10+,50+,1,0.0,233.5,93.0,-140.5,-110.0,-110.0,-1.0,0.9090909090909091
fav_10+,50+,1,0.0,239.5,6.0,-233.5,-110.0,-110.0,-1.0,0.9090909090909091
