spread_bucket,line_bucket,rows,over_rate,avg_line,avg_actual,avg_actual_minus_line,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
fav_7_to_10,180_to_210,1,1.0,205.5,279.0,73.5,-105.0,-115.0,0.9523809523809523,-1.0
dog_10+,under_180,3,1.0,165.83333333333334,218.33333333333334,52.5,-110.0,-110.0,0.9090909090909091,-1.0
dog_7_to_10,under_180,1,1.0,176.5,354.0,177.5,-110.0,-110.0,0.9090909090909091,-1.0
fav_7_to_10,270+,1,1.0,270.5,307.0,36.5,-110.0,-110.0,0.9090909090909091,-1.0
fav_7_to_10,210_to_240,15,0.7333333333333333,227.83333333333334,244.0,16.166666666666668,-110.0,-110.0,0.4,-0.49090909090909096
dog_3_to_7,under_180,12,0.6666666666666666,171.75,197.33333333333334,25.583333333333332,-110.0,-110.0,0.2727272727272727,-0.3636363636363636
fav_10+,240_to_270,3,0.6666666666666666,243.83333333333334,249.33333333333334,5.5,-110.0,-110.0,0.2727272727272727,-0.3636363636363636
pickem,under_180,3,0.6666666666666666,163.83333333333334,150.0,-13.833333333333334,-110.0,-110.0,0.2727272727272727,-0.3636363636363636
dog_10+,180_to_210,5,0.6,199.7,220.6,20.9,-111.0,-109.0,0.13754940711462446,-0.2363636363636364
fav_3_to_7,180_to_210,12,0.5833333333333334,197.33333333333334,205.08333333333334,7.75,-110.0,-110.0,0.11363636363636365,-0.20454545454545456
dog_3_to_7,180_to_210,41,0.5365853658536586,196.64634146341464,210.4390243902439,13.792682926829269,-110.0,-110.0,0.024390243902439015,-0.11529933481152994
fav_7_to_10,240_to_270,15,0.5333333333333333,249.96666666666667,271.46666666666664,21.5,-110.0,-110.0,0.018181818181818174,-0.10909090909090911
pickem,210_to_240,44,0.5227272727272727,225.27272727272728,237.5,12.227272727272727,-110.0,-110.0,-0.002066115702479357,-0.08884297520661158
dog_7_to_10,180_to_210,20,0.5,192.55,186.1,-6.45,-110.25,-109.75,-0.045454545454545456,-0.0432900432900433
fav_3_to_7,210_to_240,58,0.5,227.94827586206895,231.91379310344828,3.9655172413793105,-110.0,-110.0,-0.04545454545454547,-0.04545454545454546
fav_10+,210_to_240,6,0.5,230.0,204.83333333333334,-25.166666666666668,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
dog_3_to_7,270+,2,0.5,278.0,247.5,-30.5,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
fav_10+,180_to_210,2,0.5,201.5,196.0,-5.5,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
pickem,240_to_270,34,0.47058823529411764,250.26470588235293,254.7058823529412,4.4411764705882355,-110.0,-110.0,-0.10160427807486633,0.010695187165775385
dog_3_to_7,210_to_240,49,0.42857142857142855,225.19387755102042,218.0408163265306,-7.153061224489796,-110.0,-110.0,-0.18181818181818185,0.0909090909090909
fav_3_to_7,240_to_270,45,0.4222222222222222,252.16666666666666,247.37777777777777,-4.788888888888889,-110.0,-110.0,-0.1939393939393939,0.10303030303030301
fav_3_to_7,under_180,5,0.4,171.3,175.0,3.7,-110.0,-110.0,-0.23636363636363633,0.14545454545454545
fav_3_to_7,270+,5,0.4,274.5,272.6,-1.9,-110.0,-110.0,-0.2363636363636364,0.14545454545454545
dog_3_to_7,240_to_270,22,0.36363636363636365,250.04545454545453,248.1818181818182,-1.8636363636363635,-110.0,-110.0,-0.3057851239669422,0.21487603305785122
pickem,180_to_210,25,0.36,197.38,185.8,-11.58,-110.0,-110.0,-0.31272727272727274,0.2218181818181818
dog_10+,210_to_240,3,0.3333333333333333,222.83333333333334,181.66666666666666,-41.166666666666664,-110.0,-110.0,-0.3636363636363636,0.2727272727272727
dog_7_to_10,210_to_240,10,0.3,222.9,188.1,-34.8,-110.0,-110.0,-0.42727272727272725,0.3363636363636363
dog_7_to_10,240_to_270,1,0.0,262.5,185.0,-77.5,-110.0,-110.0,-1.0,0.9090909090909091
pickem,270+,1,0.0,270.5,145.0,-125.5,-110.0,-110.0,-1.0,0.9090909090909091
