spread_bucket,team_total_bucket,rows,over_rate,avg_line,avg_actual,avg_actual_minus_line,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
pickem,28+,1,1.0,257.5,494.0,236.5,-110.0,-110.0,0.9090909090909091,-1.0
fav_10+,24_to_28,6,0.8333333333333334,227.5,267.3333333333333,39.833333333333336,-110.0,-110.0,0.5909090909090909,-0.6818181818181818
fav_7_to_10,28+,4,0.75,253.5,289.0,35.5,-110.0,-110.0,0.43181818181818177,-0.5227272727272727
dog_10+,under_17,8,0.75,188.875,231.375,42.5,-110.625,-109.375,0.4268774703557312,-0.5227272727272727
fav_3_to_7,17_to_20,7,0.7142857142857143,177.64285714285714,211.42857142857142,33.785714285714285,-110.0,-110.0,0.36363636363636365,-0.45454545454545453
fav_7_to_10,24_to_28,24,0.6666666666666666,238.0,258.75,20.75,-109.79166666666667,-110.20833333333333,0.2745310245310245,-0.3636363636363636
dog_3_to_7,under_17,16,0.625,180.75,193.1875,12.4375,-110.0,-110.0,0.19318181818181818,-0.2840909090909091
dog_7_to_10,under_17,12,0.5833333333333334,192.33333333333334,200.75,8.416666666666666,-110.0,-110.0,0.1136363636363636,-0.20454545454545459
fav_7_to_10,20_to_24,4,0.5,229.25,238.0,8.75,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
dog_10+,17_to_20,2,0.5,210.0,179.5,-30.5,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
fav_3_to_7,28+,2,0.5,262.5,285.0,22.5,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
dog_3_to_7,17_to_20,54,0.48148148148148145,206.2962962962963,216.27777777777777,9.981481481481481,-110.0,-110.0,-0.08080808080808081,-0.01010101010101011
fav_3_to_7,20_to_24,48,0.4791666666666667,224.27083333333334,223.27083333333334,-1.0,-110.0,-110.0,-0.08522727272727275,-0.005681818181818188
pickem,17_to_20,19,0.47368421052631576,201.28947368421052,180.78947368421052,-20.5,-110.0,-110.0,-0.09569377990430623,0.004784688995215295
pickem,24_to_28,17,0.47058823529411764,247.55882352941177,236.76470588235293,-10.794117647058824,-110.0,-110.0,-0.10160427807486633,0.010695187165775378
pickem,20_to_24,69,0.463768115942029,226.55797101449275,235.7391304347826,9.181159420289855,-110.0,-110.0,-0.11462450592885377,0.023715415019762844
dog_3_to_7,20_to_24,50,0.46,232.1,232.34,0.24,-110.0,-110.0,-0.12181818181818181,0.030909090909090896
fav_3_to_7,24_to_28,68,0.4411764705882353,244.58823529411765,242.86764705882354,-1.7205882352941178,-110.0,-110.0,-0.15775401069518719,0.06684491978609625
dog_7_to_10,17_to_20,16,0.375,206.625,177.9375,-28.6875,-110.3125,-109.6875,-0.2840909090909091,0.19588744588744586
dog_7_to_10,20_to_24,4,0.25,226.25,221.5,-4.75,-110.0,-110.0,-0.5227272727272727,0.43181818181818177
fav_10+,28+,5,0.2,229.9,153.0,-76.9,-110.0,-110.0,-0.6181818181818182,0.5272727272727272
dog_3_to_7,24_to_28,6,0.16666666666666666,263.0,208.0,-55.0,-110.0,-110.0,-0.6818181818181818,0.5909090909090909
dog_10+,20_to_24,1,0.0,233.5,93.0,-140.5,-110.0,-110.0,-1.0,0.9090909090909091
pickem,under_17,1,0.0,194.5,130.0,-64.5,-110.0,-110.0,-1.0,0.9090909090909091
dog_10+,24_to_28,0,,,,,,,,
dog_10+,28+,0,,,,,,,,
dog_3_to_7,28+,0,,,,,,,,
dog_7_to_10,24_to_28,0,,,,,,,,
dog_7_to_10,28+,0,,,,,,,,
fav_10+,under_17,0,,,,,,,,
fav_10+,17_to_20,0,,,,,,,,
fav_10+,20_to_24,0,,,,,,,,
fav_3_to_7,under_17,0,,,,,,,,
fav_7_to_10,under_17,0,,,,,,,,
fav_7_to_10,17_to_20,0,,,,,,,,
